id,date,likes,reposts,views,comment_count,comments_text
13325,2024-10-13 23:30:21,43,1,1261,0,
13340,2024-10-18 08:00:01,10,2,192,0,
13338,2024-10-17 16:34:21,38,5,994,0,
13333,2024-10-16 15:36:04,5,2,158,1,"Можно попробовать, сходить"
13332,2024-10-16 01:31:39,21,5,819,0,
13329,2024-10-15 17:57:40,17,1,848,0,
13328,2024-10-15 12:23:20,12,3,523,1,"Святая благоверная Анна Кашинская, моли Бога о нас!🙏🙏🙏❤❤❤"
13326,2024-10-14 12:46:54,114,8,1426,0,
13311,2024-10-13 16:50:56,47,3,1011,10,Царствие небесное 🙏🙏🙏 ❤🙏❤🙏 🙏🙏🙏 Царствие Небесное о. Григорию!🙏 Упокой Господи душу новопреставленного раба Твоего иеромонаха Григория. И прости согрешения его вольная и не вольная и даруй ему Царствие Небесное!🙏🙏🙏 🙏🙏🙏 🙏🙏🙏 Царствие небесное 🙏 Такие уходят не святые святые.... А кто взамен????.... Царствия небесного🙏🙏🙏🙏🍁
13310,2024-10-13 12:12:00,43,3,863,0,
13306,2024-10-11 14:34:59,31,11,948,1,"Воля
Божия - Благая и Совершенная - ""Так
говорит Господь к вам: не бойтесь и не ужасайтесь множества сего великого, ибо
не ваша война, а Божия."" (2 Пар. 20,15 ) 1Ин 5:19 «Мы
знаем, что мы от Бога и что весь мир лежит во зле.» ВРЕМЯ ""Ч"" -
14.08.2018 г. Исполнилось Откр.12.7-12!!!! ИДЕТ СЕДЬМОЙ ДЕНЬ ВРЕМЕНИ ВЕЛИКОЙ СКОРБИ
НА ЗЕМЛЕ ....Откр. 2.10 ""Не бойся ничего, что тебе надобно будет
претерпеть. Вот, диавол будет ввергать из среды вас в темницу, чтобы искусить
вас, и будете иметь скорбь дней десять. Будь верен до смерти, и дам тебе венец
жизни."" - ""тогда будет великая скорбь,
какой не было от начала мира доныне, и не будет. И если бы не сократились те дни, то не спаслась бы никакая плоть;
но ради избранных сократятся те дни."" (Мф.24.21-22) 14.08.2023
г. - МИНУЛА ПОЛОВИНА ВРЕМЕНИ ТОГО...Ин.12.31 ""Ныне суд миру сему; ныне
князь мира сего изгнан будет вон."" ГРЯДЕТ ВРЕМЯ ВСЕЛЕНСКОЕ - ""ПЕРВОЕ
ВОСКРЕСЕНИЕ"" - Откр. 20.4-6!!!
ИДЕТ ЖАТВА - Откр14.14-18; БЛИЗИТСЯ
ВРЕМЯ ЗАВЕРШЕНИЯ ЗАПЕЧАТЛЕНИЯ ГОСПОДНЯ (Откр. 7.1-3); НЫНЕ
СУД БОЖИЙ НАД ЖИВЫМИ, - по делам их воздастся им...., ВСЕ ЖЕ ИДУЩИЕ ПРОТИВ БОГА
- ПОГИБНУТ!!! (Откр.14.19-20; Зах.13.8; Енох 19.92); 27.03.2022 г ИСПОЛНИЛОСЬ Откр.11.3-6
- ЗАВЕРШЕНИЕ ВСЯКОЙ ПРОПОВЕДИ В МИРУ- 27.09.2025 г.; 27.06.2024:03:15 - ИСТИННЫЙ ВОИН ПРЕСВЯТОЙ
ТРОИЦЕ - Святый Пророк Божий Иоанн Креститель - Предтеча Христов, В
ОБЛИЧЬЕ АНГЕЛЬСКОМ сошел с небес и ВЗОШЁЛ НА ПРЕСТОЛ ЗЕМНОЙ!!! НЕПОНИМАНИЕ ВРЕМЕН И СУТИ СВЕРШАЮЩИХСЯ ПРЯМО
СЕЙЧАС СОБЫТИЙ ВСЕЛЕНСКИХ НА ЗЕМЛЕ, - ВВЕДЕТ В ХАОС СЕГОДНЯШНЕЕ БЫТИЕ ЧЕЛОВЕКОВ
В МИРУ, ПРЯМО СЕЙЧАС ВЕРШИТСЯ ПРЕДНАЧЕРТАННЫЙ ДЕНЬ ГОСПОДЕНЬ (Иоил 2.1-3;
2.11-13; Амос 9.10 -11; Захария 13.2;13.7-9; Енох 8.26 - 29; Малахия 4.1-3;
Исаия 2.11-22; Откр. 6.15 - 17)!!! СВЯТОЕ ВОИНСТВО НЕБЕСНОЕ
ИСПОЛНИТ ВОЛЮ БОЖИЮ!!! «Господи, Боже
сил! Кто силён, как Ты Господи? И истина Твоя окрест Тебя!» (Пс. 88 : 9)
СЛАВА Отцу и Сыну и Святому Духу СЛАВА, и ныне, и присно, и во веки веков
СЛАВА! АМИНЬ!!! Проповедь
обновляется, по мере свершения Вселенских событий в миру… Распространяйте проповедь православные - то есть Истинное
Слово Божие!!! Бодрствуйте... Храни вас Господь!
https://ok.ru/group70000005045883/topic/155933798006907"
13305,2024-10-11 02:41:11,12,6,668,0,
13304,2024-10-10 21:30:00,55,24,975,0,
13300,2024-10-10 14:15:00,6,2,598,3,"Спасибо за поддержку! И громная благодарность [club12969179|Карельской государственной филармонии] за включение этого замечательного концерта в свою юбилейную афишу! Друзья, давайте все поддержим эту благородную идею и соберёмся в этот вечер в Большом зале Филармонии! Спасибо за поддержу Очень хочется прийти на такой звездный концерт! Концерт с такой благородной идеей!!"
