id,text,date,likes,reposts,views
50,"13 апреля сотрудники музея первого российского курорта «Марциальные воды» провели мероприятия, посвященные международному дню птиц.   Гости мероприятия узнали историю дня птиц, цель и значимость этого экологического праздника. Сотрудники музея рассказали об отличительных чертах грача – птицы года, а так же научили различать его голос среди других.   🦉Не ушли участники и без призов – знатоки птичьего мира посоревновались в своих знаниях на викторине, а желающие изготовили на память вестницу весны – птицу счастья из джута.",2025-04-15 16:44:57,5,1,93
48,"Филиал Национального музея Республики Карелии Музей истории первого российского курорта «Марциальные воды» приглашает всех желающий на весенний праздник «Международный день птиц».   Ежегодный праздник, ставший традиционным для жителей Марциальных Вод, состоится 13 апреля в 14:00.   Титул птицы года в 2025 году получил хорошо всем знакомый грач.  🍃«Грач в воздухе — весна на улице» – народная примета, принявшая форму поговорки. И не зря, ведь именно с появлением на улице этих пернатых раньше связывали скорый приход весны.   Выбранный вид отвечает всем критериям, предъявляемым для этой номинации: распространен на большей части территории России, легко узнаваем и нуждается во внимании и помощи человека.  📌В программе знакомство с птицей года, интересные факты о граче и других птицах мира. Лучшие знатоки птичьего мира получат возможность посоревноваться в своих знаниях на викторине, а также гости смогут изготовить своими руками сувенир на память – птицу счастья из джута, приносящую удачу и весеннее настроение.   Подробная информация по телефону: (8142) 55-96-55 (доб. 107)",2025-04-09 14:08:56,10,2,104
47,"Музей истории первого российского курорта «Марциальные воды» приглашает желающих на лекции, посвященные краеведению, лечению на Марциальных Водах и истории петровского времени.  📌5 апреля 16:00 – «От Дворцов к Марциальным Водам: история курорта в XX веке». На лекции поговорим о немаловажном периоде для истории курорта – о советских годах, когда силами научных сотрудников, гидрологов и рабочих Марциальные Воды постепенно приобретали современный вид и новую жизнь.  📌9 апреля 15:00 – «Загадки церкви апостола Петра». Лекция посвящена развенчиванию мифов, которые так часто вводят в заблуждения тех, кто занимается самостоятельным поиском информации об этом уникальном памятнике.   📌16 апреля 15:00 – «Петр I на первом российском курорте: лечение и досуг». Лекция посвящена пребыванию Петра Великого на Марциальных Водах, его окружению, а также особенностям лечения императора и его занятиям.   📌23 апреля 15:00 – «Понеже оные воды исцеляют: медицинские исследования марциальных вод». Слушатели узнают об исследованиях марциальной воды, проводимых в XVIII веке, которые положили начало работе первого российского курорта. Лекции будут интересны краеведам, историкам, отдыхающим и всем, кто интересуется историей Карелии.  Лекции читают сотрудники «Музея истории первого российского курорта «Марциальные воды», стоимость билета – 150 рублей.   Возможно проведение лекций в удобное для вас время по предварительной записи для групп от 5 человек. Подробная информация по телефону: (8142) 55-96-55 (доб. 107)   Возможна оплата по «Пушкинской карте»",2025-04-03 07:00:00,8,3,135
45,,2025-03-31 14:36:14,5,0,84
44,"Дорогие друзья!  📚 Предлагаем Вам познакомиться со статьёй д.и.н. Пашкова Александра Михайловича и Соколова Александра Андреевича ""Василий Александрович Трошин: от эсера к создателю музея «Марциальные воды».   В работе впервые дана подробная характеристика деятельности первого директора музея ""Марциальные воды"", человека, чей энтузиазм и упорство стали ресурсом работы ""Петровского исторического музея"" в послевоенные годы.  https://uchzap.petrsu.ru/files/redaktor_pdf/1740639426.pdf",2025-03-09 19:50:19,13,5,701
42,"❗️Уважаемые посетители!    Обращаем Ваше внимание, что 8 марта музей истории первого российского курорта ""Марциальные Воды"" не работает.  7 марта музей работает с 09:00 до 16:00",2025-03-07 08:05:05,11,0,195
37,"Музей истории первого российского курорта «Марциальные воды» приглашает желающих на лекции, посвященные краеведению, лечению на Марциальных Водах и истории петровского времени.   5 марта 15:00 – «Петр I на первом российском курорте: лечение и досуг». Лекция посвящена пребыванию Петра Великого на Марциальных водах, его окружению, а также особенностям лечения и его занятиям.  12 марта 15:00 – «От Дворцов к Марциальным Водам: история курорта в XX веке». На лекции поговорим о немаловажном периоде для истории курорта – о советских годах, когда силами научных сотрудников, гидрологов и рабочих Марциальные Воды постепенно приобретали современный вид и новую жизнь.   19 марта 15:00 – «Загадки церкви апостола Петра». Лекция посвящена развенчиванию мифов, которые так часто вводят в заблуждения тех, кто занимается самостоятельным поиском информации об этом уникальном памятнике.   26 марта 15:00 – «Шунгит – чудо-камень?». Лекция посвящена последним исследованиям, выполненным геологами – только проверенные факты об этой загадочной горной породе.  Лекции будут интересны краеведам, историкам, отдыхающим и всем, кто интересуется историей Карелии.  Лекции читают сотрудники «Музея истории первого российского курорта «Марциальные воды», стоимость билета – 150 рублей.   Подробная информация по телефону: (8142) 55-96-55 (доб. 107)   Возможна оплата по «Пушкинской карте»",2025-03-05 09:49:35,14,7,777
36,"Познакомиться с выставкой ""Два Петра"" можно до 28 сентября 2025 года",2025-03-05 09:48:59,5,0,117
35,"Узнать ещё больше интересных фактов об истории первого российского курорта можно, посетив музей ""Марциальные Воды""",2025-02-21 11:51:07,12,3,206
34,"📜Отзывы бывают разными, и мы рады видеть, что история и архитектура уникального петровского места достойна запечатления в творчестве наших посетителей   Юрий Колбенев ""Храм Святого Апостола Петра"", февраль 2025 г. художник из Великого Новгорода",2025-02-19 10:40:50,14,2,254
