id,text,date,likes,reposts,views
2451,Христос воскресе!,2025-04-20 07:48:46,134,0,1141
2446,"Карелия, взываем к вашей отзывчивости! Особенно обращаемся к мужчинам, обладающим эхолотами-структурниками. В Никольском случилось несчастье, пропал маленький Рома. Каждая минута на счету, и ваша помощь может стать решающей.  Если вы проживаете в Карелии или имеете возможность приехать в Никольское и принять участие в поисковой операции, пожалуйста, откликнитесь! Наличие эхолота-структурника значительно расширит возможности поиска в водоемах и поможет обнаружить хоть какие-то следы.  Не оставайтесь равнодушными! Свяжитесь с координаторами [id36063171|Светлана Белоконь]      , или [id28369997|Елена Агеенко-Климова]     поиска, чтобы узнать детали и скоординировать свои действия. Ваша техническая помощь и опыт могут вернуть Рому домой. Любая информация, любая помощь, даже просто репост этого сообщения, может сыграть свою роль.  Вместе мы – сила! Не дадим надежде угаснуть.",2025-04-11 21:01:20,0,0,0
2436,"Огромное спасибо за экскурсию, было очень интересно, жалко что были очень ограничены по времени.",2025-03-16 18:05:59,8,0,0
2427,"Вчера были гости ""на короткий час"". Экскурсия, чай с пирогами, снова экскурсия и по буранам, чтобы светом добраться до Лопского берега. Сегодня получила две весточки, - одна приятная, а вторая меня прямо удивила, как очень тесен мир. Сегодня гости продолжили знакомство с поморским сёлами и побывали в Юково. Скинули мне печальные видео и фото покинутых домов. В одной раме, где много семейных фото, в центре, на фото два мужчины, слева, с Орденом Красной звёзды я узнала нашего земляка, Анастасьева Николая Григорьевича. Такой вот привет из Юкова, в канун юбилея Победы!   Надежда Семёнова",2025-03-02 20:41:42,110,4,2574
2423,"""Наши гости, к нам в гости!"" - говорили, когда разметали веником дорогу, встречая свадебный поезд. Ждём гостей со всех волостей, ничего, что не свадебщики, пойду ка я веник то поищу!",2025-02-27 22:26:15,25,2,698
2394,Бывает.,2025-01-30 22:40:45,13,3,919
2388,"На траулерх Спаде начинал свой трудовой путь первый тралмейстер России Федор Егорович Шамалуев, наш земляк.",2025-01-18 18:24:04,10,0,367
2375,https://vk.com/wall-2457301_5770,2024-12-21 22:14:32,1,0,0
2370,"""Не савь, не варварь, а помиколь!"" Фольклорная группа ""Таволга"" 20 декабря активно "" помиколила"" в Сумпосаде на празднике ко дню Святителя Николая. Спасибо Наталье Мошкаревой за приглашение. Гостей повидали, себя показали, - в кадриль походили, песен попели, в том числе представили старинную песню про "" СЕру  утицу"". Песни наши дОлги, - это целые поэмы из жизни поморской. В основу песни про ""СЕру утицу"" легла история отходничества в Поморье. Артели ходили в город на заработки во главе опытного старосты, вместе с ними была возможность ехать молодым, мальчикам, иногда и девушкам из бедных семей. Особое место в рядах отходников занимали иногда молодые вдовы. Если муж не вернулся с промысла, - в родительский дом почти всегда дорога закрыта... А коли в небогатой семье мужа вдову обижают, деваться то совсем некуда... Есть возможность выложить видеозапись, слушайте.",2024-12-21 14:12:16,106,6,4964
2368,Однако!,2024-12-17 22:14:23,12,4,581
2367,Становище Гаврилово. https://vk.com/wall-14273164_173965,2024-12-15 19:46:23,1,0,0
2348,Предлагаем ознакомиться с результатами экспедиции от 22 июля 2024г https://taju.ru/katalog/traditsii-narodnogo-iskusstva-v-sovremennoj-kulture/kulturnyj-landshaft-nasledie-pomorskogo-sela-nyukhcha,2024-11-20 20:45:49,27,6,907
2334,"Да, были и у нас такие люди, старики говорили: - "" К ему то рыба в ловушку идёт, пищит, а идёт...""",2024-11-07 19:59:10,30,3,704
2328,"Помню, помню такие поскакухи, было дело.",2024-10-27 19:24:36,11,3,438
2313,"""Отработаю, голяшки продаю, на те денежки миляшку заведу"" - нюхотская частушка",2024-10-10 20:13:31,29,7,835
2283,"Большое спасибо [id7350025|Людмила Попова] и ее подруге из Санкт-Петербурга за ценные подарки для музея ""Хламной сарай"".",2024-07-10 19:40:18,46,4,893
2271,"Лето началось, появились туристы, - вчера и сегодня. Вчера компания была большая, фотографировать было некогда, фоточки обещали сами скинуть. Сняла только маленькое видео с юным дарованием. Сегодня москвичи, пришли с Архангельска на судне до Ямы, к ним присоединились гости из Петрозаводска. Приятно, что все очень заинтересованы культурой поморов, с большим ворохом вопросов, и, снова в группе есть любители гармони.",2024-06-23 23:07:05,145,3,2647
2267,"Коллектив Топонимической экспедиции Уральского университета поздравляет Надежду Сергеевну с днем рождения! Надеемся, что соцсети нас не обманывают). Желаем вам счастья, здоровья, интеллектуальных и душевных сил для продолжения важного и нужного дела сохранения и приумножения культуры Поморья! А музею поморского быта ""Хламной сарай"" желаем дальнейшего развития и процветания! Несмотря и вопреки!",2024-06-16 19:39:40,5,0,0
2266,День России. Я люблю своё село. Экскурсия для гостей и односельчан.,2024-06-12 20:53:17,112,3,2297
2260,Новая находка -загадка из земли нюхотской.,2024-06-10 22:25:14,52,6,1085
2258,"От бродяги сына и брата  Предыстория: В 2015 году на сайте «Бессмертный полк» появилась страничка села Нюхча. При содействии жителей села и прежде всего Владимира Кичангина и Надежды Семеновой страница пополнялась фотографиями и фронтовыми историями.  День сегодняшний: Цветана Спасова из Сиднея занимается историей русских в Австралии. Ее заинтересовала надпись,которую сделал матрос из Нюхчи Григорий Докучаев. В своих поисках Цветана вышла на сайт Бессмертного полка, на страничку нашего поморского села. А вскоре пришло письмо:  «Пишу с очень необычной историей. Я сейчас исследую одну запись в Сиднее, оставленную в 1899 году на камне. На ней написано дословно - Матрос Григорий И. Докучаев с. Нюхча Архангелськ[ая губерния] Мыс Доброй Надежды 30.11.[18]99 У вас в семейных преданиях случайно таких моряков не встречалось? С уважением, Цветана»  Скорее всего, загадка надписи на камне в далекой Австралии осталась бы не раскрытой, если бы не помощь главного генеалога Беломорска Елены Карачаровой. Ей удалось выяснить, что в 1915 году в селе Нюхча проживали супруги Иван Максимович и Акулина Николаевна Докучаевы. Было у них четверо сыновей: Федор, Александр, Евгений и Григорий, дата рождения которого 24 января 1894 г. (старый стиль). Других Григориев Ивановичей Докучаевых нет, - подчеркнула Елена.  Изучив фотографию камня (не слишком хорошего качества), Елена предположила, что дата прочитана неверно: не «99», а «29». В 1929 году Григорий Докучаев, рожденный в 1894 году, вполне мог оставить эту надпись! Вопрос: мог ли он оказаться на английском моторном судне «Мыс доброй надежды»?  Хозяйка музея Хламной сарай Надежда Семенова познакомила меня с Антониной, дочерью племянницы Григория. 90-летняя Мария Федоровна поведала о судьбе своего дяди.  В 1918 году Григорий Иванович Докучаев, участник Первой мировой войны вернулся в родное село. Успел погулять на свадьбе брата Федора, а вскоре отправился на заработки – на Мурманские промыслы.  Вернуться домой Григорий не смог: началась иностранная интервенция на Севере. Не пришлось ему обнять отца и мать, подержать на коленях малолетних племянников. А их, к слову, немало. Только у брата Александра семеро: сыновья Николай, Егор, Григорий (в честь дяди?) и Иван, дочери Августина, Агнея и Елена.  Хранят потомки несколько фотографий Григория. Самая ранняя – 1924 года, с надписью: «На память дорогим родителям и братьям от бродяги сына и брата Григория. Льеж, Бельгия.  Приходили письма до 1936 года, 2 мая 1945-го переписка возобновилась. Рассказывал Григорий родным о том, что женился, о рождении сына Евгения и внука Роберта… Ушел из жизни Г.И. Докучаев в 70-е годы.  …А теперь вернемся к камню, омываемому волнами Тихого океана. Думается, ставить точку пока рано. Причаливал ли в 1929 году вышеназванный корабль к берегам Австралии, был ли в составе экипажа наш земляк? Пока это не установлено. Исследование продолжается.  (а) Татьяна Титова  На снимках: Григорий Докучаев, 1924 год. Григорий с женой и сыном Евгением. Маленький Роберт, рожденный в 1956 году.",2024-06-07 18:10:06,4,1,0
2251,"В селе Нюхча с 29 мая по 3 июня работала лингвистическая экспедиция Уральского федерального университета в составе кандидатов филол. наук Бондаренко Елены Дмитриевны, Кривощаповой Юлии Александровны и Мальковой Яны Владимировны в рамках проекта ""Ономастика Европейской России и этническая история"". В ходе работы у местных старожилов был собран богатый лексический и этнографический материал.",2024-06-02 19:57:54,123,6,1982
2242,"Шумит Нюхча - река. Вид с обрыва, где раньше была электростанция",2024-05-05 21:22:20,117,12,1764
2233,Христос воскресе!,2024-05-05 13:25:16,202,40,2851
2232,"Сегодня "" Хламной сарай"" посетили воспитанники детского сада. Как детям понятно донести тему войны? Только через игру! Малыши узнали, что военные дети играли глиничками. "" Понарошку"" Нелли сбегала за ягодами и с Ваней испекли ягоднички, а Данила ходил на рыбалку, и у него сегодня рыбник. Учились угощать друг друга. Степану понравился самосвал пятидесятых годов. После угощения пошли кататься на санках, снег, правда уже растаял, но, санки понравились! Маленькие посетители обещали придти снова. Спасибо Любовь Ивановне Суржик и Пятковой Ларисе Юрьевне за организацию экскурсии.",2024-04-27 11:32:10,87,8,1945
2197,"Сегодня в музее были посетители. В прошлую субботу тоже были, но, про сфотографироваться мы забыли. Спасибо, KareliaOK, за любознательных, интересующихся  поморской культурой гостей!",2024-03-02 19:28:37,97,3,1360
2102,Времецько ушедшее...,2023-08-04 09:21:07,13,6,625
2097,"""Были, были, побывали, Были, да, уехали..."" Сходили на Святую гору, встретились с населением, вручили подарочки, извлекли ноты из инструмента XIX века, нашли на нем ранее не описанную надпись, поиграли на гармони, изучили патефон, напекли колобков (как в сказке бабка деду пекла), НО! Главное - встретились и пообщались! Скрестим пальчики, загадаем желание на следующую поездку. Дай, Боже, всем здоровьица.",2023-07-13 09:34:01,49,2,1049
2093,С приездом!,2023-07-12 10:56:21,68,2,2045
2091,"Ура! Завтра к нам пожалуют гости дорогие - клуб ""Наша Арктика'"" и мы приглашаем вас в библиотеку на встречу с интересными людьми 12 июля в 15 часов. Андрей Салин - ""Ветреный Пояс: загадки Синегорья""; Клуб ""Наша Арктика' - ""Поморье глазами юных исследователей"". Вход бесплатный.",2023-07-11 21:11:24,27,1,746
2068,У нас гости!,2023-06-23 16:35:40,246,1,3229
2063,"""Колежомская дорога, в гору и под гору, - колежом робят любить, много разговору"" - ну, любить не обязательно, в в гости съездить можно, мне там очень нравится.",2023-06-07 00:33:47,17,4,547
2047,"Анастасьев (по ссылке - Ананьин) Н.Г. - директор клуба с. Нюхча - привез газеты рыбакам в море  Фото Базаджиева А. А., 1971 г.  Из фондов Национального музея Республики Карелия   Ссылка на Госкаталог -  https://goskatalog.ru/portal/#/collections?id=28669478",2023-02-18 22:25:32,6,0,0
2040,"Доброго времени всем!   Прошлой весной был в отпуске и решил создать данный проект. К сожалению , не успел сделать многое из того что планировал. Наложение старых видовых фото  в  настоящем времени задача не простая. Ракурсы со временем меняются кардинально и найти нужную точку съемки не просто. Но главное начать. Выложенное видео на ваше суждение и оценку.",2023-01-31 01:23:42,5,1,0
2023,"Внимание, конкурс! 🥨    #карелиядесерт@kroo_kmpi    В рамках проекта 🥨 КАРЕЛИЯ НА ДЕСЕРТ 🥨мы приглашаем всех желающих посоревноваться в своих кулинарных способностях 💪🏻🥐🥯    До 20 ноября присылайте нам в сообщения группы https://vk.com/kroo_kmpi ваши фирменные рецепты блюд с небольшим рассказом о себе (ФИО, возраст, род занятий)  Наличие фотографии приготовленного блюда приветствуется! 📷😊    Тематика кулинарных работ должна быть связана с культурой и/или историей Республики Карелия 🌲    Всех участников ждут электронные сертификаты, а 100 лучших работ будут отмечены призами!    Возраст участников не ограничен    🥨 Подробности в положении 🥨    #фондкультурныхинициатив #грантдлякреативныхкоманд  #культурнаяволна #япобедительконкурсаПФКИ",2022-11-13 22:14:34,1,1,0
2020,"В ""Хламном сарае"" сегодня были гости! Самые маленькие нюхчане - воспитанники детского сада с Екатериной Ивановной Киенок знакомились с интерьером и экспонатами поморской избы",2022-11-10 11:28:12,130,4,1895
1991,"Петрозаводск - Архангельск - Нюхча. Сегодня сотрудниками Национального музея Республики Карелия из Архангельска в Нюхчу доставлена и размещена временная передвижная выставка «Край, разбуженный Петром», созданная в рамках мероприятий проекта «Виват, Пётр Алексеевич» Ассамблеи Петровских музеев.    Выставка состоит из 12 роллапов и каждый из которых раскрывает темы, связанные с карельским краем времен Петра I: Северная война, Осударева дорога, Лодейнопольская верфь, Петровские заводы и Петровская слобода, Марциальные воды, Память и предания о Петре.    Кроме стендов на выставке представлены небольшие интерактивные модули: юные посетители смогут поиграть в настольную игру или собрать пазлы. Выставка размещается до ноября месяца в Д.К. Добро пожаловать.",2022-09-17 16:26:07,67,7,1032
1974,"Группа туристов Московского детско-юношеского центра экологии, краеведения и туризма знакомится с поморской культурой и традициями. Очень приятно было пообщаться, умники и умницы очень любознательны.",2022-08-19 23:03:36,87,4,3059
1970,"Нюхотская частушка к данной теме: ""Досвиданья, уезжаю В Каргопольщину просить, Если хочешь повидаться, Проезжай куски носить""",2022-08-10 21:27:54,12,2,899
1964,Май 2022,2022-07-17 13:10:53,9,4,0
1957,"Участники экспедиции благодарят за неоценимую помощь и поддержку Надежду Сергеевну Семенову, руководителя Местной общественной организации Беломорского района по сохранению и популяризации культуры Поморья ""Хламной сарай""!  https://petrsu.ru/news/2022/107865/nautchnaya-ekspedits",2022-07-05 19:44:32,8,1,0
1947,больше фотографий можно посмотреть здесь,2022-06-27 17:49:34,16,0,556
1946,"Фолклорная группа ""Таволга"", из села Нюхча 26 июня приняла участие в фестивале народной культуры русского Севера ""Поморский Берег"" в селе Сумский посад. Морожены песни попели, поплясали, людей посмотрели, себя показали, все довольнёшеньки остались. Спасибо организаторам за море позитива!",2022-06-27 17:48:02,160,4,2363
1945,"В селе Нюхча с 23 по 27 июня работает экспедиция Петрозаводского государственного университета в составе Урядникова Ильи Андреевича, студента-историка; Созиной Валерии Романовны, аспирантки Института филологии; Соломеща Ильи Мотелевича, доцента ПетрГУ. Цели экспедиции - сбор информации по проекту ""Русские говоры Карельского Поморья"" (грант Главы Республики Карелия); подготовка материала ""Живое слово Карельского Поморья""; социологическое исследование ""Локальная, региональная, этническая и национальная идентичность жителей Карелии""",2022-06-23 20:55:48,14,2,0
1940,Нюхчане. Фото на память.,2022-05-22 22:52:33,50,3,1951
1939,"С праздником друзья и подписчики! Старики говорили: - ""Не савь, не варвАрь,😁 а помикОль""; С Миколы для кОней - ""Одна роса лучше мешка овса!",2022-05-22 10:48:21,15,0,721
1931,"Продолжение детской темы. Возможно откликнутся родственники, где ""двОи двойникИ"", да еще в такой роскошной коляске?",2022-05-18 22:47:30,42,2,1576
1929,"Вот ещё фотографии детского сада с. Нюхча. Откликнитесь пожалуйста, у кого есть знакомые лица на первом фото, интересно узнать дату.",2022-05-17 22:39:38,51,5,1344
1925,"Село Нюхча. Детский сад. Годы разные. Узнавайте, делитесь воспоминаниями.",2022-05-16 22:01:56,114,14,2870
1914,"С днем семьи, дорогие друзья и подписчики! Нюхча. Лето 1957.",2022-05-15 20:41:07,96,4,1836
1910,"Кичигин Василий Николаевич, ст сержант, погиб 1942г ""Невский пятачок""",2022-05-09 17:32:15,7,0,0
1909,С ДНЁМ ПОБЕДЫ! Мирного неба над головой!,2022-05-09 10:54:42,55,0,721
1904,"Встреча Колышневой (Лопаткиной) Марфы Андреевны с подругой и сестрой через много лет. К сожалению с момента встречи тоже прошло не мало времени. Это было 10 июня 2006 года. На фото:  1 - мама с Козловой Алевтиной Ивановной - троюродной сестрой по линии матери; 2 - мама с Карельской Калиственией Антоновной - подругой молодости, вместе работали на ""горелке"".",2022-05-08 10:49:25,11,0,0
1894,"Нюхчанки, труженицы тыла. Кичигина Анна Федоровна, Предеина Анфея Ивановна, Шумилова Александра Ильинична награждены медалями «За доблестный труд в Великой Отечественной войне 1941—1945 гг.»",2022-05-07 22:37:00,83,5,1428
1892,"Интересная находка, как здорово, что на обороте сохранилась надпись ""Степан Божикъ"". Немного истории: - ""В начале 1919 года сюда прибыл отряд белогвардейцев и англичан. Они объявили набор в ""Добровольческий славяно-британский легион"". Нюхотские большевики повели борьбу против этого призыва. По их советам нюхчане призывного возраста уходили в леса, на рыбные тони, на Онегу к красным. Крестьяне уводили в леса лошадей. В Нюхче начались аресты, в числе первых были схвачены члены местной ячейки РКП(б). Глухой ночью 27 февраля 1919 года шестеро арестованных большевиков - И.В.Попов, Е. Г. Шумилов, С.А. Божик, И.В.Титов, В.Ф. Кичигин, А.И. Воронин вышли в скорбный путь под конвоем палачей. Е.Г. Шумилов, С.А. Божик и первый председатель местного совета И.В.Попов покоятся нынче в братской могиле в центре Нюхчи, на высоком берегу реки"". (Н. Семенова)",2022-05-07 12:07:03,48,7,892
1891,Д. сад. с Нюхча. Примерные годы 1956 - 58. Возможно вы кого либо узнаете.,2022-05-07 10:37:12,37,4,962
1889,"С. Нюхча. Военный почтальон Шамалуева Феоктиста Максимовна. В 1941 году ей довелось нести в семьи нюхчан самые первые похоронки, позднее эту функцию переложили на сельский совет. В послевоенное время Феоктиста Максимовна работала в отделении связи телефонисткой на коммутаторе, односельчане её звали просто, - Максимовна. (Н.Семенова)",2022-05-06 19:48:46,105,5,2351
1885,"Вы скучаете по селу? Видео для вас, -ледоход на реке Нюхча",2022-04-23 10:12:05,36,4,687
1873,"Нюхча в Вербное воскресенье. С праздником вас, односельчане и подписчики!",2022-04-17 10:25:25,242,12,2906
1864,ОХ И ВКУСНЫЕ ЖЕ ИЗ НЕГО РЫБНИКИ ПОЛУЧАЮТСЯ!,2022-04-14 20:18:29,12,1,455
1838,"При просмотре ""откопала"" интересное фото из ""архивной копилочки""",2022-03-01 21:44:22,52,2,1152
1834,Женщины из с.Нюхча во время войны работали в Маленге на лесозаготовках.,2022-02-26 17:46:53,22,2,759
1826,Лодки и промысловые избы.Село Териберка Кольского уезда Архангельской губернии.,2022-02-19 16:57:40,21,2,762
1796,"В декабре 2021 года ушел из жизни Моисеев Александр Егорович--замечательный человек и Доктор, который помогал многим нюхчанам в тяжелую минуту. Жил в Мурманске, но часто бывал в Нюхче. Вечная память!",2021-12-18 11:47:48,10,2,0
1792,"Здравствуйте! Хотела бы поблагодарить вас за материалы размещённые в группе. Ваши фотографии помогли мне понять особенности костюма при создании собирательного образа ""Поморской жонки"". Спасибо большое, что бережно сохраняете историю родного края.",2021-12-15 22:12:02,6,0,0
1788,"Здравствуйте. Если у Вас есть какие либо данные о Пономарёве Петре Иосифовиче отпишитесь.  Пономарев Петр Иосифович Донесение о безвозвратных потерях Дата рождения: __.__.1911 Место рождения: Карело-Финская ССР, Сорокинский р-н, с. Нюкча Воинское звание: красноармеец Последнее место службы: 54 сд Дата выбытия: 01.01.1942 Причина выбытия: убит Первичное место захоронения: Карело-Финская ССР, Калевалы р-н, д. Ювалакша, в районе, квадрат 0426  Жена Пономарёва Надежда Ивановна",2021-12-11 19:32:46,2,0,0
1774,"А ведь были и в Нюхче такие люди! Не только поморы-рекоставы, даже поморы- мореставы. Во время ВОв поздняя осень и начало зимы тепло было, - море не стояло, а план по добыче наваги выполнять надо было. Сами знаете, что в то время было за невыполнение плана. Так вот бригада Петра Дунина (отчество, к сожалению не знаю, может правнуки подскажут) в Кузнаволоке и на Варничном наволОке ""хвоИли"" шугу еловыми ветками и ""чапыжником"", нарастили лёд, чтобы поставить мерёжи. К Новому году ГОДОВОЙ! план по вылову наваги выполнили (навага в эту пору то самолучша, Икрянна). Надежда Семенова",2021-11-17 19:51:53,29,4,953
