id,text,date,likes,reposts,views
2802,"💫 В селе Рыбрека состоялся [club153296213|фестиваль-конкурс ""Вепсская сказка""], который традиционно проходит раз в два года. Участие в фестивале приняли 9 творческих коллективов из Республики Карелия, Вологодской и Ленинградской областей, 7 из которых вышли во второй этап конкурса. Ребята показали высокий уровень актерского мастерства, сценической речи и, конечно, знания вепсского языка.    Призовые места распределились следующим образом:  Номинация ""Традиционная сказка"":  🏆 1 место - Коллектив «Kastkuine»  (с. Борисово-Судское, Вологодская область), сказка «Savesine poig»  🏆 2 место - Коллектив «Todesižed sebranikad» (с. Рыбрека, Республика Карелия), сказка ""Babukpertiine""  🏆 3 место - Коллектив ""Manzikaine"" (г. Бабаево, Вологодская область), сказка «Лиса и курочка».  Номинация ""Современная сказка"":  🏆 1 место - Коллектив ""Vepsläižed lapsed"" (с. Шокша, Республика Карелия), сказка ""Vezi-tädi da Lämoidäd'""  🏆 2 место - Коллектив ""Oravaižed"" (с. Шелтозеро, Республика Карелия), сказка ""Babarmkeitosen noid – Фея малинового варенья""  🏆 3 место - Коллектив ""Хранители языка и традиций"" (с. Винницы, Ленинградская область), сказка ""Sügüzen lapsed"".    Украшением фестиваля стали самые маленькие участники - воспитанники Шокшинского и Шелтозерского детских садов.    🎁 Все участники фестиваля были отмечены сувенирами, а победители - призами.   Фестиваль состоялся при поддержке [club147415188|Министерства национальной и региональной политики Республики Карелия].",2023-11-07 17:16:00,45,3,1324
2800,"💫 В Петрозаводске состоялся этнокультурный лагерь «Встреча юных на карельской земле». Мероприятия проходило с 23 по 27 октября.   В этом году лагерь объединил 25 старшеклассников из Карелии и Тверской области, изучающих карельский, вепсский и финский языки.    ✅ За пять дней работы лагеря ребята смогли посетить лекционные и практические занятия в Петрозаводском государственном унивеситете, познакомились с экспозициями ведущих музеев республики, участвовали в мастер-классах и играх, встретились с интересными людьми и под руководством опытных наставников говорили о сохранении, развитии и популяризации языков и культур коренных народов.    Организаторами лагеря выступили Министерство образования и спорта Республики Карелия, Министерство национальной и региональной политики Республики Карелия, Кафедра Прибалтийско-финской филологии Петрозаводского государственного университета и Республиканский ресурсный центр ""Ровесник"".",2023-10-31 16:01:36,4,0,528
2799,"✅ В Республике Карелия 13 - 15 октября прошел Межрегиональный фестиваль любительских театров «TAIDOSUARI - ОСТРОВ ТВОРЧЕСТВА»    Организатором фестиваля выступила Местная общественная организация «Святозерские корни» при поддержке Президентского фонда культурных инициатив.   Свои любительские постановки на национальных языках представили 17 театральных коллективов из Мурманской, Ленинградской, Тверской областей, г. Санкт-Петербурга и Республики Карелия.   👍 Спектакли в рамках фестиваля прошли в трех национальных районах республики – Пряжинском, Олонецком и Калевальском.  Всего гастрольным туром было охвачено 11 населенных пунктов Карелии.   В программе фестиваля состоялись также мастер-классы и творческие лаборатории для руководителей и участников любительских театральных коллективов в Национальном театре Карелии.   Фото: К.Огнев",2023-10-16 17:46:00,13,0,571
2797,"📸 Друзья, в преддверии Дня народного единства [club147415188|Миннац Карелии] приглашает принять участие в конкурсе фотографий, отражающих семейные традиции народов, проживающих на территории Карелии, ""Perehen kattil sagiembah kiehuu - Семейный котел гуще кипит"".    ✅ Для участия в конкурсе на своей странице разместите фотографию вашей семейной традиции с хештегом #ДеньНародногоЕдинстваКарелия.    Это может быть фотография блюда, семейного праздника, совместного занятия традиционными видами хозяйственной деятельности, ремеслами, промыслами, и т.д.    ☝Фотографию необходимо дополнить небольшим рассказом о запечатленной традиции.    Не забудьте соблюсти обязательные условия конкурса:  - личная страница должна быть открыта на время проведения конкурса,  - необходимо быть подписанным на группу [club147415188|МинНац & Регион политики Карелии] и [id470731304|страницу Министра национальной и региональной политики Карелии С.В. Киселева].    📅 Фотографии можно размещать до 1 ноября 2023 года включительно.    Итоги конкурса будут объявлены на странице Министерства в День народного единства 4 ноября.    🎉 Победитель получит памятный приз от Министерства.    Фото и куклы: Маргарита Кемпайнен.",2023-10-13 17:54:00,10,4,1160
2795,"📺 Друзья, а вот и новые выпуски [club208673383|Детского юмористического журнала Kuki-rikku]!   Kuki-rikku – это небольшие видеоролики на карельском и вепсском языках, рассказывающие добрые и забавные истории из повседневной жизни. В главных ролях – обычные мальчишки и девчонки, изучающие национальные языки, а также их родители. Участвуя в проекте, ребята практикуют свои знания и обучаются сценической речи и актерской игре.   Ролики сопровождаются субтитрами на русском языке - смотреть их можно всей семьей!   Все выпуски юмористического журнала можно найти в [club208673383|группе проекта].   Приятного просмотра и хорошего настроения!",2023-10-12 17:38:00,6,0,359
2793,"💫 Друзья! Продолжается подготовка к традиционному [club153296213|Межрегиональному фестивалю-конкурсу «Вепсская сказка»].   К участию в фестивале приглашаются любительские театральные коллективы, действующие на вепсском языке.  Возраст участников от 7 лет до 21 года.    Творческое соревнование будет проходить по двум номинациям:  ✅Современная сказка; ✅Традиционная сказка.   Для участия в конкурсе необходимо записать на видео сказку на вепсском языке (продолжительностью - не более 20 минут).    Очный этап Фестиваля будет проходить в ноябре в селе Рыбрека Прионежского района.   📍Заявки принимаются до 20 октября 2023 года. Подробности и положение о конкурсе ищите в группе [club153296213|Фестиваля].",2023-10-05 15:45:36,15,1,749
2791,🌿В Республике Карелия завершилась работа Молодежной сессии по вопросам этнокультурного развития коренных народов «ЭтноPRO».   Подробности в нашей статье 👇,2023-08-16 17:32:00,3,0,383
2789,"💫 В Международный день коренных народов мира жители Карелии станцевали карельский танец «круугу»   [club184153296|Республиканская акция «Флешмоб «Карельская крууга»] с 2017 года традиционно проводится в г. Петрозаводске в Международный день коренных народов мира 9 августа.    В этом году флешмоб, участие в котором приняли 300 жителей и гостей города Петрозаводска, состоялся на набережной Онежского озера.   Крууга – традиционный карельский круговой танец. В разных местах Карелии танец исполняли по-своему. Рисунок крууги зависит от фантазии и изобретательности ведущего. Сейчас в Карелии без исполнения карельской крууги не обходится ни один праздник. Этот танец является символом единения, мира и согласия между народами, проживающими в республике.   Организаторами флешмоба выступают [club147415188|Министерство национальной и региональной политики Республики Карелия] и [club28399192|Издательство «Периодика»].",2023-08-15 15:14:33,11,0,568
2788,"💃 Друзья! В День коренных народов мира 9 августа мы снова приглашаем вас закруужиться в традиционном карельском танце!    🎵 Площадкой ""Карельской крууги"" в этом году станет набережная Онежского озера в городе Петрозаводске. Начинаем в створе проспекта Ленина в 18.00.    👫 Приходите сами и приводите родных и друзей, национальные костюмы приветствуются!    💃Предлагаем Вам вспомнить, как танцевали карельскую круугу в прошлом году, приятного просмотра!",2023-07-28 14:49:24,49,9,2133
2787,"📖 Книжный фонд Национальной библиотеки Республики Карелия пополнился уникальными изданиями из серии антологий «Современная литература народов России».    📗 «Драматургия» - включает в себя художественные переводы на русский язык драматических произведений 70 авторов, созданных за четверть века существования новой России на 40 национальных языках, а также подборку фотографий, сделанных на представлениях публикуемых пьес в театрах нашей страны.    📘 «Публицистика» содержит переводы на русский язык произведений, написанных 134 авторами на 45 языках коренных народов нашей страны. Издание включает тексты, созданные писателями на своих языках в форме очерков, портретов, путевых заметок, эссе, зарисовок, хроник событий, фельетонов.    📙 В «Народной мудрости» представлено многоязычное собрание ее жемчужин, которое является ярким отражением исторической, экономической и социальной жизни разных народов. Антология включает в себя оригиналы пословиц и поговорок, их дословные переводы, а также пометки, касающиеся их тематической принадлежности, случаев употребления в живой речи. В издании представлены пословицы и поговорки на 65 национальных языках.    Ранее Министерством национальной и региональной политики в библиотеку были переданы книги «Поэзия», «Детская литература» и «Проза».   Книги изданы в рамках реализации «Программы поддержки национальных литератур народов Российской Федерации». Всего вышло в свет 6 многоязычных антологий литератур народов России.",2023-06-15 17:58:00,4,2,455
