id,text,date,likes,reposts,views
582,"Представители команды проекта ""Руны потаённых селений"" приняли участие во встрече группы ""Карелия своими глазами"", на которой рассказали о реализации проекта. Участникам встречи было продемонстрировано несколько видеосюжетов об утраченных деревнях и хуторах Калевальского района, подготовленных в рамках проекта, которые войдут в итоговый документальный фильм. #ПрезидентскиеГранты #ФондПрезидентскихГрантов #РуныПотаенныхСелений",2025-04-14 15:11:46,30,1,522
580,"Сегодня исполняется 105 лет со дня рождения Народного писателя Карелии Ортьё Степанова. В преддверии этой даты сын писателя Михаил Степанов дал интервью Карельскому радио, в котором рассказал об огромном вкладе писателя в карельскую литературу и о работе по сохранению памяти об О.Степанове и его наследии.",2025-04-07 14:38:13,91,8,1244
577,"Сюжет, рассказывающий о проекте «Руны потаённых селений», вышел в программе «Viestit. Karjala» национальной редакции ГТРК Карелия. Проект «Руны потаённых селений» реализуется Фондом Ортьё Степанова при поддержке Фонда президентских грантов. #ПрезидентскиеГранты #ФондПрезидентскихГрантов #РуныПотаенныхСелений",2025-03-27 17:01:36,21,0,660
573,"Продолжаем работу в рамках проекта «Руны потаённых селений» по разработке и созданию информационных интерактивных модулей для культурно-этнографического маршрута по утраченным рунопевческим деревням Калевальского района. При разработке эскизов модулей проектная команда изучила десятки исторических и современных музейных фотографий, графических изображений и описаний различных предметов, приспособлений, конструкций, инструментов, орудий, использовавшихся беломорскими карелами в работе, жизни и быту. Некоторые из традиционных вещей попробуем воссоздать как полноценные модули в их изначальном виде, другие элементы материальной жизни карелов станут основными частями интерактивных модулей. Открытие маршрута для посещения планируется летом этого года в деревне Хайколя. Проект «Руны потаённых селений» реализуется Фондом Ортьё Степанова при поддержке [club143830192|Фонда президентских грантов]. #ПрезидентскиеГранты #ФондПрезидентскихГрантов #РуныПотаенныхСелений",2025-02-26 16:08:58,42,5,2720
571,"Ольга и Михаил Степановы приняли участие в работе XIX научной конференции «Краеведческие чтения» «Культурное и научное наследие Карелии: преемственность традиции». Представители Фонда Ортьё Степанова выступили с сообщением «Материальные носители нематериальной культуры карелов: от деревянного календаря ""пуаликко"" до смартфона» в рамках секции «Традиции коренных народов Карелии в контексте развития региона». Одна из основных тем выступления - работа по проекту «Руны потаённых селений», реализацией которого занимается Фонд Ортьё Степанова при поддержке [club143830192|Фонда президентских грантов]. #ПрезидентскиеГранты #ФондПрезидентскихГрантов #РуныПотаенныхСелений",2025-02-21 15:40:51,68,6,1112
569,"Одним из основных результатов проекта ""Руны потаённых селений"" должен стать маршрут Хайколя, посвященный утраченным рунопевческим деревням Калевальского района. На маршруте будут установлены информационные интерактивные модули, с помощью которых можно будет узнать о разных поселениях района и попробовать себя в роли их жителя. Еще летом представители команды проекта проводили разведку и разработку создаваемого культурно-этнографического маршрута, определяли его траекторию и места размещения информационных интерактивных модулей. Параллельно были начаты работы по проектированию и созданию интерактивных модулей в материале. Например, в одной из точек маршрута планируется представить традиционные карельские аэрофоны - пастушечьи рожки, гудки и флейты. С просьбой познакомить с одним из таких инструментов - флейтой Pilli - мы обратились в мастерскую [club225011939|Koivu Pilli] к Александру Девятко. Надеемся, что сможем предоставить возможность посетителям маршрута в Хайколя по достоинству оценить инструменты, изготовленные Александром, уже следующим летом. Проект ""Руны потаённых селений"" реализуется при поддержке [club143830192|Фонда президентских грантов] .  #ПрезидентскиеГранты #ФондПрезидентскихГрантов",2024-11-29 17:36:35,98,5,1473
566,"Фонд Ортьё Степанова продолжает работу над проектом ""Руны потаённых селений"". Помимо культурно-этнографических исследовательских поездок по Калевальскому району команда проекта занимается поиском информации по исчезнувшим деревням, селам и хуторам в библиотеках и архивах. В том числе благодаря работе с источниками и исследовательской литературой за время реализации проекта найдены и обработаны очень ценные и любопытные сведения об истории и жителях целого ряда утраченных поселений Калевальского района. Эта информация будет положена в основу мобильного гида, а также станет важной частью интерактивных информационных модулей на маршруте в деревне Хайколя, создаваемых в рамках проекта. Приглашаем всех желающих присоединиться к сбору информации по утраченным деревням Калевальского района. Для этого необходимо перейти по ссылке и заполнить форму. Наиболее активных информантов ждут оригинальные памятные подарки.  https://forms.yandex.ru/cloud/67487155eb61465d23111b8b/ Проект ""Руны потаённых селений"" реализуется при поддержке [club143830192|Фонда президентских грантов].  #ПрезидентскиеГранты #ФондПрезидентскихГрантов",2024-11-28 16:24:08,85,5,2835
564,"В Калевала, Хайколя и Хяме неожиданно выпал и так же быстро, как медвежьи следы на лесной дороге, растаял первый снег. А команда проекта ""Руны потаённых селений“ отправилась в очередной небольшое исследовательское путешествие по Калевальскому краю. За прошедшее время мы уже побывали и узнали много о Луканниеми (благодаря неоценимой помощи Андрея, Екатерины и Марии Урбанович, Галины Зайцевой и Юлии Карельской), в Чикше, Микколя и Ювалакше (большое спасибо за помощь и компанию Виталию Ковалеву), в Айгубе (большое спасибо за помощь и теплый прием Андрею, Вячеславу и Виктору Леттиевым, Василию Ермакову и Александру Пышному), в Малвиайне (огромная благодарность за эту поездку Константину Шалминену, Ивану Кононову и Нине Станкевичус) и Регозеро. Низкий поклон Раисе Архиповой и Надежде Архиповой за воспоминания об Алозере, а так же Раисе Селиванович и Нине Яковлевой за рассказ о Пизьмагубе (не теряем надежды в скором времени попасть в эти заповедные места). Ну, и конечно, огромная благодарность нашим постоянным помощникам - Анне и Владимиру Антипиным, Сергею и Татьяне Аничкиным, Виктору и Марии Яхимовичам, Владимиру Лукину за поддержку и всемерное участие, советы и информацию. Проект ""Руны потаённых селений"" реализуется при поддержке [club143830192|Фонда президентских грантов]. #ПрезидентскиеГранты #ФондПрезидентскихГрантов",2024-10-08 22:59:44,107,10,3045
562,"Фонд Ортьё Степанова вошел в число победителей конкурса на предоставление грантов Президента Российской Федерации на развитие гражданского общества и при поддержке [club143830192|Фонда президентских грантов] приступил к реализации проекта ""Руны потаенных селений"". На первом этапе команде проекта предстоит сформировать базу сведений об утраченных рунопевческих поселениях Калевальского района для будущего культурно-этнографического маршрута в Хайколя. За месяц реализации проекта нам уже удалось организовать небольшую исследовательскую экспедицию по заповедным местам Калевалы, встретиться с замечательными людьми - выходцами из рунопевческих сёл, деревень и хуторов и их потомками. Мы безмерно благодарны всем вам за то, что согласились поделится с нами своими историями и воспоминаниями, информацией о своей малой родине и культурных традициях своих предков и земляков. Команда проекта планирует продолжить встречи с жителями Калевальского района в рамках проекта ""Руны потаенных селений"". Всё только начинается...",2024-08-01 16:58:27,109,13,3100
547,"В эти дни исполняется 20 лет с момента основания Фонда Ортьё Степанова.  За время работы Фонда было сделано немало для сохранения и популяризации культурного наследия Карелии и Калевальского района, творческого наследия Народного писателя Карелии Ортьё Степанова и его коллег, российских и карельских писателей, поэтов, художников. Мы познакомились и поработали со множеством замечательных и неравнодушных людей. Спасибо всем, кто помогал и продолжает помогать нам в нашем деле! И мы вместе с вами продолжим дальше возрождать старинную рунопевческую деревню Хайколя, рассказывать об истории и культуре нашего края гостям и жителям Карелии.",2024-05-15 15:15:37,215,11,4546
