id,text,date,likes,reposts,views
4862,Национальный интерес  БУДЕМ ПИСАТЬ ПО-КАРЕЛЬСКИ  Уважаемые калевальцы! Этнокультурный центр «КАЛЕВАЛАТАЛО» приглашает знатоков и любителей карельского языка присоединиться к ежегодной акции «Диктант на карельском языке». В этом году он пройдет с 22 по 27 апреля и будет посвящен значимому доля нас всех событию – 80-летию Победы в Великой Отечественной войне.   Мы ждем вас в этнокультурном центре 22 апреля,2025-04-16 10:04:04,8,0,475
4863,"Обратите внимание  ДОРОГИЕ ДРУЗЬЯ!  Сообщаем вам, что торжественное подведение итогов XIII-го районного конкурса «Светлое Христово Воскресение» и награждение победителей пройдет 20 апреля в 14.00 в Центре помощи детям по адресу: ул. Пионерская, 15.  Приглашаем всех желающих!",2025-04-18 10:00:38,27,3,757
4860,"Итоги  ПОБЕДИТЕЛИ ОПРЕДЕЛЕНЫ  Завершился прием работ на конкурс «Светлое Христово Воскресенье», который проводится его организаторами - этнокультурным центр «КАЛЕВАЛАТАЛО» и православный приход Петропавловского храма п. Калевала – уже на протяжении ряда лет. Вчера жюри конкурса подвело его итоги.  Всего было представлено 23 работы – индивидуальные, коллективные, семейные. Все они отражают тему конкурса, выполнены в различных техниках, красивые и не похожие одна на другую.  Среди победителей в различных возрастных категориях и среди творческих и семейных коллективов названы Алиса Акулич, Максим Маркелов, Олег Едрышов, Анастасия Шварченко и другие участники конкурса (подробнее смотрите в прикрепленном файле).  Со всеми конкурсными работами можно познакомиться на специально организованной выставке в этнокультурном центре «КАЛЕВАЛАТАЛО». Она будет работать до 27 апреля.  О месте и времени награждения победителей конкурса мы, уважаемые читатели, известим вас дополнительно. Следите за нашими публикациями.",2025-04-15 11:20:32,37,3,2173
4855,"Сотрудничество  ИЗ ПОЕЗДКИ С НОВЫМИ ИДЕЯМИ  Вчера специалисты этнокультурного центра «КАЛЕВАЛАТАЛО» знакомились с работой краеведческого музея «Поморье» г. Кемь. Поездка состоялась в рамках ответного визита: напомним нашим читателям, что в октябре прошлого года кемляне приезжали в Калевалу, они рассказали о своей работе, делились опытом, знакомили наших жителей с традициями поморья.  В ходе своего визита сотрудники этнокультурного центра «КАЛЕВАЛАТАЛО» рассказали кемским школьникам об обустройстве карельского дома, мастерили вместе с ребятами куклу «Северная берегиня». Увлекательной и познавательной стала этнографическая интерактивная программа «Предметы старины далекой».  Поездка стала важной и продуктивной – она позволила познакомиться с работой наших соседей и взять на «вооружение» новые идеи для дальнейшей работы.",2025-04-11 10:38:20,39,3,2704
4852,"Мы работаем для вас  НА ФИНИШЕ КАЛЕВАЛЬСКОЙ МОЗАИКИ Сегодня, в день рождения создателя эпоса «Калевала» Элиаса Лённрота воспитанники детского сада №2 из групп «Lintuset» и «Varpuset» побывали в доме карельской сказительницы Марии Ремшу. Они пришли сюда, чтобы познакомиться о прошлой жизни предметов обихода, хранящихся в этом старинном доме, а также знакомились с героями эпоса «Калевала».  Наперебой девчонки и мальчишки отвечали на вопросы сотрудников этнокультурного центра Елены Картунен и Виктории Тихоновой, складывали сказочные пазлы.  А еще дошколята с удовольствием пили чай вприкуску с сахаром и баранками.  Этим мероприятием этнокультурный центр «КАЛЕВАЛАТАЛО» завершил марафон калевальской мозаики, который стартовал 28 февраля.",2025-04-09 11:39:47,53,1,1034
4845,"Лица Победы  ФРОНТОВЫЕ КИЛОМЕТРЫ ЛЕО ЙОУСИНИЕМИ  Наш земляк Йоусиниеми Лео Васильевич родился в селе Ухта (ныне Калевала) в 1911году. Еще до начала Великой Отечественной войны он был известен как один из первых в районе водителей автомобиля, которые доставляли различные грузы в определенные точки назначения.  В первые дни войны, 25 июля 1941 года Лео Васильевич был призван на фронт Калевальским райвоенкоматом и в составе 54-ой стрелковой дивизии начал свой боевой путь на Карельском фронте.  Красноармеец Лео Йоусиниеми был фронтовым шофером. Долгих четыре военных года он крутил баранку машины, на своей полуторке доставлял на передовую снаряды и армейское снаряжение, так необходимые нашим бойцам. По разбитым снарядами дорогам, под постоянными обстрелами полуторка Лео Васильевича исправно шла к Победе, отмеряя сотни километров фронтовых дорог.  За участие в боях и освобождение города Хайлигенбайль, (что находился на границе с Польшей), который был последним опорным пунктом обороны немцев на побережье залива Фришгав, приказом Верховного Главнокомандующего Иосифа Сталина красноармейцу Йоусиниеми была объявлена именная благодарность.  «Славному гвардейцу Йоусиниеми Л.В.  Боевой товарищ, поздравляю Вас с возвращением в родную семью и желаю дальнейших успехов в жизни! Вы прошли славный путь с дивизией, носящей гордое и славное звание гвардейской, Кременчугско-Знаменской, Краснознаменной имени Суворова. Выражаю уверенность, что Вы и на фронте созидательного труда будете высоко нести гвардейское звание», - такие слова написал в благодарственном письме нашему земляку дивизионный генерал-майор Смирнов. Всего же Лео Васильевич за время фронтовых будней получил в свой адрес 18 благодарностей от командования. Его боевой путь украшают медали «За победу над Германией» и «За боевые заслуги».  Демобилизовавшись, Лео Васильевич Йоусиниеми вернулся в родные края и вновь сел за баранку автомобиля. Он добросовестно трудился на предприятиях нашего поселка. Как и в бою, трудился с полной отдачей, честно, на совесть.",2025-04-07 10:46:30,34,2,871
4833,"Рампа  ВЕРЬТЕ ИЛИ НЕ ВЕРЬТЕ, НО ЭТО БЫЛО ТАК  Сегодня в этнокультурном центре «КАЛЕВАЛАТАЛО» с большим успехом прошла премьера спектакля «UŠKOKKUA TAHI ELKYÄ, VAIN NÄIN ŠE OLI».  Спектакль стал очередной премьерой театральной студии ""MKŠ"" и вызвал большой интерес у зрителей. «Браво!» калевальским артистам, «Браво!» режиссеру – заслуженному работнику культуры Карелии Валентине Сабуровой.  Сообщаем зрителям, которые сегодня не смогли прийти на премьеру: в предстоящие майские праздники наши артисты вновь пригласят вас на показ спектакля «UŠKOKKUA TAHI ELKYÄ, VAIN NÄIN ŠE OLI». Следите за нашими публикациями.  #НеделиЯзыковИКультурНародовКарелии",2025-04-06 14:12:08,118,8,2637
4827,"Обратите внимание  ВСЕ БИЛЕТЫ ПРОДАНЫ  Уважаемые калевальцы, эта информация для тех, кто еще не приобрел билеты на спектакль «Верьте или не верьте, но это было так». С сожалением мы говорим о том, что все билеты на премьеру уже ПРОДАНЫ.",2025-04-04 12:34:07,8,0,809
4823,"Обратная связь  НА СТАРОЙ ФОТОГРАФИИ Эти снимки прислала наша читательница Нина Архипова. Она пишет: «У меня сохранились старые фотографии от мамы, Косси Марии Даниловны. Она работала педагогом в деревне Вокнаволок. На одном фото, возможно, районный августовский педсовет, нет даты, но многие узнаваемы». На других снимках, по словам Нины Архиповой, педагоги и ученики вокнаволокской школы.  Вглядитесь в эти фото, уважаемые читатели. Может, на них запечатлены знакомые лица ваших родных, близких и знакомых.",2025-04-04 09:26:48,69,9,1503
4812,"Слово автору  СТИХИ ОТ СЕРДЦА И ОТ ДУШИ  Дорогие читатели, сегодня в нашей литературной рубрике свои стихи читает жительница Калевалы Татьяна Никонова. Татьяну особо представлять не надо – она хорошо знакома жителям нашего района. Татьяна Васильевна пишет замечательные стихи. Их в поэтической копилке автора много, и удивительно, что практически, все свои стихотворения Татьяна Никонова знает наизусть.",2025-04-03 10:06:59,166,14,2041
