id,text,date,likes,reposts,views
6806,"Приглашаем на презентацию Акции!  Союз карельского народа подводит итоги Акции ""Карелы в Великой Отечественной войне"". Десятки фотографий из семейных альбомов были присланы участниками акции, на которых можно рассмотреть дома, в которых жили карелы, увидеть лица детей и взрослых, взглянуть в глаза героям…   23 апреля приглашаем всех желающих в Дом дружбы народов РК на презентацию, где будет представлена страница акции в социальной сети ВКонтакте и фотовыставка. Можно будет услышать рассказы участников акции о людях, изображённых на фото, спеть вместе с вокальной группой Карельского народного хора ""Oma pajo"" песни ""Катюша"" и ""День Победы"".  Мероприятие проводится в рамках проекта «Карелия в лицах: История. Язык. Культура» при поддержке Фонда грантов Главы Республики Карелия.    #фондгрантовГлавы #грантыГлавыКарелия #Новости@karjalanrahvahanliitto",2025-04-19 11:00:37,27,5,480
6802,"Великой Победе посвящается!   16 апреля состоялся заключительный этап мини-лекций в рамках проекта «Карелия в лицах: История. Язык. Культура». В Центре культуры «Петровский» собрались люди, чтобы ещё раз обратиться к истории Победы в Великой Отечественной войне.   О подвиге Марии Мелентьевой и Анны Лисицыной участники мини-лекции узнали из мультфильма, подготовленного мастерской «Домик света».   С большим интересом слушатели узнали о военных фотографах Карельского фронта», с которыми познакомил Жений Парфенов, научный сотрудник БУ «Национальный музей Республики Карелия».   Татьяна Зайцева, руководитель Карельского народного хора «Oma pajo», рассказала о песнях военных лет. И вместе с вокальной группой хора все желающие спели песни «Катюша» и «День Победы» на карельском языке.   Мероприятие организовано Союзом карельского народа в рамках проекта «Карелия в лицах: История. Язык. Культура» при поддержке Фонда грантов Главы Республики Карелия.    #фондгрантовГлавы #грантыГлавыКарелия #Новости@karjalanrahvahanliitto",2025-04-17 15:32:37,30,2,492
6799,Театр ждёт в гости!,2025-04-11 08:59:53,8,3,400
6798,"Великой Победе посвящается!  Приглашаем всех желающих 16 апреля в 16.00 собраться в Центре культуры «Петровский» (ул. Андропова, 1) и послушать мини-лекции, посвящённые 80-летию Победы в Великой Отечественной войне.    Темы выступлений:  1. «Карельские девушки-разведчицы», Т. Сеппянен, и.о. директора МБУ «Этнокультурный центр Пряжинского национального муниципального района»  2. «Военные фотографы Карельского фронта», Ж. Парфенов, научный сотрудник БУ «Национальный музей Республики Карелия»  3. «Песни военных лет», Т. Зайцева, руководитель Карельского народного хора «Oma pajo»    Вход свободный.    Мероприятие организует Союз карельского народа в рамках проекта «Карелия в лицах: История. Язык. Культура» при поддержке Фонда грантов Главы Республики Карелия.   #фондгрантовГлавы #грантыГлавыКарелия #Новости@karjalanrahvahanliitto",2025-04-09 15:53:53,19,7,1089
6796,"Открытки доставлены!    Поздравительные открытки от школьников г.Питкяранты, п.Ильинского Олонецкого района, п.Эссойлы Пряжинского района, г.Сегежи и г.Медвежьегорска, которые приняли участие в «Карельском патриотическом десанте», переданы бойцам из Карелии, 543 артиллерийский дивизион.    Наши защитники были очень рады прочитать строки на родном языке! И просили передать всем ребятам огромное спасибо!    Слова благодарности выражаем мобильной группе патриотического движения «Карельский фронт» и, в частности, членам Общественной палаты Республики Карелия [https://vk.com/id564919380|Валерию Лазареву] и [https://vk.com/miha1971|Илье Герасёву], которые доставили поздравления бойцам в зону СВО.    «Карельский патриотический десант» проводился в рамках проекта «Карелия в лицах: История. Язык. Культура» реализуется Союзом карельского народа при поддержке Фонда грантов Главы Республики Карелия.    #фондгрантовГлавы #грантыГлавыКарелия #Новости@karjalanrahvahanliitto",2025-04-08 10:19:59,13,4,470
6795,Смотрим сюжет общего собрания Союза карельского народа 29 марта 2025 г.,2025-04-04 13:43:16,11,1,386
6792,В рамках недели языков и культур народов Карелии смотрим сюжет о деятельности старейших организаций коренных народов республики.,2025-04-02 10:44:00,31,6,1194
6791,Союз карельского народа тоже присоединяется к Акции. Следите за анонсами на нашей странице!,2025-04-01 12:16:34,11,7,410
6787,"Работа будет продолжена❗  29 марта состоялось общее собрание общественной организации [https://vk.com/karjalanrahvahanliitto|Karjalan Rahvahan Liitto], на котором были заслушаны отчёты о деятельности организации за прошедшие три года и состоялись выборы новых руководящих органов.    На должность Председателя СКН была переизбрана Анна Яковлева, в состав Правления вошли:  Александр Еремеев, Валентина Либерцова, Валентина Миронова, Наталья Богданова, Дина Канашевич, Наталья Синицкая.    Союз карельского народа продолжит свою работу по сохранению и развитию карельского языка и культуры, уделяя особое внимание молодёжи.   Hyvii tuloksii ruavos, Liitto!   #Новости@karjalanrahvahanliitto",2025-03-31 11:05:04,43,6,886
6786,"Вспомним моменты встречи, которая состоялась 19 марта.",2025-03-27 09:31:13,13,2,416
6785,"Внимание❗Общее собрание‼  Уважаемые члены Союза карельского народа!  29 марта в 12.00 в Доме дружбы народов Республики Карелия ( ул. Германа Титова, д.3, 3 этаж) состоится отчётно-выборное собрание организации.  В повестке: 1. Отчёт председателя Союза карельского народа за три года работы организации. 2. Отчёт ревизора Союза карельского народа о финансово-хозяйственной деятельности организации за три года. 3. Выборы председателя и правления организации.  Приглашаем всех членов Союза карельского народа принять участие!",2025-03-26 10:58:52,16,9,2148
6784,"Присоединяйтесь к Акции❗   Продолжается Акция «Карелы в Великой Отечественной войне», объявленной Союзом карельского народа. Участники присылают фотографии, рассказывающие о событиях военных лет. Мы можем рассмотреть дома, в которых жили карелы, увидеть лица детей и взрослых, взглянуть в глаза героям… Фотографии разноплановые, но за каждой стоит история конкретной семьи.   Посмотреть фотоматериалы Акции можно на странице: vk.com/club229257681. До 31 марта можно прислать фотографии из семейных альбомов, сделанные в годы Великой Отечественной войны на территории Карелии. Расскажите всем о героях, которыми гордится ваша семья, о родных, которые пережили тяжёлые военные годы, покажите места, на территории которых проходили исторические события.    Фотографии предоставлены из фотоархива семей Н.Сорокиной, Н.Карпина, К.Власковой, В.Макаровой.   Акция проводится в рамках проекта «Карелия в лицах: История. Язык. Культура» при поддержке Фонда грантов Главы Республики Карелия.    #фондгрантовГлавы #грантыГлавыКарелия #Новости@karjalanrahvahanliitto",2025-03-25 10:46:44,97,29,10160
6783,"💛 Дорогие любители этнографии, архитектуры и традиционных ремесел!    🔔 [club107711964|Фонд ""Траектория""] приступает к реализации проекта «Память древней карельской земли: познаем ремесла и сохраняем наследие». И в рамках проекта мы предлагаем вам посетить онлайн-лекции, связанные с историей карельской земли и продолжить знакомство с дорогим нашему сердцу кусочком этой земли - деревней Гафостров.    О проекте - https://gafostrov.ru/memory-of-karelian-land    В рамках проекта будут организованы 📝 занятия в трех секциях:  📌 Архитектура и сохранение объектов деревянного зодчества Олонецкой и Беломорской Карелии;  📌 Традиции обработки дерева: столярное и плотницкое ремёсла, лодкостроение в Карелии;  📌 Домашнее рукоделие и кулинарные традиции Карелии.    В ходе лекций мы🧐:  📌 поговорим о формировании традиционной застройки поселений на территории Олонецкой и Беломорской Карелии, а также об основных типах построек;  📌 узнаем, как проходили реставрационные работы деревянных жилых, хозяйственных и культовых построек на этих территориях;  📌 обсудим, как создавать элементы дома - пол, потолок, дверь, окно, крыльцо;  📌 и обязательно поговорим о традиционном лодкостроении;  📌а также научимся:  - вырезать из дерева предметы интерьера - уменьшенные копии мебели, посуду, штампы и игрушки;  - кроить мужские порты и вязать иглой;  - создавать проекты построек в программе 3D-Max.    ✅ Присоединяйтесь к нашим уютным и увлекательным онлайн-встречам и мастер-классам! Мы начнем их проводить уже этой весной, продолжим осенью, а закончим зимой 2026 года.    ❗ Участие в проекте бесплатное.  Стать слушателями онлайн-лекций могут все желающие после короткой регистрации - https://forms.gle/vFSsEfEZBYVb8Lir8    Присоединиться можно в любой момент.  Для этого достаточно следить за новостями проекта и вовремя подключаться к ним.    💻 После регистрации вам будет предоставлен доступ в систему дистанционного обучения (СДО) фонда «Траектория», где вы сможете общаться, поддерживать связь с авторами лекций и мастер-классов, получать ответы на вопросы, знакомиться со списками рекомендуемой литературы по темам секций проекта.    Следите за новостями на сайте и на странице проекта ВКонтакте.    🤔 Если есть вопросы, напишите нам.  Менеджер проекта: Екатерина Вавилова - evavilova@traektoriafdn.com    🤝 Партнеры проекта:    Управление по охране объектов культурного наследия Республики Карелия, Петрозаводский государственный университет, Администрация Муезерского района Республики Карелия, Государственный историко-архитектурный музей-заповедник «Кижи», Морской клуб «Полярный Одиссей», Карельская региональная общественная организация «Фонд Архиппы Перттунен», Издательство «Периодика» и Национальный меда-портал Карелии OMAMEDIA, Интернет-ресурс Архи.ру, Архиблог «Форма».    💫 Проект реализуется при поддержке [club205606768|Президентского фонда культурных инициатив].    #ремесло #карелия #президентскийфондкультурныхинициатив #пфки #фондтраектория #север #кравтоваякультура #деревнягафостров #традиции #культура",2025-03-24 09:24:55,13,9,718
6781,"Дети Карелии - бойцам СВО❤  Осенью 2024 года «Карельский патриотический десант» побывал в г.Питкяранта, п.Ильинский Олонецкого района, п.Эссойла Пряжинского района, г.Сегежа и г.Медвежьегорске. Участники десанта, подростки 12-16 лет написали поздравительные открытки, посвящённые приближающемуся 80‑летию Победы в Великой Отечественной войне. И это не простые открытки, а написанные на двух языках карельском и русском.   Сегодня [https://vk.com/id222861583|Анна Яковлева], председатель Союза карельского народа, член Общественной палаты РК передала открытки ребят [https://vk.com/id564919380|Валерию Лазареву], члену Общественной палаты РК, который в ближайшее время направляется в командировку в зону Специальной Военной Операции и передаст поздравления бойцам подразделений.   Нужно отметить, что молодые люди подошли с большим трепетом к выбору фраз для поздравлений. Многие писали: «Берегите себя! Мы ждём вас с победой! Мы вас любим!» Мы надеемся, что нашим бойцам будет приятно получить тёплый привет из Карелии в преддверии великого праздника Дня Победы!   Проекта «Карелия в лицах: История. Язык. Культура» реализуется Союзом карельского народа при поддержке Фонда грантов Главы Республики Карелия.   #фондгрантовГлавы #грантыГлавыКарелия #Новости@karjalanrahvahanliitto",2025-03-21 16:01:06,28,4,1028
