id,text,date,likes,reposts,views
1434,"С чего начался фестиваль?    Уже скоро Кинерма будет встречать гостей со всей округи на фестивале ремёсел, который пройдёт 1 мая 2025 года.  Идея его создания появилась у меня летом. Хотелось как-то рассказать и показать те ремёсла, которыми владели наши предки.  Сперва в голове возникла идея проведения мероприятия, потом пришло осознание, что мы можем организовать целую выставку, посвящённую местному ремеслу. Затем всё сложилось воедино.    Грядущий фестиваль — это возможность посетить новые кинермские экспозиции и ремесленные мастер-классы, а также увидеть, что мы сделали за прошедший год.    Но такие большие дела никогда не смогут обойтись без помощи инициативных и добрых людей. Мы в Кинерме привыкли работать сами: строим, реставрируем дома, поддерживаем состояние деревни своими руками, обходимся практически без сторонней поддержки. Однако после «Круга благотворителей» мы поняли, что можно просить людей о помощи — и, главное, они отвечают взаимностью.    «Круг благотворителей» — это уникальный проект, благодаря которому инициативные люди могут получить средства на реализацию своих идей. Важно, что деньги выделяют не абстрактные организации или государство — на каждый проект жертвуют обычные люди.    Моей целью было закупить ремесленное оборудование (топоры, тесла), которое будет использоваться на фестивале во время мастер-классов. Но самое главное — качественные инструменты помогут нам в реставрации исторических домов, которую мы проводим самостоятельно.  Также в планах было приобрести сценическое оборудование и свет для новых экспозиций.    На «Круге» нам удалось собрать более 100 000 рублей на реализацию проекта. Удивительно, что изначально мы запрашивали всего 60 000. Другие проекты тоже получили больше средств, чем планировали. Для благополучателей открылись новые возможности — дополнительные ресурсы для воплощения идей.    Наши выставки почти готовы. В последние дни приводим деревню в порядок, чтобы провести если не идеальный, то очень достойный фестиваль. Работа идёт полным ходом, и мы ждём именно вас в Кинерме 1 мая!    И помните: мир не без добрых людей. Огромное спасибо всем, кто причастен!",2025-04-19 21:09:56,136,17,3546
1432,"Terveh!  Теперь вся информация про наш фестиваль находится на странице мероприятия.  Мы ждем там абсолютно всех, кто сможет приехать в Кинерму 1 мая, на наш ремесленный фестиваль""Vahnat päivät"" По всем вопросам, просим писать туда.  Спасибо!",2025-03-15 20:06:07,27,9,1054
1431,"Живые герои рун  Красива и богата карельская земля: могучие леса, необъятные озера и реки, свежий воздух. Но самое ценное богатство - люди. Вот и история сегодня получилась о людях, хотя писал я ее про конкретного героя.   Около века тому назад в небольшой деревне Кинерма родилось два брата - Иван и Евдоким Гавриловы. С детства помогали родителям в тяжелом крестьянском труде, как и все ребятишки того времени.   Время шло. Евдоким с Иваном обосновались в собственной деревне уже в другом социальном статусе. Вместе построили дом, в который переехал старший брат Иван. Евдоким же остался в родовом доме, который сейчас, между прочим, самый большой в деревне и является памятником деревянного зодчества. Быт того времени прост: утром на мережи за 2 километра, сенокос, плотницкие дела и многое другое.   Но вот владели братья и искусством игры на кантеле, чем похвастаться мог далеко не каждый. Изготавливали они его сами. Карельский край славится богатой фольклорной традицией, которая найдет свое отражение в эпической поэме Калевала. Знали ли тогда братья, что сами являются героями этих рун.  Примерно в начале 1950-х годов известный скульптор С.Т. Коненков приезжает в Карелию, чтобы вдохновиться красотой края, вживую встретиться с носителями культуры. Он много ездит по республике, зарисовывает и фотографирует рубленные дома. В деревне Кинерма ему посчастливится познакомится с братьями Гавриловами, которые, по словам Коненкова, находясь уже в преклонном возрасте еще «не собирались умирать»: на полную силу работали на лесопункте, а после работы, по вечерам, усевшись друг против друга, начинали петь руны.   С собой в Москву от братьев скульптор увезет кантеле и славные воспоминания, нашедшие отражения в книге «Слово молодым». Один из братьев, Евдоким, послужит прообразом для создания скульптуры «Рунопевец».   Так и дожили свой век герои на родной земле. К ним обращались за советом, помогали и им добрым делом. Евдокиму Гаврилову довелось участвовать в двух войнах, вернуться и быть похороненым на родной земле (17.07.1898 – 10.03.1975)  ---- 📸 Евдоким Федорович Гаврилов  д. Кинерма, Карелия  kinnermalaine (Иван)",2025-03-10 13:43:24,51,6,2929
1429,"В Кинерме звучал евангельский текст на карельском языке!   Ершова Людмила и Федоров Владимир принимали участия в апробации библийский историй из Священного Писания, переведенного на ливвиковское наречие.   Toivotammo projektale kehittämisty! Развития проекту!",2025-02-21 12:25:25,14,3,949
1403,"Друзья, приглашаем вас на фестиваль, который погрузит в атмосферу настоящей Карелии — ""Vahnat päivät""! Это уникальное событие пройдет в исторической деревне Кинерма, где традиции ремесел и народной культуры живы до сих пор.    В программе фестиваля:  - Мастер-классы, на которых вы сможете своими руками попробовать традиционные ремесла: от ткачества до гончарного дела и резьбы по дереву.  - Выставка работ карельских мастеров, где можно не только увидеть, но и приобрести настоящие произведения искусства.  - Вкуснейшие блюда карельской кухни, приготовленные по старинным рецептам.  - Музыка, танцы и рассказы о карельских традициях, которые помогут вам почувствовать настоящий дух этого края.  - Прогулки по Кинерме, где время словно останавливается, и можно насладиться атмосферой старинной деревни.    ""Vahnat päivät"" — это шанс прикоснуться к живой карельской культуре, узнать о ремеслах, которые существовали веками, и почувствовать душу этого удивительного региона.    Дата: 01.05.2025 Место: Деревня Кинерма, Карелия",2024-12-09 18:19:14,91,41,2680
1400,Кинерма попала в прекрасный проект «По регионам». Настоятельно рекомендуем к просмотру!,2024-11-08 13:15:46,50,23,1696
1398,Замечательный проект. Спасибо за Пушкина на карельском языке.,2024-11-01 18:27:42,23,4,1361
1394,"Осенний, ласковый закат заглянул в комнату.",2024-10-18 09:25:35,109,6,2320
1383,"ДЯДЯ ВАНЯ  очерк-воспоминание    24 апреля ровно год как не стало Ивана Алексеевича Ершова. Для кого-то это был отец, друг, земляк - для меня же дядя Ваня.    Иван Алексеевич родился в 1932 году. Деревня Кинерма - родное место для дяди Вани. Здесь вырос его отец. В старом карельском доме мать за работой рассказывала ему сказки. Дом этот сменил не одно поколение и всегда передавался по наследству. Именно здесь прошло детство дяди Вани и, как оказалась, вся жизнь.    У матери Акулины, родом с соседней деревни Юргилица, и отца Алексея было 5 сыновей и одна дочка. В семье говорили на карельском языке. С детства дядя Ваня помогал в хозяйстве: работал на полях, смотрел за скотом.    Когда началась Великая Отечественная война, дяде Ване было 9 лет. В годы войны в деревни были финские солдаты. Из слов дедушки, боевых действий в деревни не было. Удивлялся дедушка, когда вспоминал, как финские солдаты кормили детей картошкой в мундирах - чистить не разрешали. Так, считалось, в ней больше витаминов. Странно это было для карела. Деревенские же картошку чистили. Очистки не выкидывали, все же и скотину кормить надо.    Много всего повидал дедушка за свою жизнь. Видел он и подбитый военный самолет. Во время войны упал за околицей деревни советский истребитель - сейчас на этом месте находится местное кладбище. Деревенские мальчишки сразу прибежали к тому месту - любопытно, однако. Один пилот погиб, второй бежал в лес. Дядя Ваня сам рассказывал, как он видел этого второго пилота. Что с ним было дальше неясно. Мой троюродный брат, когда занимался изучением этого вопроса, выяснил, что звали первого летчика Королёв Семен Петрович. Он был уроженцем села Рождественно Курской области, которого уже не найти на карте.    В военные годы финны организовали школу в соседнем селе Ведлозеро, расположенному в 6 километрах от Кинермы. Дядя Ваня учился там, ходил пешком. Его обучили читать и писать, вспоминал дедушка и лыжные занятия в школе.    Мы с братом тоже учились в том селе, только вот в совсем другое время. Каждый день нас забирал школьный автобус. Часто покупали мы дяде Ване хлеб - в Кинерме ведь магазина то нет! Помню, придешь к дедушке со свежим хлебом, а он сразу кошелек достает, приговаривая: vuota, vuota kodvaine. Щедро благодарил, давал намного больше, чем хлеб стоил. «На бензин», - отвечал. Родители говорили, что нельзя много брать – стыдно мне было немного за это. Но дедушка мог даже сам прийти потом деньги отдать, если я не возьму. В долгу карелы не любят оставаться, а труд чужой – ценят.    В юношеские годы отправили дядю Ваню учиться в Петрозаводск. Нужны были сильные руки для заводов и социалистических строек. Но не выдержал чуждой городской жизни, не смог жить без родной деревни. Решили тогда они с товарищем из Ведлозера вернуться домой – спрятались среди мешков грузовика. Так и доехали до дому. Все же потом начальство поймало. Прилетело ребятам.    После учебы дядя Ваня работал плотником в том же селе Ведлозеро. В трудовой книжке есть запись: в 1949 году принят на работу в Ведлозерскую стройконтору в качестве плотника пятого разряда. Многие дома в Ведлозере по сей день помнят руку кинермского мужика. В 1958 году работал в качестве пильщика-бригадира лесопильной бригады промышленного цеха. Был в жизни дедушки и опыт работы в Ведлозерском племсовхозе. За свой добросовестный труд в 1972 году получил звание ударника коммунистического труда. Зимой добирался на работу пешком, летом – на велосипеде. Иногда ездил на мотоцикле.    Раньше для пропитания семьи дядя Ваня ходил за два километра на рыбалку, поскольку в Кинерме никакого водоема нет. Как и у многих деревенских, на берегу озера была своя лодка. Он ставил мережи и возвращался обратно с кошелем рыбы. Но, когда время поменялось и пришла возможность купить рыбу, Иван Алексеевич оставил это занятие. Жена дяди Ваниного племянника вспоминает, что однажды с большим трудом уговорила его сходить на озера. Так после этого у дедушки заболел зуб. Надо делом заниматься, без этого дедушке сложно.    Удалось Ивану Алексеевичу поработать представителем народа. Его трижды выбирали депутатом Ведлозерского сельского поселения в 1975, 1977 и 1979 годах. Выйдя на пенсию, дядю Ваню часто награждали за долголетний и добросовестный труд.    Многие гости Кинермы помнят дядю Ваню с козочками. Он очень любил своих четвероногих друзей. Бывает выглянешь в окошко, а там уже дедушка со своим табуном по полю идет. Карельский секатор - дядин Ванин пастуший атрибут. Шел впереди, рубил ветки козочкам. Когда страна переходила на зимнее время, дедушка стрелки не переводил. Козочек ведь в определенное время нужно кормить. Для них этот час очень многое значит. Чистил он им картошку, яблоки резал. Мой отец иногда приезжал за нами с братом в Ведлозеро и привозил дядю Ваню за покупками. Помимо хлеба, покупал тогда дядя Ваня печенье «Мария». Очень любили эти печенья его козочки.    А сколько у дяди Вани кошек! Всяких разных - трехцветных, черных, белых. Идешь мимо дома дедушки, а там кошечка в окне греется, радуется солнышку.    Дядя Ваня, как и подобает карельскому мужику, умел делать все. В молодости сам освоил гармонь. На деревенских праздниках любили танцы - гармонист в такие моменты нарасхват. Однажды, будучи у дедушки в гостях, его уговорили достать гармонь и сыграть. Впервые я видел его с инструментом. Дядя Ваня дал и мне попробовать сыграть на этой гармони. С тех пор я сам этим делом загорелся, даже баян купил.    Не было работы, которая бы была чужда дедушки. На колодец ходил сам, дрова колол еще и нас с братом обучал этому делу. Поленья все у дедушки были одного размера. Да что дрова, лучину колол! Помню, залезешь на каменную печь, а там тоненькие ровные лучинки лежат, сушатся. Этими лучинами дедушка растапливал печь и самовар.    Как приятно было наблюдать морозным ранним утром, ожидая школьный автобус, поднимающийся из трубы столб дыма! Печка топиться, в доме хорошо, тепло. Иногда видно в избе как луч фонарика бегает из угла в угол – значит дедушка по избе ходит, электричество лишний раз не включает.    Выходя утром из дома, заглядываешь в это окошко - проснулся ли дедушка, затопил ли печь? Каменная печь в доме номер одиннадцать топится до сих пор – младшая дочь Людмила теперь живет в родовом доме. Но вот дедушкиного фонарика в темноте больше не увидишь…    **************************************************************  Дядя Ваня покинул нас на 91 году жизни.",2024-04-24 01:48:38,31,6,0
1382,Кинерма глазами наших гостей.,2024-04-06 08:35:26,49,14,1992
