id,text,date,likes,reposts,views
4394,21-22 марта в нашей церкви пройдет  СЕМЕЙНЫЙ РЕТРИТ  Для регистрации обращайтесь https://vk.com/sadym84  (Количество мест ограничено. Есть регистрационный сбор),2025-03-12 13:27:26,15,3,426
4403,,2025-03-14 07:19:00,3,0,29
4396,ТИХИЕ УБИЙЦЫ ОТНОШЕНИЙ В ПАРЕ 💔не выделять время для общения друг с другом 💔невыраженная печаль 💔запреты 💔обесценивание партнера 💔не высказанное желание или обида 💔 отсутствие общих ценностей  религиозная группа «Церковь христиан веры евангельской пятидесятников «Христа Спасителя»ведомственный номер 1018010018,2025-03-13 07:54:00,20,2,400
4391,"Когда я молюсь и изучаю Слово Божье, я обмениваю:  🖤свою усталость на Божью силу 🖤свою слабость на Его мощь 🖤свои проблемы на Божьи решения 🖤свое бремя на Его свободу 🖤свои разочарования на Божий мир 🖤свое беспокойство на Его спокойствие  🖤свои надежды на Божьи обетования  🖤свои печали на Его утешение 🖤свои вопросы на Божьи ответы 🖤свою растерянность на Его знание 🖤свои сомнения на Его уверенность 🖤невозможное на возможное ❤️‍🔥А с Богом возможно ВСЁ!  религиозная группа «Церковь христиан веры евангельской пятидесятников «Христа Спасителя»ведомственный номер 1018010018",2025-03-12 06:10:00,28,2,385
4388,"🗡️11 стихов из Библии, которые будут полезны, когда вы близки к тому, чтобы сдаться.  📖 Когда мы чувствуем, что силы на исходе, самое лучшее средство для их восстановления, это Слово Божье.  Продолжайте идти, продолжайте бежать, продолжайте двигаться, продолжайте молиться.  🔥1. Все могу в укрепляющем меня Иисусе Христе(Филиппийцам 4:13). 🔥2. Вот Я повелеваю тебе: будь тверд и мужествен, не страшись и не ужасайся; ибо с тобою Господь Бог твой везде, куда ни пойдешь (Иисус Навин 1:9). 🔥3. Будьте тверды и мужественны, не бойтесь, и не страшитесь их, ибо Господь Бог твой Сам пойдет с тобою и не отступит от тебя и не оставит тебя (Второзаконие 31:6). 🔥4. Наконец, братия мои, укрепляйтесь Господом и могуществом силы Его (Ефесянам 6:10). 🔥5. Господь - крепость моя и щит мой; на Него уповало сердце мое, и Он помог мне, и возрадовалось сердце мое; и я прославлю Его песнью моею (Псалом 27:7). 🔥6. А надеющиеся на Господа обновятся в силе: поднимут крылья, как орлы, потекут - и не устанут, пойдут - и не утомятся (Исаия 40:31). 🔥7. Не знаете ли, что бегущие на ристалище бегут все, но один получает награду? Так бегите, чтобы получить (1 Коринфянам 9:24). 🔥8. Посему и мы, имея вокруг себя такое облако свидетелей, свергнем с себя всякое бремя и запинающий нас грех и с терпением будем проходить предлежащее нам поприще (Евреям 12:1). 🔥9. Не воинством и не силою, но духом Моим, говорит Господь Саваоф. (Захария 4:6) 🔥10. Войду в размышление о силах Господа Бога; воспомяну правду Твою - единственно Твою (Псалом70:16). 🔥11. Ибо дал нам Бог духа не боязни, но силы и любви и целомулрия (2-е Тимофею 1:7).",2025-03-11 06:58:00,20,6,387
4376,"О ЧЕМ СЕЙЧАС МОЛИТЬСЯ: 🙏о своих семьях 🙏о Божьей защите  🙏о друзьях 🙏за врагов ваших 🙏о прощении  🙏о мудрости  🙏о людях, которые не знают Бога 🙏о чистоте своего сердца 🙏о правительстве 🙏о смелости 🙏о смирении   МОЛИТЕСЬ НЕУСТАННО (1 Фес 5:17)",2025-03-10 08:55:00,36,3,535
4372,Фото с воскресного служения  религиозная группа «Церковь христиан веры евангельской пятидесятников «Христа Спасителя»ведомственный номер 1018010018,2025-03-09 20:38:50,62,1,760
4370,Воскресное служение тема: Жажда по Богу,2025-03-08 20:31:24,12,0,221
4366,"Сестры, провозглашайте эти слова в свою жизнь:  Я 💓Дочь Царя [Галатам 3 : 26] 💓Богобоязненная [Притчи 31: 30] 💓Укорененная в любви Христовой [Римлянам 8 : 31-38] 💓Искупленная [Ефесянам 1: 7] 💓Любимая [Исайя 43 : 3] 💓Прекрасная [Псалом 138:13- 16] 💓Ценнее рубинов [Притчи 31:10] 💓Больше, чем макияж и одежда [1 Петра 3 : 3-4] 💓Свободная [Иоанна 8 : 36] 💓Бесценная [Римлянам 5: 6 : 8] 💓Победоносная [Филиппийцам 4:13] 💓Радостная [Иоанна 15:11] 💓Преображенная [Римлянам 12 : 2] 💓Сильная [Притчи 22 : 1 1] 💓Благословенная [Притчи 8 : 35]  религиозная группа «Церковь христиан веры евангельской пятидесятников «Христа Спасителя»ведомственный номер 1018010018",2025-03-08 06:12:00,37,11,740
4365,"Каждую пятницу ждем вас на молитве  ( Балтийская 5 Б, офис, 2 этаж)",2025-03-07 14:44:44,6,0,224
