id,text,date,likes,reposts,views
184,Петрозаводск. 1916 г.,2019-05-26 00:15:15,49,7,906
255,Свидетельство о Боге.Явился мне во сне Господь Иисус Христос Сын Божий и говорит приобрети Мой Образ.Я была неверущая грешная и неспешила приобретать Образ Господень.Снова мне явился Господь Иисус Христос и говорит приобрети Мой Образ Сны повторялись.Я поняла что пока неприобрету икону с изображением Господа Иисуса Христа Он будет приходить в сновидениях.Я пошла в церковь и приобрела Образ Господень.Снова мне во сне явился Господь Иисус Христос и говорит Приди ко Мне чтоб спастись!Я прочитала Новый Завет Господа нашего Иисуса Христа уверовала в Него.И вот что произошло наяву.Пошла я прогуляться по центральной городской набережной.Это был день и набережная была безлюдная.Вдруг с неба сошел световой луч я оказалась внутри этого луча он имел форму круга.Это были ярко синии световые помазки и они плавно опускались сверху вниз и между помазками были рассыпаны серебряные звёзды.Святый Господь Иисус Христос призвал меня к покаянию и осветил своим дивным светом.Слава Отцу и Сыну и Святому Духу!Аминь.,2024-10-05 08:46:06,0,0,0
249,,2023-12-15 15:12:58,2,3,168
248,,2023-10-18 22:30:48,4,0,170
247,,2023-10-16 15:22:28,7,3,177
246,,2023-10-15 23:32:46,3,2,153
245,,2023-10-05 11:24:26,7,4,153
244,,2023-08-31 10:39:54,2,1,142
241,,2023-06-05 11:22:04,8,2,194
240,Олонецкие губернские ведомости. 1860 г. О начале строительства Кафедрального собора.,2023-05-11 18:12:08,4,0,167
239,"Олонецкие губернские ведомости. №6 (21.01), 1878 г.  О пожертвованиях на строительство Святодуховского кафедрального собора (на странице 7).",2023-05-09 15:53:37,0,0,156
238,Вспоминаем страницы карельских изданий по теме. https://gazeta-licey.ru/news/chronicle/41635-v-petrozavodske-mozhet-poyavitsya-novyiy-turistskiy-obekt-podzemnaya-tserkov,2023-04-25 22:52:09,1,0,151
237,ЧАСТНОЕ МНЕНИЕ. Объективные причины и обстоятельства разрушения  Святодуховского кафедрального собора в Петрозаводске. http://carelica.petrsu.ru/2022_2/Kut'kov.pdf,2023-04-25 22:51:03,0,1,136
236,,2023-02-06 23:33:08,2,1,159
235,,2022-10-28 13:59:00,1,2,235
