id,text,date,likes,reposts,views
83,,2020-03-26 16:23:29,2,1,791
81,,2020-02-28 09:45:02,3,2,705
80,Огромное спасибо ансамблю Drolls за отличное настроение😉,2020-02-20 18:56:30,3,0,0
79,,2020-02-20 18:02:35,5,0,425
78,,2020-02-05 17:14:23,0,0,323
76,,2019-12-27 22:15:44,3,0,298
75,,2019-12-24 05:23:44,6,0,269
73,,2019-12-19 19:53:12,5,0,221
72,,2019-12-12 01:52:49,3,1,225
70,,2019-12-10 05:34:31,0,0,176
66,,2019-12-03 03:06:34,4,2,171
65,,2019-11-27 02:21:50,5,0,170
63,,2019-11-15 06:12:47,3,0,158
62,Концерт Академического хора Петрозаводской государственной консерватории им. А. К. Глазунова  Фото и видео: Николай Раппу,2019-09-22 05:25:56,33,5,1054
61,,2019-09-16 14:08:03,6,1,215
59,,2019-09-05 04:59:52,3,0,184
58,Концерт академического хора Петрозаводской государственной консерватории имени А. К. Глазунова.   (Видео: Николай Раппу),2019-05-31 02:48:44,21,7,960
57,25 мая прошёл концерт академического хора Петрозаводской государственной консерватории имени А. К. Глазунова.    Фото: Николай Раппу   Больше фотографий смотрите на сайте: http://kirkko.ru/about/news/2019/289045547/,2019-05-26 19:36:03,6,1,280
56,,2019-05-22 14:41:29,5,0,192
55,,2019-05-18 08:19:35,6,0,194
52,,2019-05-17 20:42:08,6,2,160
51,,2019-05-17 20:41:53,4,1,131
48,XI Межконфессиональный фестиваль духовной музыки «Душа Карелии».   (Видео: Антон Рудой),2019-05-12 09:07:42,10,0,267
46,7 мая прошёл XI Межконфессиональный фестиваль духовной музыки «Душа Карелии». Организатор фестиваля – Министерство национальной и региональной политики Республики Карелия.    Фото: Николай Раппу,2019-05-08 12:11:15,8,0,238
45,,2019-05-06 19:50:17,1,0,125
44,Концерт участников международного хорового проекта «Онего-Балтика: хоровой мост».   (Видео: Антон Рудой),2019-05-04 12:12:38,31,6,1274
42,,2019-05-02 09:49:43,7,1,122
41,"26 апреля состоялся концерт участников международного хорового проекта «Онего-Балтика: хоровой мост».    Исполнители:  - Детский хор Эстонского радио (г. Таллинн). Руководители – Кадри Хунт, Кайе Таннер.  - Хор «Теллерво» ЦОиТ «Петровский дворец» (г. Петрозаводск). Руководитель – Ирина Белковская, хормейстер – Анастасия Бурцева, концертмейстер – Надежда Полещук.    Фото: Николай Раппу",2019-04-27 22:54:36,18,2,513
40,,2019-04-26 02:50:22,8,0,128
39,,2019-04-22 19:49:47,3,0,106
38,,2019-04-22 14:55:38,2,1,75
36,,2019-04-10 13:19:35,6,3,139
35,,2019-04-02 14:39:15,3,0,105
33,,2019-03-25 20:56:36,2,0,141
32,"Концерт «Размышления о Посте», прошедший в приходе 15 марта  (Видео: Антон Рудой)",2019-03-18 02:10:57,14,3,309
31,"15 марта в приходе состоялся концерт «Размышления о Посте». Формат был избран таким, чтобы слушатели имели возможность не только насладиться исполнением музыкантов и хористов, но и услышать Слово Божье, посвящённое тому, каким Сам Господь видит пост, его назначение и плоды в жизни человека.  «‘Почему мы постимся, а Ты не видишь? смиряем души свои, а Ты не знаешь?’ — Вот, в день поста вашего вы исполняете волю вашу и требуете тяжких трудов от других. Вот, вы поститесь для ссор и распрей и для того, чтобы дерзкою рукою бить других; вы не поститесь в это время так, чтобы голос ваш был услышан на высоте. Таков ли тот пост, который Я избрал, день, в который томит человек душу свою, когда гнет голову свою, как тростник, и подстилает под себя рубище и пепел? Это ли назовешь постом и днем, угодным Господу? Вот пост, который Я избрал: разреши оковы неправды, развяжи узы ярма, и угнетенных отпусти на свободу, и расторгни всякое ярмо; раздели с голодным хлеб твой, и скитающихся бедных введи в дом; когда увидишь нагого, одень его, и от единокровного твоего не укрывайся. Тогда откроется, как заря, свет твой, и исцеление твое скоро возрастет, и правда твоя пойдет пред тобою, и слава Господня будет сопровождать тебя. Тогда ты воззовешь, и Господь услышит; возопиешь, и Он скажет: ‘вот Я!’ Когда ты удалишь из среды твоей ярмо, перестанешь поднимать перст и говорить оскорбительное, и отдашь голодному душу твою и напитаешь душу страдальца: тогда свет твой взойдет во тьме, и мрак твой будет как полдень» (Книга пророка Исаии 58:3-10).",2019-03-16 01:56:35,8,1,186
29,,2019-03-11 01:07:47,3,1,120
28,,2019-03-03 23:45:50,2,0,111
27,"Концерт-знакомство «Друзья – друзьям» для участников V Международного фестиваля хоровой музыки им. Г. Е. Терацуянца, прошедший 22 февраля    - Камерный хор «Collegium Cantus» (Санкт-Петербург) и Молодёжный хор «Cor Jove Català» (Барселона, Испания) – Christofer Tin «Baba jetu»   - Камерный хор Санкт-Петербургского политехнического университета Петра Великого (Санкт-Петербург) – Rautavaara «Credo»  - Академический хор ПетрГУ (Петрозаводск) и участники проекта «C.H.O.I.R.» (Германия, Польша, Италия) – Ralf Schmidt, Nichael Barrett «Indodana»  Видео: Анна Кузик  #terfest",2019-02-23 04:53:16,6,1,301
26,,2019-02-23 04:43:54,2,0,100
25,,2019-01-06 23:50:54,4,0,180
24,,2019-01-06 18:32:54,0,0,159
