id,text,date,likes,reposts,views
3892,"⛪ ДОМАШНЯЯ ЦЕРКОВЬ 👉Присоединиться можно к данной церкви:  📍Зайцева 42-72 - [id198893154|Дима Павлов]  📍ТРЦ Тетрис, 19 кабинет (6 этаж) - [id622389058|Кристина Королёва]   Домашняя церковь - это маленькая церковь внутри большой. Это то место, где можно всегда получить утешение и поддержку и ответы на свои вопросы, найти друзей и вместе с ними проходить этапы жизни. Благодаря домашним церквям мы можем сильнее пережить Божью заботу и любовь, расти в вере.  А также, это то место, где укрепляется наша душа и где мы наполняемся Святым Духом! Кроме этого домашняя церковь — это путь ученичества, где каждый учится служить, понимать нужды других, преображаясь в образ Христа.",2025-03-14 08:00:00,2,1,21
3891,,2025-03-13 15:18:58,11,0,119
3887,"Драгоценные!  Сегодня среда, а это значит, что сегодня вечером пройдет ""Школа Праведности""! Будет интересная тема, где можно будет поразмышлять и пообщаться, задать интересующие вопросы и помолится.😉  Ждем тебя, обязательно приходи! Лидер служения: [id622389058|Кристина Королёва]   ТРЦ ""Тетрис"" 6 этаж, офис 19 Маршала Мерецкова 11",2025-03-12 08:00:01,2,1,123
3881,"Дорогие братья и сестры, приглашаем вас на молитвенный вечер✨    🗓 Дата : вторник, 11 марта  🕑 Время : 18:30  📍 Место : ТРЦ Тетрис, 6 этаж, 19 кабинет",2025-03-11 08:00:00,12,2,187
3877,,2025-03-09 18:56:14,17,1,260
3876,"Дорогие друзья! Сегодня будет воскресная школа для малышей, а также для начинающих ЦО✨ На воскресной школе будем играть, делать поделки, общаться, изучать библейские темы, героев, а также находится в атмосфере любви💜 Лидер служения: [id185088345|Ксения Егорова]  Начало: 15:30 (после прославления) Конец: 17:00",2025-03-09 08:00:00,4,1,154
3873,"Дорогие и любимые сестры! ✨💐  От всего сердца поздравляю вас с этим прекрасным днем – 8 марта! 🌸🌿  Вы – Божье благословение для нашей церкви, ваших семей и всего мира. 💖 В ваших сердцах – любовь, вера и милосердие. Вы вдохновляете, поддерживаете и несете свет Христов. 🌟  «Мудрая жена устроит дом свой, а глупая разрушит его своими руками» (Притчи 14:1). 🙏 Пусть Господь даст вам мудрость, крепкое здоровье, радость и мир. Пусть Его любовь наполняет ваши сердца!  «Благословенна ты между женами» (Лк. 1:42). 💞 Пусть ваша жизнь будет полна Божьей благодати и чудес!  💐 С праздником, драгоценные сестры! 💐 С любовью и молитвой, Пастор Сергей ✝️",2025-03-08 08:10:52,50,1,556
3872,"Дорогие друзья! Приглашаем вас на воскресное богослужение в Церковь Славы Божьей Петрозаводск!  Это время, чтобы вместе славить Бога, молиться и получать назидание через Слово. На служении будет проповедовать пастор Сергей Квиткевич – ожидаем мощное слово, которое вдохновит и укрепит вас!  Программа: 🔹 Молитвенное служение начнется в 14:00 (в офисе церкви). 🔹 Основное богослужение: 15:00. 🔹Воскресная школа в 15:30 (в офисе церкви) 📍 Место: ТРЦ “Тетрис”, 5 этаж, Большой Зал №1.  Мы верим, что это будет особенный день! Приходите сами и приглашайте близких – это прекрасная возможность быть в Божьем присутствии и услышать то, что важно для вашей жизни. Ваше участие в жизни церкви очень ценно! Вы можете поддержать служение добровольными пожертвованиями: 📞 Сбербанк: 5469 4009 4429 2486 (с пометкой “добровольное пожертвование”). С нетерпением ждем встречи с вами!",2025-03-08 08:00:06,12,2,183
3868,"Драгоценные!  Сегодня среда, а это значит, что сегодня вечером пройдет ""Школа Праведности""! Будет интересная тема, где можно будет поразмышлять и пообщаться, задать интересующие вопросы и помолится.😉  Ждем тебя, обязательно приходи! Лидер служения: [id622389058|Кристина Королёва]   ТРЦ ""Тетрис"" 6 этаж, офис 19 Маршала Мерецкова 11",2025-03-05 08:00:00,8,1,189
3864,"Дорогие братья и сестры, приглашаем вас на молитвенный вечер✨    🗓 Дата : вторник, 4 марта  🕑 Время : 18:30  📍 Место : ТРЦ Тетрис, 6 этаж, 19 кабинет",2025-03-04 08:00:01,16,2,289
3861,"СОЗО: ВСТРЕЧА, КОТОРАЯ ИЗМЕНЯЕТ ВСЁ Ты когда-нибудь чувствовал, что несёшь на себе груз прошлого? Что ошибки, страхи и душевные раны словно стены, мешающие идти вперёд? Бог приготовил для тебя не просто прощение, но и полное восстановление. 🔹 СОЗО — это не просто молитва. Это глубинное переживание любви Отца, благодати Иисуса и исцеляющей силы Святого Духа. 📖 Иисус сказал: ""Я пришёл для того, чтобы имели жизнь и имели с избытком"" (Иоанна 10:10). Бог уже заплатил цену за твою свободу. Теперь твоя очередь принять исцеление души, эмоций и даже тела. Что происходит на СОЗО? ✔ Ты переживаешь личную встречу с Богом, Который исцеляет твои внутренние раны. ✔ Святой Дух разрушает ложные убеждения и помогает тебе увидеть истину. ✔ Ты обретаешь свободу от страха, обиды, отверженности и других ограничений. ✔ Твои отношения с Богом становятся глубже, ближе, крепче. 📖 ""Истина сделает вас свободными"" (Иоанна 8:32). СОЗО — это путь к этой свободе. Не откладывай на потом то, что может изменить твою жизнь уже сейчас! 🔥 [id6257244|Запишись на СОЗО] и позволь Богу действовать в твоём сердце! 🔥",2025-03-03 10:00:01,8,1,176
3860,"Драгоценные, благословляем вас на начало новой недели 💙",2025-03-03 08:00:01,9,1,159
3852,Воскресное собрание | 02.03.25 | Сергей Квиткевич,2025-03-02 22:39:06,17,2,266
