id,text,date,likes,reposts,views
625,"Драгоценные братья и сестры!  Напоминаем, что продолжается регистрация на Карельскую подростковую конференцию ""Открывая Библию""! Приглашаем ваших детей в возрасте от 10 до 16 лет! Это будет отличное время для совместного назидания в вере, поклонения Богу и общения! А еще подросткам предлагается подготовиться к участию в Библейском турнире, правила которого можно изучить в форме регистрации!  📅Дата конференции: 22 марта ⛪Место проведения: г. Петрозаводск, Средний Сарафановский проулок, д.4, Дом Молитвы.  📝Регистрация по ссылке: https://forms.yandex.ru/u/679a3a224936397bb7b061f2/  #Служения #КарельскаяПодростковаяКонференция #Церковь #Карелия #Петрозаводск #newlife",2025-03-05 12:49:07,26,12,1003
624,"Драгоценные сестры!  Мы рады сообщить вам, что открылась регистрация на ежегодную Карельскую женскую конференцию!  В этом году вас вновь ждет вдохновляющее Слово, совместные молитвы и поддержка друг друга в общении!📖🙏💞  Мы очень будем рады видеть каждую!😍  📅Даты конференции: 28-29 марта ⛪Место проведения: г.Петрозаводск, Средний Сарафановский проулок, д.4, Дом Молитвы  Напоминаем вам, что регистрация на конференцию обязательна!  Зарегистрироваться можно следующими способами: 👉 по ссылке: https://forms.yandex.ru/cloud/67ab241d90fa7bc79e8e1c32/ 👉по телефону: (8814) 2474959  По вопросам звонить: 89535330823 Ульяна Рокка 89114041092 Ксения Черногородова (размещение в Петрозаводске)  #Служение #Женскаяконференция #Церковь #Карелия #Петрозаводск #newlife",2025-02-28 14:06:10,41,19,1375
623,,2025-02-26 12:13:34,8,0,204
622,,2025-02-20 23:57:42,0,0,170
621,,2025-02-07 14:16:30,3,0,165
620,,2025-02-05 20:13:47,14,2,264
619,"Драгоценные братья и сестры!   Приглашаем ваших детей в возрасте от 10 до 16 лет на Карельскую подростковую конференцию ""Открывая Библию""!  Это будет отличное время для совместного назидания в вере, поклонения Богу и общения!  А еще подросткам предлагается подготовиться к участию в Библейском турнире, правила которого можно изучить в форме регистрации!   📅Дата конференции: 22 марта  ⛪Место проведения: г. Петрозаводск, Средний Сарафановский проулок, д.4, Дом Молитвы.   📝Регистрация по ссылке👇: forms.yandex.ru/u/679a3a22...   #Служения #КарельскаяПодростковаяКонференция #Церковь #Карелия #Петрозаводск #newlife    Оценили 0 человек",2025-02-05 15:11:01,10,1,245
616,"Дорогие братья и сёстры, приглашаем на карельскую молитвенную конференцию Централизованной религиозной организации Республики Карелия церкви христиан веры евангельской.   ✅ Регистрация: https://forms.yandex.ru/u/6791118a84227ced743e3753/   🗓Даты конференции: 14-16 февраля  🏠Место проведения конференции:  г. Костомукша, ул. Мира7/1 (здание церкви)   Подробная информация по тел. +7(911)-435-13-17",2025-01-23 22:16:40,26,5,979
615,,2025-01-17 15:08:46,2,0,196
614,,2025-01-16 17:31:02,0,0,166
