id,text,date,likes,reposts,views
2661,"УВАЖАЕМЫЕ ПОДПИСЧИКИ И ПРИХОЖАНЕ, ПО ЭТОМУ QR-КОДУ ПРОШУ ВНОСИТЬ СВОИ ПОЖЕРТВОВАНИЯ НА СЧЕТ НАШЕГО ПРИХОДА!  С молитвами о вас,  настоятель МРО ""Евангелическо-лютеранский приход г.Кемь""  пастор Владимир Якушов",2023-06-28 12:47:01,5,0,2326
3393,"По следам наших публикаций:  ВОЗМОЖНО ЛИ УВИДЕТЬ БОГА? Оказалось, что и в пламени свечи тоже кроется Его вечная тайна.  #церковьингрии",2025-02-18 08:00:14,2,0,29
3392,"Этот день год назад:  ДОГАДЛИВЫЕ НАШИ ДЕТИ  Вот, именно так следует в жизни смотреть на Иисуса, - неожиданно изобразили воспитанники воскресной школы, после изучения евангельской истории ""Хождение по водам"". Центральная мысль такова: Пётр смотрел на Иисуса и шёл к Нему прямо по бушующему морю, а как только отвёл свои глаза на шторм, который вокруг, то испугался и начал тонуть.  Действительно, детские пальцы и ладони рук, сложенные ""трубочками"", закрывают от их глаз всё, что отвлекает и мешает смотреть вперёд. В центре только Объект их внимания - Спаситель Иисус.  Об этом сегодняшняя молитва перед алтарем: ""Дорогой Господь Иисус, позволь видеть только Тебя, тогда мы не станем бояться ничего, что окружает нас в этом мире!""  #церковьингрии",2025-02-18 07:55:15,8,1,90
3391,"По следам наших публикаций:  1️⃣7️⃣ февраля  - Европейский день кота, Готовимся к Параду бумажных котов 😊",2025-02-17 10:53:26,4,1,68
3390,,2025-02-17 07:58:08,0,0,28
3389,"НЕЗАСЛУЖЕННАЯ МИЛОСТЬ  Сегодняшний евангельский текст от Луки 17:7-10 говорит о прислуге и их хозяине. Тут важная мысль: когда слуги выполняют свою работу, они не ожидают похвалы, ведь это их обязанность. Связать это с темой ""Незаслуженная милость"" — значит напомнить, что Бог даёт свою милость не потому, что мы её заслужили, а потому что это Его воля. Следовательно мы не можем требовать вознаграждения за то, что по сути своей — Божья милость.  Евангелист Лука передаёт нам, что слуга, выполняя свою обязанность, не ожидает благодарности. Он должен это делать. Так же и мы перед Богом — ожидаем ли мы вознаграждения за служение? Милость Божья дается не за наши усилия, а по Его незаслуженной благодати. Мы, как слуги, не вправе гордиться тем, что выполняем свой долг. Божья милость — это дар, который мы не можем заслужить.  Дорогие братья и сестры, в этот день мы слышим слова Спасителя, что наша служба — не способ заслужить благодать. Все добрые дела — это не путь к спасению, но дар Божий. Мы, как слуги, исполняем свои обязанности не для награды, но чтобы отражать свет Его любви, ниспосланный нам. Пусть наша жизнь будет ответом на эту незаслуженную благодать, а служение — выражением благодарности за Его любовь. Аминь.",2025-02-16 08:41:05,11,2,137
3387,,2025-02-16 07:13:31,0,1,28
3386,"По следам наших публикаций: 14 ФЕВРАЛЯ, год 2021  ""В любви нет страха, но совершенная любовь изгоняет страх"" /1Иоан. 4:18/",2025-02-15 11:44:44,7,0,98
3385,"В этот день год назад: 11 февраля - Масленица  После свершения Святой Мессы прихожане ""Кемского лютеранского прихода"" отведали блины, которые приготовила Ольга Якушова. Воспитанница воскресной школы Лиза снимала первую пробу. #церковьингрии",2025-02-12 07:37:37,27,1,278
3384,,2025-02-10 04:10:35,3,0,49
