id,text,date,likes,reposts,views
1399,,2025-03-07 19:42:41+03:00,20,2,197
1398,"10 лет, как Владыки Мануила нет с нами... Любим, помним, скорбим.  И молимся, как напутствовал Митрополит Новгородский и Старорусский Лев: ""Ежедневно вспоминайте Владыку в своих молитвах, потому что сейчас ему не слова нужны, не похвала, не критика - ничто ему не нужно. Ему сейчас нужна наша с вами общая молитва"".  Фото: Михаил Скрипкин, Михаил Плаксин",2025-03-07 19:07:04+03:00,58,1,580
1393,,2025-03-07 11:16:21+03:00,22,2,183
1392,,2025-03-07 11:14:41+03:00,25,3,162
1390,,2025-03-06 22:18:10+03:00,31,2,218
1389,Карелия простилась с митрополитом Мануилом Репортаж СампоТВ,2025-03-06 21:54:04+03:00,185,31,3005
1387,Прощание с Владыкой Мануилом,2025-03-06 21:04:54+03:00,55,6,597
1384,,2025-03-06 20:07:58+03:00,17,1,126
1380,,2025-03-05 19:53:55+03:00,28,2,213
1379,"Светлая память... На фото: 5 марта 2014 года, в среду первой седмицы Великого поста, Митрополит Петрозаводский и Карельский Мануил совершил великое повечерие с чтением Великого канона прп. Андрея Критского в храме вмч. Пантелеимона г. Петрозаводска",2025-03-05 19:48:40+03:00,58,1,523
1378,"7 марта - годовщина со дня кончины Митрополита Петрозаводского и Карельского Мануила († 2015) Вечная память!  На видео: архипастырский визит на север Карелии, 2001 год",2025-03-05 19:46:29+03:00,38,3,508
1372,"7 марта - годовщина со дня кончины Митрополита Петрозаводского и Карельского Мануила († 2015) Вечная память...  - В моей памяти долго будет звучать фраза, которой владыка Мануил иногда предварял свою великолепную проповедь: ""Мои дорогие, вы единственные, кто у меня остался"". Важно КАК он это говорил, с какой теплотой и искренностью! Пишу, и слезы наворачиваются. Действительно, владыка Мануил был нам отцом и мудрым советником. Вечная память.  Елена Нестерова",2025-03-04 19:50:10+03:00,72,2,578
1371,"Вечная память...  На фото: вечером 4 марта 2014 года, во вторник первой седмицы Великого поста, Митрополит Петрозаводский и Карельский Мануил совершил великое повечерие с чтением Великого канона прп. Андрея Критского в Крестовоздвиженском соборе г. Петрозаводска",2025-03-04 19:45:47+03:00,50,0,489
1367,7 марта - годовщина со дня кончины Митрополита Петрозаводского и Карельского Мануила († 2015) Вечная память!,2025-03-03 20:48:31+03:00,74,11,976
1366,"- И мне хотелось бы, братья и сестры, чтобы время поста было временем благоприятным, временем духовной весны. Мы знаем, что весна наступит, за ней придет лето, и этот праздник весны души человеческой, сердца человеческого будет благоприятным только тогда, когда мы будем употреблять усилия, чтобы исполнять заповеди Божии.  Всегда в Церкви вы услышите, что, кто употребляет свои усилия для делания добрых дел, любезен Богу. Желаю вам помощи Божией в наступившем Великом посту, чтобы это время постное не прошло напрасно, чтобы в этом году вы были лучше, чище, благороднее. Благословение и милость Божия да будут со всеми вами.  Отрывок из телепрограммы Владыки Мануила ""Размышления о Вечном"", 26 февраля 2001 года, https://vk.com/@mitropolit_manuil-razmyshleniya-o-vechnom-efir-ot-26-fevralya-2001-goda",2025-03-02 19:36:39+03:00,67,32,1680
1365,"На фото: Митрополит Мануил совершил вечерню с чином прощения в Александро-Невском кафедральном соборе, 2014 год  Фото: Михаил Плаксин",2025-03-02 19:26:40+03:00,53,4,683
1359,"7 марта - годовщина со дня кончины Митрополита Петрозаводского и Карельского Мануила († 2015)  Вечная память...    Для Петрозаводской епархии и всей Карельской митрополии этот день стал горестным днем утраты. 7 марта 2015 года почил о Бозе митрополит Петрозаводский и Карельский Мануил (Павлов).    Владыка обладал настолько высоким духовным авторитетом, что православный народ Карельского края уход своего любимого пастыря в блаженную вечность воспринял как свою неоценимую потерю.    Именно благодаря подвижническим трудам Владыки Мануила было положено начало духовному возрождению Карелии в нелегкие 80-90-е годы XX cтолетия, когда после разрушительного богоборческого вихря почти все святые храмы нашей северной земли лежали в скорбных руинах, а люди, осуетившись и увлекшись греховными желаниями, этого даже не замечали.    Но вера в глубинах народных была еще жива, и Владыка, прежде всего, призвал и благословил православных верующих восстанавливать старые и строить новые храмы. Народ горячо отозвался на его пастырский призыв.    Во всех районах республики год за годом, один за другим, стали возводиться храмы и строиться часовни, восстанавливаться древние монастыри. Немало трудов было положено на восстановление одного из самых красивых соборов Карелии – Александро-Невского кафедрального собора в Петрозаводске, древней Важеозерской Спасо-Преображенской мужской обители.    Свою паству Владыка Мануил всегда призывал не отступать от духа евангельского и всей своей жизнью показывал пример крепкой веры. Он объединял народ. К нему за утешением, ободрением и советом мудрого духовного наставника шли люди из самых разных слоев общества.    Он чувствовал духовную близость к каждому, кто к нему обращался. Владыка всех встречал с большой любовью, со вниманием выслушивал каждого и вместе с человеком или радовался, или скорбел, ободряя плачущего и выражая ему самое искреннее и деятельное сострадание.    К Владыке Мануилу и сегодня приходят за молитвенной помощью, посещая могилу возлюбленного православным народом Карелии пастыря, расположенную у старинного Екатерининского храма Петрозаводска. И нам отрадно в молитвах вспоминать его святое имя.    Ольга Сидловская",2025-03-01 20:35:48+03:00,185,10,2097
1358,,2025-02-18 22:19:11+03:00,68,5,487
