id,text,date,likes,reposts,views
360,"Друзья, участвуйте в новом конкурсе ""В натуре!"". Присылайте фото, видео и рассказы о косьбе, но и не только! Удачи в конкурсе!",2024-06-21 16:27:11,0,0,116
338,Поморский сенокос от нюхчан,2020-11-22 21:39:18,1,0,143
324,"""Амбар хорошо не только для хранения сена, но и для модного пока""",2019-12-03 10:25:06,0,0,147
317,Открыт официальный сбор средств на воссоздание Церкви Успения Пресвятой Богородицы в Кондопоге.,2018-08-24 15:13:40,0,0,271
315,Фестиваль сена 2018 #награждение косарей и организаторов   #сено_косим #Сенофест #кондопожский_район #спасская_губа,2018-07-22 20:53:12,0,0,0
314,"Косили, стоговали, пели и плясали   #сено_косим",2018-07-22 00:56:21,1,0,0
313,"Вокальная группа Петровского народного хора на фестивале сена 2018 в Кондопожском районе.  #фестиваль_сена #спасская_губа #косим_сено #сенофест #поем_пляшем  «Сами косу мы наточим, сами сено уберём»",2018-07-22 00:54:26,2,0,0
312,#косари #сенофест 2018 #Кондопожский_район,2018-07-22 00:52:52,0,0,0
309,Добавлены новые фотографии с СЕНОФЕСТА -2018 от АЛЕКСЕЯ СВЕТОВА !  https://vk.com/album-28042814_254018462  #летовкарелии #фестивальсена #кондопога #спасскаягуба #карелия #сенофест #сенокошение#фестиваль#косьба#праздник#ездить_на_сенофест_модно,2018-07-17 23:04:23,3,0,241
306,Это про наш сенофест 2018 ! Читайте и смотрите ! !https://ptzgovorit.ru/news/my-derevenskie-my-privykshie-v-spasskoy-gube-proshel-festival-sena,2018-07-15 15:01:07,7,1,682
305,Вот и первые впечатления!,2018-07-15 14:46:44,3,0,260
303,Смотрим видео от Алексея Светова о СЕНОФЕСТЕ!!!,2018-07-14 21:23:46,7,0,307
302,Начинаем выкладывать фотографии https://vk.com/album-28042814_254018462и с СЕНОФЕСТА 2018!!!,2018-07-14 21:13:44,4,0,282
298,"Кто с нами завтра на СЕНОФЕСТ В СПАССКУЮ ГУБУ? Будет интересно, присоединяйтесь ! 14 июля !!!  https://kmr10.ru/MSU/info/news/1757/  #фестиваль_сена#сенофест#спасская_губа#сенокошение#фестиваль#косьба#праздник#ездить_на_сенофест_модно",2018-07-13 20:36:16,8,1,564
278,14 июля в 12-00 ПРИГЛАШАЕМ НА ФЕСТИВАЛЬ СЕНА В СПАССКУЮ ГУБУ!!!  https://kmr10.ru/MSU/info/news/1757/ #фестиваль_сена#сенофест#спасская_губа#сенокошение#фестиваль#косьба#праздник#ездить_на_сенофест_модно,2018-06-28 11:41:17,9,3,1267
276,senofest.ukit.me,2018-05-30 22:26:55,15,3,1046
273,"СЕНОФЕСТ 2018 состоится 14 июля 2018 года ,село Спасская Губа Кондопожского района, полуостров Декнаволок.",2018-05-29 10:13:48,71,21,4355
271,Положение о проведении V Открытого районного Фестиваля сена,2018-05-29 02:29:30,22,9,1100
270,"Фотограф В. Лагранж. Из группы ""Социальная фотография"" https://vk.com/club39248001",2018-03-29 15:09:58,3,0,0
269,"Приглашаем в наше уютное сообщество ""Кондопожский район. Карелы людики"". В сообществе мы обсуждаем возрождение, сохранение, историю и культуру карел людиков. Обсуждаем проекты развития района. Рады всем! https://vk.com/munjarvi",2018-01-30 22:43:42,1,0,0
267,"20 мая, в ближайшую Ночь музеев в Петрозаводске  этно-электронный дуэт Yarga sound system (Лодкаструн) и альтернативно-гитарный Prince Champagne сварят свадебный настой, основанный на архетипах и эксперименте.",2017-05-18 23:25:33,0,0,366
266,Добавлен еще один альбом от друга нашего музея Алексея Светова.https://vk.com/album-28042814_233936212,2016-07-18 19:49:37,1,0,0
258,16 июля Администрация Кондопожского муниципального района приглашает на Фестиваль Сена 2016 http://amsu.kondopoga.ru/new/news/3654/46627.html,2016-07-13 12:21:14,0,0,0
257,Администрация Кондопожского муниципального района информирует о транспортном обеспечении гостей и участников Фестиваля сена 2016.  http://amsu.kondopoga.ru/new/news/3654/46643.html,2016-07-13 12:20:05,0,0,0
256,Всем привет! А как бы узнать список участников? и точные числа проведения в этом году?,2016-05-25 03:49:23,0,0,0
255,Все самые свежие новости о сенофесте 2016 читаем в мероприятии фестиваля  Фестиваль сена 2016 в Тулгубе! http://vk.com/fst160716,2016-05-17 18:54:36,3,3,0
241,"Из истории Фестиваля сена: Н.А. Бронзова защищает групповую разработку проекта ""Память ландшафта"" на проектно- аналитическом семинаре ""Этнокультурные особенности как ресурс развития территории"" (30.03.-01.04 2011г.). Идея Фестиваля сена, выдвинутая группой ""Наука и образование""(в составе В.А. Карелин, О.Б. Мешкова, Н.А. Бронзова, Н.А. Потапова,, Маркова В.П. и др. участников) совместно с научным руководителем, О.Р. Николаевым, предполагала его проведение в 2011 г. в селе Кончезере. При научной поддержке Олега Николаева (С-Петербург) и Дениса Кузнецова (Петрозаводск) в период мая- июня рабочей группой администрации района был разработан эскиз- формат будущего фестиваля, который состоялся впервые в Спасской Губе летом 2011г.",2015-08-02 08:16:31,1,0,0
239,"Программа ""Культурный разговор"" (Ника ТВ), посвященная летнему Фестивалю сена в Кондопожском районе.",2015-08-01 00:59:49,0,1,0
234,Делитесь своими фотовпечатлениями с сенофеста в альбоме :))) http://vk.com/album-28042814_218560139,2015-07-20 01:39:33,2,0,0
229,"Друзья, может быть у кого-то есть фотографии с участниками  фестиваля - собаками, и их хозяевами? Скиньте пожалуйста в группу или в личку!  Спасибо.",2015-07-19 12:28:34,0,0,0
228,Был фестиваль вчера?,2015-07-19 09:33:08,0,0,0
