id,text,date,likes,reposts,views
31,"❣Уважаемые участники Марафона!  Наступил долгожданный для нас всех момент – объявление победителей. 🎉 Всего на Марафон поступило 30 заявок: 24 – на карельском языке, 6 – на вепсском языке. 📊 Мы получили образцы речи от носителей из разных районов Карелии, а также из Ленинградской и Тверской областей.🧭 Фрагменты из рассказов наших информантов на карельском и вепсском языках о себе, о своей жизни, о земляках и традициях до конца года будут размещены на Аудио-карте прибалтийско-финских языков Карелии и сопредельных областей, и у всех желающих появится возможность их услышать. 🔊  💌Надеемся, что и после завершения Марафона мы продолжим получать от вас записи речи своих родных и близких – носителей карельского и вепсского языков, тогда Аудио-карта зазвучит и их голосами. 🎶  👏Благодарим всех участников за проявленный интерес к Марафону!  Каждый будет поощрен дипломом и печатной продукцией ИЯЛИ КарНЦ РАН.📜 Победители Марафона также получат денежное вознаграждение. Мы свяжемся со всеми по электронной почте, указанной в заявке. ✍  Итак, называем имена победителей!   🌟Из студентов, отправивших нам заявки, призерами стали:  Графова Валерия Михайловна  Новоселова Алёна Александровна  Павлюк Татьяна Сергеевна и Захарова Софья Сергеевна    🏆В номинации «Карельский язык» победили:  Либерцова Валентина Васильевна  Павлова Любовь Петровна  Россиева Антонина Владимировна   👑В номинации «Вепсский язык» победу одержали: Кузнецов Максим Юрьевич  Назарова Нина Николаевна  Смирнова Ирина Ивановна   🏅Призерами в номинации «Коллективные заявки» стали:  ГБСУ СО «Петрозаводский дом-интернат для ветеранов» (участник – Распутина Вера Викторовна) Редакция газеты «Родная земля» (п. Рамешки)  💐Поздравляем!!!🎈",2023-10-07 09:00:00,60,15,1493
41,"⚡Сюжет о Марафоне ""Слушаю родной говор"" в свежем выпуске новостей [club48634186|Viestit - Karjala] на карельском языке👇",2024-02-22 12:32:08,4,0,97
40,Мы продолжаем получать отзывы о нашем Марафоне. Благодарим за такую высокую оценку нашего мероприятия❤️,2023-11-22 22:36:23,4,0,106
38,,2023-10-20 12:55:20,7,1,143
37,Об итогах Марафона в сюжете на карельском и вепсском языках♥️,2023-10-19 13:00:21,6,1,110
36,"Уважаемые призёры и участники нашего Марафона! Сообщаем вам, что дипломы уже подписаны и ждут вас! Дипломы уже отправлены в Тверскую область, а сегодня первые счастливчики получили их вместе с другими подарками📗📘📙📚",2023-10-17 18:41:08,30,3,396
35,Нам очень приятно получать такие отзывы от нашем Марафоне❤,2023-10-13 09:31:04,3,0,122
34,"Небольшой комментарий об итогах Марафона записей вепсской и карельской речи прозвучал сегодня в выпуске новостей [club89004728|Karjalan radio 102,2FM. Kodirandaine] на людиковском наречии карельского языка.",2023-10-12 18:39:34,5,3,142
33,"❤Поздравляем студентов и выпускников Кафедры прибалтийско-финской филологии с победой в Марафоне!  🎬Мы очень надеемся, что и в дальнейшем мы будем получать образцы карельской и вепсской речи, записанные студентами ПетрГУ во время прохождения диалектологической практики.  А мы, в свою, очередь, разместим фрагменты этих уникальных записей на Аудио-карте прибалтийско-финских языков Карелии и сопредельных областей.❗",2023-10-09 11:37:45,7,2,143
32,Мы от всей души поздравляем победителей! Благодарим за отзыв о нашем Марафоне!,2023-10-07 11:01:05,4,1,165
29,Дорогие друзья! Приём заявок на участие в Марафоне завершён! Благодарим всех участников♥️ Подведение итогов Марафона состоится 7 октября!,2023-07-02 08:37:34,5,0,234
28,"Уважаемые участники Марафона! Напоминаем вам, что срок подачи заявок завершается 1 июля.",2023-06-16 18:28:10,1,1,222
