id,text,date,likes,reposts,views
4116,"🔥 Если ты – шеф Северной кухни, значит, на все руки мастер 😉  На фестивале [https://vk.com/yayakemskavolost|«Я-я, Кемска Волость!»] шеф-повар корнера «ВКарелииЕсть», [https://vk.com/mngavrilov|Михаил Гаврилов] успел:  ✅ Приготовить на окопной свече полноценный обед из трёх блюд: • Борщ с фасолью и тушёной говядиной • Картофельное пюре с тушёнкой • Сбитень из клюквы  💥Партнёр этого мастер-класса – компания Dinner Service, которая, в том числе, передает свою продукцию бойцам в Курскую область 💪♥️  ✅ Сварить рыбную солянку по-походному, на открытом огне полевой кухни и накормить ею половину фестиваля 😁 ✅ Рассказать участникам МК «Ах, картошка-картошка в кожуре уголек» как приготовить картофель, что бы он не потерял вкус и восхитительный аромат и с какими простыми добавками отлично сочетается это блюдо!   И все это – за один день! 💪  *И это только половина наших приключений в Кеми. Скоро расскажем, зачем посреди реки Кемь стояли валенки и почему кулинарный язык – так же важен как научный.  🔔Следите за новостями, впереди ещё много интересного!",2025-03-17 10:04:25,47,2,3586
4114,"🌿 Постные дни – в [https://vk.com/vdnh_drk|Доме Российской кухни] на ВДНХ!    С 3 марта по 19 апреля, в Доме Российской Кухни, вас ждут: белые грузди из Якутии, московский постный борщ с фасолью, чуду с картошкой и грибами из солнечного Дагестана, ростовские вареники с вишней и ещё много-много постных блюд из самых разных уголков нашей страны!   А в корнере «ВКарелииЕсть» мы приготовили:  🔸 горячий, густой грибной суп  🔸 и ароматный картофель с чесночным маслом  – простые, вкусные блюда, которые согреют даже в самую суровую карельскую весну. 🍲    🍽 Ждём вас в Доме Российской Кухни – пробовать кухню разных регионов и находить новые любимые блюда! 📌Москва, ВДНХ, Проспект Мира, д. 119, вблизи стр. 66А",2025-03-15 16:50:22,16,2,1780
4113,"Как создаются новые гастрономические тренды? Что такое креативные индустрии, и почему они – не дань моде, а мощный ресурс региона?    💡Друзья, представляем вам новое ток-шоу [https://vk.com/tokar.show|«Токарь»] – креативная Карелия в формате живых встреч с экспертами!  Разбираемся без официоза, зато с юмором и большой любовью к делу.  😎Кто: дизайнеры, музыканты, рестораторы, архитекторы делятся экспертными мыслями, спорят, докапываются до новых смыслов.   🗓️Когда: 18 марта в 19:00 📌Где: ул. Литейная д.1  В уютной атмосфере бара «Рядом», расположенном в уникальном пространстве бомбоубежища Онежского тракторного завода.   🔎 Что вас ждёт:  🔸 Захватывающие дискуссии и инсайты от профессионалов   🔸 Возможность задать свой вопрос   Приходите на живые встречи или смотрите выпуски онлайн – обсуждать будущее можно из любой точки мира!  * ток-шоу «Токарь» является частью федерального плана развития креативных индустрий в РФ и проводится при поддержке Экспертного совета креативных индустрий Карелии.",2025-03-12 17:22:03,8,0,1064
4112,"Когда в последний раз вы делали что-то впервые? 🎨✨    Каждый день, мы многое впервые смотрим – ленту в соцсетях, видео, рекламу, кино. Мы узнаем, как выглядит тесто для пирога, как художник ведёт кисть по холсту, как собираются старинные обереги.  Но знание – не опыт. Смотреть – не значит делать.    В наших Гастрономических и Художественных мастерских вы не узнаете новое, вы его воплощаете: вы пробуете, создаёте, ощущаете, проживаете.   🔹 Хотите попробовать себя в роли пекаря? Научим катать карельские калитки с румяной корочкой!   🔹 Интересуетесь историей? Расскажем, как рыбаки засаливали рыбу, а потом… засолите сами!   🔹 Любите необычное?  Попробуйте выбить на камне древний петроглиф, как наши предки и почувствуйте себя первобытным художником.   🔹 Нужен талисман? Соберите счастье своими руками из карельских минералов.    Это не просто мастер-классы – это новые умения, эмоции и впечатления.   Приходите в Гастрономические и Художественные Мастерские и, возможно, ваше «впервые» станет просто «первым» – из вереницы чудесных открытий! 😊✨  📌г.Петрозаводск наб. Варкауса д.27 к.2",2025-03-12 11:22:56,21,2,1454
4111,"🥧«Поморский рыбник»: живая история поморов с румяной корочкой!  Не просто пирог, а настоящий символ Северного гостеприимства, неразрывно связанный с образом жизни поморов – рыболовством. Пирог-праздник, его всегда пекли на торжества, угощали дорогих гостей.   Так какой же он, настоящий поморский рыбник? С палтусом? Или с камбалой? А может с корюшкой? Пшеничный? Или ржаной?   А правда в том, что у каждой поморской хозяйки свой, бережно хранимый, уникальный рецепт!  На IV фестивале [https://vk.com/yayakemskavolost|«Я-я Кемска Волость!»], на конкурсе «Поморский рыбник», мы увидели десять шикарных версий – каждая со своим характером, вкусом, историей и красивой презентацией.   Участники, конечно, волновались, но щедро делились нюансами технологий, рассказывали про местную рыбу и семейные секреты теста.    От всей души поздравляем победителей и благодарим уважаемое жюри – от мала до велика, за внимание к каждому участнику и строгое, но справедливое судейство!   • [https://vk.com/maximsyrnikov|Максим Сырников] – известный российский шеф-повар  • [https://vk.com/agroshapovalova|Екатерина Шаповалова] – автор проекта [https://vk.com/gastromaprussia|«Гастрономическая карта России»]  • [https://vk.com/mngavrilov|Михаил Гаврилов] – шеф-повар корнера «ВКарелииЕсть» в Доме Российской Кухни  • [https://vk.com/denispanteleev86|Денис Пантелеев] – шеф-повар ресторана [https://vk.com/kareliangornica|«Карельская горница»]  • [https://vk.com/ivan_balin13|Иван Балин] – бренд-шеф музея&ресторана «ВКарелииЕсть»  • [https://vk.com/id176480158|Ирина Минеева] – шеф-повар кафе «Поморское» отеля [https://vk.com/umahotel|Парк-отель | ЮМА | Кемь]  😁А все же, главная победа досталась всем: мы вместе сохраняем и передаём традиции поморской кухни дальше!   * Присмотритесь к фото, в этом году к высокому составу жюри присоединился самый юный и весьма ответственный участник – Антон, в шутку названный «Сын фестиваля», за активное участие ☝️  Спасибо что печёте, рассказываете и помните♥️",2025-03-11 16:41:50,22,3,3346
4110,"🎉 Гастрономический фестиваль [https://vk.com/yayakemskavolost|«Я-Я, Кемска Волость!»] – как это было.    А было – прекрасно! 🥰  Мы угощали на фудкорте, готовили на окопной свече, проводили мастер-классы и слушали потрясающую лекцию Руководителя проекта [https://vk.com/gastromaprussia|«Гастрономическая карта России»] [https://vk.com/agroshapovalova|Екатерины Шаповаловой] «Учим кулинарный язык России». Любовались чудесной экспозицией на реке и судили конкурсы!   Мороз щипал щёки, в воздухе пахло дымом от костров и горячей ухой, а вокруг звучали разговоры и смех людей, влюблённых в Север и гастрономию.    Гости участвовали в конкурсах и соревнованиях, осваивали кулинарные и творческие мастер-классы,  говорили о кулинарном языке, играли в викторину, с удовольствием выбирали памятные вещицы на шумной ремесленной ярмарке.    🔥IV Поморский фестиваль «Я-я, Кемска волость!» получился ярким, щедрым, весёлым и интересным! Впереди целая серия постов о наших приключениях в Кеми, а пока –спасибо всем, кто был рядом и до новых встреч! ♥️",2025-03-10 11:37:57,23,1,1634
4106,"💐✨Удивительные, прекрасные, вдохновляющие... очаровательные, нежные, мудрые... сильные, добрые, заботливые... утончённые, грациозные, неповторимые!   ♥️Дорогие наши женщины! Мы долго искали слова, чтобы описать, насколько вы невероятные, но лучше всего это сделали наши ребята ☺️  От всей команды музея&ресторана «ВКарелииЕсть» и «Легендарной карелии» поздравляем вас с 8 марта!    Пусть в вашей жизни всегда будет место для любви, тепла, радости и самых невероятных гастрономических приключений!  С праздником! 🌸✨",2025-03-08 10:19:35,88,2,5282
4104,"Весна была создана для долгих прогулок, теплых объятий и вкусных ужинов в хорошей компании 😉  А мы добавим в этот букет ещё и  специальное меню, которое действует 7,8 и 9 марта, и идеально подходит для весенних встреч:    🦪 Нежные гребешки – 290₽ 🥪 Хрустящий бутерброд с крабом – 350₽ 🥩 Сочный дирштекс с брусничным соусом – 450₽     💐8 марта – милых дам ждет комплимент от «ВКарелииЕсть»:  🍹 Безалкогольный коктейль «Турист» (100мл) и 🍰 десерт «Боль шаманки» с праздничной скидкой 8%  Приходите вкусно отмечать праздники в музей&ресторан «ВКарелииЕсть» – 7, 8 и 9 марта!  📌г.Петрозаводск, пр. Ленина д.15",2025-03-07 14:20:53,14,2,1574
4102,"✨Как описать вечер, где в клубах жидкого льда рождается гастрономическое волшебство? Где минуты отмеряют тостами, а незнакомый ещё пять минут назад сосед, почти сразу превращается в доброго друга?   А и никак не описать.  Это надо просто испытать 😁  Грузия будто распахнула свои гостеприимные объятия, со всей своей щедростью, острым, пряным запахом горных трав и неповторимыми вкусами! Мы слушали захватывающие истории о древних традициях и гастрономических особенностях. Узнали, сколько видов сыра есть в Грузии , почему нельзя плакать 2 января, и что такое квеври ☝️  Вкусно ели, много смеялись, запивали грузинские угощения отменными вином, вели душевные разговоры...   ♥️Спасибо, что разделили с нами эти дни!   * Больше подробностей о замечательном теплом и вкусном гастроужине – в альбомах: • [https://vk.com/album-192260676_307976822|Ужин 28.02] • [https://vk.com/album-192260676_307977025|Ужин 1.03]",2025-03-06 13:46:32,37,3,7622
4101,"Гастроужин Грузинской кухни с Марусей: послесловие 🍷✨  Если вы теперь:  🔸легко отличаете джонджоли от акации 🔸сходу назовёте три причины посетить солнечную Грузию  🔸 и знаете, почему в Грузии соленые огурцы странно-фиолетовые  велика вероятность, что мы с вами недавно сидели за одним столом 😉  За тем самым, на котором, по мановению умелой руки Маруси появлялись щедрые грузинские угощения.    Под зажигательные мелодии, мы искали сходства и различия блюд карельской и грузинской кухни и узнали много нового о традициях гастрономической культуры Грузии.  А ещё, Маруся увлекательно рассказала о каждом напитке, которым сопровождались курсы... и немудрено, ведь именно ее семья производит вина бренда Асканели!   Огромное спасибо агентству «БеZПринципа» и шеф-повару Марусе, и, конечно, вам, наши дорогие гости ♥️",2025-03-06 10:27:00,25,1,1116
