id,text,date,likes,reposts,views
2374,Поздравляем всех причастных к сохранению культурного наследия с Международным днем памятников и исторических мест!,2025-04-18 12:30:49,16,0,348
2371,"18 апреля — Международный день памятников и исторических мест    Праздник учредил в 1983 году Международный совет по охране памятников и достопримечательных мест при ЮНЕСКО. Этот день призван напомнить о важности сохранения наследия по всему миру.    Сегодня в списке Всемирного наследия ЮНЕСКО числится 33 объекта, расположенных в России. Два из них находятся в Карелии — Кижский погост и петроглифы Онежского озера и Белого моря.    Почему они получили такой статус, рассказываем в карточках.",2025-04-18 08:56:30,21,2,263
2367,"Алексей Комов, вице-президент Союза архитекторов России и первый вице-президент Союза московских архитекторов, об архитектуре новых территорий в панельной дискуссии «Возрождение исторических территорий», прошедшей в рамках выставки «Рождение масштаба»",2025-04-15 08:56:58,14,1,1019
2365,"XX Юбилейный Всероссийский Форум-выставка «ГОСЗАКАЗ» пройдет в Санкт-Петербурге (КВЦ «ЭКСПОФОРУМ) с 23 по 25 апреля.    25 апреля 2025 г. в рамках Форума Минкультуры России совместно с АО «ДОМ.РФ» проводит экспертную дискуссию «Инвестиции в культурное наследие», на которой будут обсуждаться прикладные вопросы реализации поручения Президента Российской Федерации В.В.Путина по сохранению объектов культурного наследия в регионах России и приведению к 2030 году не менее 1 тыс. объектов культурных объектов в удовлетворительное состояние.    Для участия в Форуме приглашены руководители профильных исполнительных органов субъектов Российской Федерации, а также представители инвесторов и заинтересованных партнеров.    Для аккредитации необходимо пройти регистрацию в личном кабинете на сайте www.forum-goszakaz.ru до 16 апреля 2025 г.  Деловая программа: https://forum-goszakaz.ru/programma/.  Паспорт Форума-выставки: https://forum-goszakaz.ru/pasport/.",2025-04-14 12:59:38,10,0,122
2364,Жемчужины русской архитектуры и зодчества. Наслаждаемся прекрасным.,2025-04-14 12:25:58,14,0,246
2363,"Скоро лето, а это значит, пора приводить в порядок территории, на которых мы живем.    С 17 апреля до 31 мая в Петрозаводске будет проходить акция «Чистый Петрозаводск». Подробнее – https://vk.com/wall-96202416_70161?w=wall-96202416_70161  https://petrozavodsk-mo.ru/2938/subbotniki-v-2025-godu.file",2025-04-12 20:42:00,14,0,583
2362,"С праздником, дорогие подписчики!",2025-04-12 18:58:04,14,1,165
2360,В преддверии Дня Космонавтики маленькая подборка для умников и умниц:    Космический диктант «КосмоВсеобуч.рф» - 12.04.2025 в 12:00 (https://космовсеобуч.рф/)  Звездный диктант «Поехали» - 12.04.2025 а 14:00 (https://zvezdnydiktant.ru/register)    Не забудьте заранее пройти регистрацию.,2025-04-11 13:28:47,10,0,122
2357,"«Деревянное зодчество России. Прошлое. Настоящее. Будущее».  Проект Синтез-Интегра при поддержке [club205606768|Президентский фонд культурных инициатив] - киноповествование «Деревянное зодчество России. Прошлое. Настоящее. Будущее», состоящее из 4 фильмов: «Дом», «Храм», «Музей» и «Новое Деревянное», в котором ведущие российские реставраторы и эксперты, архитекторы и волонтеры рассказывают о перспективах, насущных проблемах и славном прошлом деревянного зодчества.  Премьера состоится 29 апреля в 19.00 в Конференц-зале Центрального Дома архитектора по адресу: г. Москва, Гранатный переулок, дом 7. Вход свободный.  Источник - https://hraniteli-nasledia.com/articles/moskva/premera-kinoputeshestvie-vo-vremeni-po-derevyannomu-zodchestvu/",2025-04-10 20:05:24,33,4,573
2355,"[club24403851|Общее Дело. Возрождение деревянных храмов Севера] объявило о сборе средств на проведение противоаварийный, консервационных работ на церкви Илии Пророка в деревне Панозеро в Кемском районе.   Экспедиции запланированы на лето 2025 года. Все работы будут проходить под руководством и при поддержке специалистов музея-заповедника «КИЖИ».  Страница сбора средств на проведение противоаварийных работ в церкви Илии Пророка в д.Панозеро - https://obsheedelo-sbor.tilda.ws/panozero",2025-04-04 19:02:00,28,1,423
