id,text,date,likes,reposts,views
4292,"https://forms.mkrf.ru/e/2579/xTPLeBU7/?ap_orgcode=125871 [Ссылка] Пройти онлайн-опрос: Удовлетворенность граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества https://forms.mkrf.ru/e/2579/xTPLeBU7/?ap_orgcode=125871  Дорогие наши друзья, подписчики группы и посетители нашего музея - мы будем Вам очень признательны и благодарны, если Вы оцените работу нашего музея.  Министерство культуры Российской Федерации приглашает Вас принять участие в оценке удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества.  ❗️Данное исследование проводится с помощью анонимной анкеты. Анкета заполняется просто. Можно воспользоваться ссылкой или куар кодом. Заходите, внимательно прочитываете вопросы анкеты и выберите тот вариант ответа, который является наиболее подходящим для Вас. Пожалуйста, укажите, что вы оцениваете работу музея !  ❗️Обратите, пожалуйста, внимание – на некоторые вопросы Вы можете давать несколько вариантов ответа или отвечать в свободной форме.  ❗️Выразить свое мнение о работе нашего музея Вы можете заполнив анкету онлайн - kareliamuseum.ru/posetitely и по указанному куар коду,, который также размещен во входной зоне музея.  🤝 Мы будем очень вам благодарны за обратную связь!   Анкетирование начнется с 1 января 2025 г.",2025-01-07 11:51:47,36,5,1926
4451,"Сегодня, 20 апреля, Республика Карелия отмечает День рождения карельской и вепсской письменности. В этот день, в 1989 году, были утверждены алфавиты карельского и вепсского языков и своды правил по их орфографии...  #Сохраняйте#изучайте...",2025-04-20 09:15:36,53,4,1646
4440,"❗❗❗Напоминаем,  музей можно посетить по  ПУШКИНСКОЙ КАРТЕ. Ею можно оплатить вход, экскурсии и ряд дополнительных услуг, звоните, уточняйте по номеру телефона: 8(8142)559-655 (доб. 106)                          Будем рады Вас видеть 😊",2025-03-24 09:28:15,5,0,371
4439,Очень-очень хочется солнышка....,2025-03-24 08:59:41,5,1,326
4434,Светлая память...,2025-03-14 20:36:10,23,2,709
4431,"📢  Сегодня, 9 марта, в Шелтозерском вепсском музее было несколько групп, но что интересно, все из Санкт-Петербурга ☺   Приятно, что петербуржцы интересуются вепсами))",2025-03-09 16:57:49,68,2,1779
4424,"#мероприятие_в_музее_Шелтозеро 🌺 В преддверии Женского дня, 6 марта, в нашем музее прошла удивительная встреча  ""Всему начало - Женщина"" в зелёном зале на выставке ""От бабушки к младенцу"". Гости пели, читали стихи, познавали и общались...    Мы рады были видеть всех вас !                Всех с наступающим праздником !  🌺",2025-03-07 10:51:17,88,1,2905
4421,"#Шелтозеро_музей_мероприятия #сотрудники_ждут_Вас 📢  Спешим сообщить : 6 МАРТА в 16.00. в нашем музее состоится дружеский вечер под девизом: ""ВСЕМУ НАЧАЛО - ЖЕНЩИНА"".  Для милых дам и их спутников.  С участием Вепсского народного хора.  Ждём всех и каждого  🌺",2025-03-02 11:45:20,88,6,5067
4420,"А все же интересно. Можно вспомнить детей в конце 20 века, кто -то так ещё играл. А вы?",2025-03-01 09:59:01,9,3,653
4419,"📢 Kalevalan prazdnikanke tiid!   Lugegat da kundelkad runoid ičemei kelel!  С днём Калевалы!   28 февраля - один из самых любимых национальных и государственных праздников, день карело-финского эпоса Калевала !   Вепсский народный хор распевает руны на родном нашему краю языке, а в нашем музее вы имеете возможность почитать Калевалу на русском и вепсском языках.  Первое издание для детей на вепсском языке вышло в 2002 году и ровно через 20 лет полное издание Калевалы увидело свет благодаря переводу Нины Григорьевны Зайцевой.  #Шелтозеро#День_Калевала",2025-02-28 16:37:04,48,4,836
4416,"#Шелтозеро#зарница#вепсы 📢Вчера, 20 февраля, наш музей в очередной раз принимал участие в ежегодной военно-патриотической игре ""Зарница"" проводимой [club102088636|МОУ ""Шелтозерская СОШ""] .  В этом году участие приняли шесть команд Шелтозерской школы и команда из Рыбреки. В музей ребята пришли на краеведческую станцию, где благодаря книге Рюрика Петровича Лонина: ""Детство, опалённое войной"" они активно отвечали на вопросы о времени ВОВ в Шелтозерском районе.",2025-02-21 13:07:36,45,1,3210
4407,"❗Уже в это воскресенье... в п. Кварцитный.                    Приходите, порадуйте себя....",2025-02-13 08:23:07,29,4,1092
