id,text,date,likes,reposts,views
7253,Verkkoversio on osoitteessa http://kaino.kotus.fi/kks. Ссылка на Словарь карельского языка П.Виртаранты в Сети.,2023-06-03 21:49:52,25,5,3670
7966,Kuvahaisie Karjalasta.,2024-11-30 00:24:50,76,5,791
7965,"KARJALAN HEIMO  Правление отделения Карельского просветительского общества в Кеми (Фин.). Слева: председатель Сантери Яакконен (Александр Яковлев из д. Кевятозеро б. Тунгудской волости, похоронен в Кеминмаа), заместитель председателя Мартта Мунтти, Вейкко Мельгин (из д. Ушково Маслозерской волости).",2024-11-30 00:14:17,23,0,427
7961,Piiterissä.,2024-11-29 19:24:30,24,4,664
7940,"Karjalan kielestä sen verran jotta kieli on niin köyhtyn meillä nyt, ei omalla kiielellä voi sanuo muuta kuin moniehan asien, kaikesta muusta paissessa on käytettävä vierahie sanoja, mi ei ole kielelle hyväksi.  Kuinka moni itsie karjalaisena pitävä imini voit sanuo mitä tarkoitetaa nämä sanat? Kun et tiedäne mitä ne olaa, niin siun oma kieli on kutistun ihan pienen pieneksi.  О карельском языке скажу только то, что язык у нас настолько обеднел, что на своём языке можно выразить только совсем немногое, говоря же обо всём другом, приходится в разговоре использовать слова из чужого языка, что не есть хорошо для (родного) языка.  Многие ли из тех, кто считает себя карелом могут сказать что обозначают эти слова? Если не знаешь что это, то твой родной язык скукожился до совсем маленьких размеров.    Ahjo, malvi, ahjos, palkehet, ahkivo, aho, huuhta, ahokoivu, elätti, ahoisriuku, ahtuaja, aihossella, aijanjuohe, aina, aitosen alatsi, elävällä lihalla, ajatella, akkiloija, alango, alkua, alli, emintimä, ettoni, kalavehe, lunastua, habenet, suokurvitsa, huoza, hyytyö, hyybienhaukka, hännikäs tähti, olla härillää, hävittyä, ihokas, tagatalvi....",2024-11-18 10:24:55,44,7,1097
7936,"Тамара Даблиева    14 ноя в 8:39  В последнее время со множеством событий, вызывающих огромное удивление, я всё чаще вспоминаю это стихотворение.    ""Если ты, дружок, забывчив,  Я тебе напомню:  Даже грубая осока  Благодарна корню.  Ты с родителями ласков,  Но скажу я смело,  Что уважить мать родную -  Это лишь полдела.  Ты умён, но все таланты  Обернутся прахом,  Если той земли, где вырос,  Не волнует запах.  И, поверь, пойдут насмарку  Все твои старанья,  Коль забудешь, как мотыги  Звякали о камни.  Коль не знаешь, сколько в песнях  Северных терпенья,  Пустотой дупла повеет  Собственное пенье.  Если ты, дружок, забывчив,  Я тебе напомню:  Даже грубая осока  Благодарна корню"".    Яакко Ругоев. 1969 г",2024-11-16 11:26:35,72,14,1564
7935,"[club6359948|БЬЯРМИЯ]  теперь – это не только песни и музыка, но еще и визуальное погружение в древние миры и мифологии.  Мы – Mythology-folk-rock проект из Санкт-Петербурга, который воскрешает забытые руны, сказания, легенды, эпосы.  ДА, ТЕПЕРЬ МЫ ОФИЦИАЛЬНО СНИМАЕМ КЛИПЫ ПО ЭПОСАМ, МИФОЛОГИЯМ, ЛЕГЕНДАМ!    Сейчас вышло три клипа по карело-финской мифологии и миру «Калевалы». Познакомиться с ними вы можете здесь, а также на YouTube и RuTube-каналах.   КЛИП «АЙНО»    КЛИП «НЕВЕСТА»    КЛИП «САМПСА»      НАШ АКТЕРСКИЙ СОСТАВ:   Паша Рыбин  Олег Кучур  Антон Ильин  Надя Ильина (Буйко)  Наталия Ковалева  Александра Ковалева  Полина Кучур  Мария Сёмина  Екатерина Раковская  Kaisa Varzuga  Ермил Раковский  РЕЖИССЕР, СЦЕНАРИСТ: Екатерина Раковская  ОПЕРАТОР-ПОСТАНОВЩИК: Дмитрий Раковский",2024-11-12 16:58:58,2,0,0
7914,"Илмари Кианто. Общеизвестно, что поэзия калевальской тематики была представлена только вблизи восточной границы Финляндии, то есть на восточно-финской территории и за границей в Ижорской земле, Олонецкой и Беломорской Карелии. Кое-какие разрозненные варианты записаны также в Приботнии и Кайнуу, но это совершенно явно лишь искорки, залетевшие сюда из Восточной Финляндии вследствие карельской экспансии.  И хотя эта т.н. калевальская метрика (8-стопный трохей/хорей) была известна также и в Эстонии, Лифляндии (у ливов Латвии - прим.) и Кайнуу, там не было найдено баллад с калевальскими сюжетами, повествующих о Похъоле-Манале, Лоухи, Вяйнямёйнене, Илмаринене, Йоукахайнене и Лемминкяйнене, а встречаются они только на территории православных (= греко-католических) карел и ижоры.  Ilmari Kianto Tunnettua on, että Kalevala-aiheista runoutta on esiintynyt vain Suomen itärajan tuntumassa, siis itäsuomalaisella alueella ja rajan takana Inkerissä, Aunuksessa ja Vienassa. Joitakin hajatoisintoja on merkitty muistiin myös Pohjanmaalta ja Kainuusta, mutta ne on selvästi vain eräänlaisia itäsuomalaiselta alueelta lentäneitä kipinöitä, karjalaisen ekspansion mukana kulkeneita.   Vaikka tuo ns. Kalevalamitta (8-tavuinen trokee) on tunnettu myös Virossa, Liivissä ja Länsi-Suomessa, ei sieltä ole tavattu Kalevala-aiheisiä balladeja, jotka kertovat Pohjola-Manalasta, Lоuhesta, Väinämöisestä, Ilmarisesta, Joukahaisesta ja Lemminkäisestäб ja ne tavataan vain kreikkalais-katolisilla karjalaisilla ja inkeroisilla.",2024-10-28 13:10:51,13,1,664
7887,"ЛАДОГА. Первая столица Руси. 1250 лет непрерывной истории.  Д.А. Мачинский. Вновь открытые источники по истории Руси IX-XII вв.  ...""остася единъ Рюрик, и нача владети всею Руской землёю и обираху дани на Словенехъ и на Кривичах и на Мери, и на Муроме....и посла воеводу своего именем Валета, и повоева Корелу и дань на нихъ возложа"".  ""В лето 6387 умре Рюрик в войне в Кореле. Княжил 17 летъ, остался сынъ его князь Игорь 14 летъ...(ПИГР: 52-53).  Появление ""корелы"" в рассказе о первичных деяниях русских князей более чем ожидаемо. Отметим, что если доверять скандинавской эпической традиции, Рюрик не первый скандинавский вождь, погибший в ""Кореле"".  В сагах сообщается о гибели (и тоже не от оружия) в Kirjalabotnar (""в карельских заливах"") шведского короля Ивара Широкие объятья не позже первой половины VIII века. И для скандинавской, и для русской эпической традиции ""Корела"" - место окраинное и вовсе не подходящее для героической смерти знаменитого конунга/ князя, так что заподозрить фальсификацию в ПИГР трудно. К слову, можно примерно догадаться где в ""Кореле"" погиб Рюрик (да и Ивар)- Нева, судя по всему, контролировалась Рюриком и его ""русью"". Но был в те времена и другой водный путь через Карелию (от Выборгского замка через протоки и озёра на Вуоксу и в Ладожское озеро), без контроля над которым нельзя было обезопасить Ладогу/ Алдейгью. Возможно, борьба за контроль над этим путём и была последним ""дянием"" стареющего Рюрика.""  P.S. Алдейгью - карельское Аладёги/ Нижняя река, нынешняя река Ладожка. Старая Ладога - Алдейгобург - ""крепость на Нижней реке"".  См. книгу Паранина ""Историческая география летописной Руси"".  От карельской Аладёги - Нижней реки произошло и - через типичную для этих случаев метатезу - славянское газвание Ладога, и в последнюю очередь финское название Лаатокка.",2024-10-27 15:51:00,12,4,711
7882,"Хоть плачь, хоть смейся...  СЕВЕР. №3/1975. В. Мужиков. ТОПОНИМИКА И ИСТОРИЯ КРАЯ.  ""Первой железнодорожной станцией Мурманской области, встречающей поезд, идущий на север, является Пояконда. Карелия осталась позади но наследие её первых поселенцев-карелов закрепилось в названии этой маленькой железнодорожной станции, где поезда останавливаются редко. Происхождение станции, по всей видимости, карельское, а в переводе на русский язык обозначает ""медвежонок"", буквально - ""медвежий парень, сын"" ( пойка - ""парень"", кондие - ""медведь"").  Не исключается и финское происхождение имени станции, так как составные части названия звучат почти так же на финском языке.""   ""Одним из древнейших поселений на Кольском полуострове является Кандалакша. Существует несколько мнений о дате её основания. По одним из них, основание поселения относится к XI веку, по другим - к IX.  Авторы книги ""Кандалакша"" Г.Г. Кузьмин и В.Ф. Разин одним из источников происхождения этого названия указывают на легенду о двух братьях - Канта и Лахти, облюбовавших для своего жилья берега порожистой реки Нивы. Якобы по их именам и назвали люди своё поселение Канталахти.",2024-10-27 14:12:21,19,4,1016
