Частотные слова,Частота
купеческий,141
рябиновый,79
ключница,78
сумка-шоппер,76
бродилка,70
пресс-показ,68
фотонегатив,65
футболка,64
иогансон,63
перенестись,54
въ,51
брелок-подвеска,50
досочка,50
музейщик,49
фоторамка,49
остерегаться,48
девица,47
фигурка,46
репа,46
всех-всех-всех,45
поселенец,44
аудиоспектакль,44
стародум,43
konzu,43
бонбоньерка,40
interactive,39
history,39
жения,38
мюллярить,38
бердашева,38
прилукинский,38
досье,38
восстание,37
прошелуйкин,37
шахнович,36
кувадка,36
мини-выставка,35
данков,34
направо,32
карандашница,32
колхозник,31
прялица,30
точёный,30
куттуевый,29
кручёный,29
подвеска,26
акварельный,26
бабочка,26
спектакль-променад,26
экскурсия-путешествие,26
кроссворд,25
семейно-народный,25
неолит,25
тиккуева,25
блейхмана,24
cредневеков,24
стронк,24
переполох,24
пузатый,24
диановый,24
МТС,24
постой,24
тарелочка,23
чернила,23
государь,23
пластинка,23
прямоугольный,23
шляпа,23
раков,23
человечек,22
нач,22
кфсср,22
фотосалон,22
ГДЕ,22
казнина,22
подойник,22
подполье,21
пазл,21
брюхо,21
оригами,21
круковский,21
подруга,20
оланга,20
снежинка,20
коляда,20
этикетка,20
угадайка,20
отверстие,20
граммофон,20
пуговица,20
коскесть,20
веледеев,20
чернильница,19
подкова,19
кокошник,19
пехотинец,19
радиоприёмник,19
институциональный,19
ваза,19
патефон,19
