Частотные слова,Частота
коронавирус,1107
minnazrk,1022
пневмония,605
госпитализировать,524
внебольничный,378
летальный,360
муезерский,328
котельная,260
контракт,245
инфицировать,236
инвестиция,220
диагноз,218
эпидемиологический,213
инвестиционный,206
обсервация,206
томография,173
инвестор,167
работодатель,166
межконфессиональный,163
медиацентр,160
компенсация,159
муниципалитет,154
ЖКХ,147
минздрав,146
господдержка,145
пп,143
резидент,139
капремонт,138
экстремизм,138
миннац,135
фап,128
собственник,124
перинатальный,119
газификация,118
самокарантин,116
медучреждение,114
кредит,113
многоквартирный,112
выделение,111
санкция,111
обязательство,110
КСМ,109
минсельхоз,107
фермерский,105
онлайн-совещание,100
калин,100
экспертиза,99
судостроительно-судоремонтный,98
ИВЛ,97
томограф,93
мигрант,93
газопровод,92
минстрой,92
резервный,92
минэк,91
РЖД,90
заболеваемость,90
минэкономразвития,87
бюджетирование,87
роспотребнадзор,87
проблемный,83
дорожник,82
ввод,80
теплоснабжение,80
гармонизация,80
компенсировать,79
пиндушить,76
covid,76
бсмп,75
клубника,75
сердечно-сосудистый,74
вертолёт,73
высокотехнологичный,73
капитально,73
инвестпроект,73
белопорожский,73
спасатель,72
онкологический,71
адресный,71
инвалидность,70
финансы,70
председательство,70
орви,70
спортзал,69
арендатор,69
очистный,69
хронический,69
livvinkarjala,69
vienankarjala,69
коммерческий,68
минприрода,67
кооператив,66
вице-премьер,66
задолженность,66
моногород,66
демография,65
media,65
ВАД,64
боровой,64
единовременный,61
