topic,relatedness,text,date,group,likes,reposts,views
благоустройство,0.358,"Продолжаем реконструкцию еще одного участка трассы «Олонец-Вяртсиля» на отрезке с 96 по 118 км. Сейчас идет расчистка полосы отвода, отсыпка земляного полотна, зачистка скалы под буровзрывные работы. Дорожники укладывают водопропускные трубы и переносят сети.   Работы ведет компания «ВАД», она же реконструировала первые 7 км этой трассы в прошлом году. Качество отличное👍, это подтвердили лабораторные исследования. Показатели соответствуют всем требованиям ГОСТов. Кроме того впервые на региональной дороге появилось ограждение от выхода животных.    Объем работ серьезный. К тому же за счет спрямления участка дорога станет короче на 3 км. Полностью сдать 14 километров качественного полотна дорожники должны к концу июля 2023 года. Но рассчитываем, что средства из федерального бюджета поступят раньше, и работы будут завершены уже в следующем году.  #ДорогиКарелии",2020-03-16 11:58:05,,207,7,34391
благоустройство,0.3564,"⚒ Месяц. Такой срок для завершения всех работ на участке с 25 по 33 километр суоярвской трассы дают дорожники. Они уже уложили асфальт на проезжей части, осталось нанести дорожную разметку. Параллельно строители устанавливают опоры уличного освещения, обустраивают остановки общественного транспорта. Также еще предстоит заасфальтировать тротуары и закончить планировку откосов. Реконструкцию этого участка, напомню, ведет компания «ПСК Строитель».    Автодорогу от Петрозаводска до Суоярви, которая была одной из наиболее проблемных, начали приводить в порядок несколько лет назад. Шаг за шагом, этап за этапом. Из четырех мостов, нуждавшихся в реконструкции, два уже сделали – через Сяпсю и Кутижму. На двух еще идут работы: мост через реку Чалну дорожники должны сдать до конца этого года, а через Шую в Суоярвском районе (на 115 км) – в следующем.  #ДорогиКарелии #Нацпроекты #БКД",2023-09-28 14:36:57,,285,14,35055
благоустройство,0.3522,"Рассказываю, как продвигается строительство двух мостов в Сегежском районе.    - Майгубский. Подрядчик демонтировал часть аварийного моста и сейчас готовится к одному из самых сложных этапов – установке новых опор в русле реки. Строительство ведет компания «ЭКСПРЕСССТРОЙ» из Санкт-Петербурга. Работы она должна завершить к концу следующего года.    - Мост через канал Ондской ГЭС. Рабочие приступили к монтажу пролета, параллельно возводят береговые опоры, выполняют отсыпку дороги на подходе к мосту со стороны Сегежи.    - Кроме того, продолжаем ремонт дороги «Кола»-Надвоицы-Сегежа. На участке до Ондского моста уже уложен асфальт, нанесена разметка – все по графику, как и всегда у «ВАД». Отремонтирован и участок автодороги с 10 по 23 км между Ондским и Майгубским мостами.  #дорогиКарелии #районыКарелии",2022-11-11 11:26:50,,215,26,32511
благоустройство,0.3513,"Продолжаем реконструкцию моста через реку Чалну. Позади самый трудоемкий этап: устройство опор и монтаж пролетных балок.    Сейчас подрядчик «ПСК-Строитель» укрепляет несущие конструкции, готовит основу для мостового полотна и фундамент для шумозащитных экранов. Новый мост на 21-м км дороги «Петрозаводск-Суоярви» станет шире и длиннее. Его грузоподъёмность и пропускная способность увеличатся в разы.    Реконструкцию начали прошлой осенью по региональной госпрограмме «Развитие транспортной системы». Для движения машин построили временную переправу. Завершить работы подрядчик обещает в этом году. Это важный этап нашей большой работы по масштабному ремонту дороги Петрозаводск - Суоярви, которую мы начали несколько лет назад.   #ДорогиКарелии",2023-06-06 06:58:15,,158,8,29733
благоустройство,0.3505,"Трасса Олонец – Питкяранта – Леппясилта признана уникальным объектом национального проекта «Безопасные качественные дороги».   Эксперты оценили шесть тысяч дорог и мостов России, отремонтированных в прошлом году. Уникальность нашей трассы кроется не только в живописных ландшафтах Приладожья, но и в примененных технологиях. Проезжая часть проходит по сложной местности, подрядчик менял основание дороги и частично — земляное полотно. Также здесь использован новый вид асфальта, летом при нагревании за счет специальных добавок мелкие трещины будут затягиваться сами.   Дорожники выполнили работы раньше запланированного срока.   #ДорогиКарелии",2022-06-10 12:27:51,,505,66,48017
благоустройство,0.3497,"Мост через реку Чалну практически готов. Посмотрите, каков красавец!   Его готовность – более 90%. Подрядчик кратно увеличил грузоподъёмность и пропускную способность переправы. Остались заключительные штрихи - устройство съездов и очистных сооружений, а также нанесение разметки на проезжую часть.   Мост через Чалну – один из этапов реконструкции дороги Петрозаводск-Суоярви. Точнее не реконструкции, а строительства – ведь ряд участков, таких как с 25 по 33 километр (с ним работаем в этом году), приходится прокладывать заново.   Масштабные работы на трассе завершаем в этом году. В течение пяти лет все 117 километров мы привели в порядок, построили 3 моста через реки Сяпсю, Кутижму и Чалну. На следующий год планируем завершить работы на четвёртом мосту трассы – через реку Шую на 115 километре.  #ДорогиКарелии",2023-10-03 14:00:02,,1118,69,44667
благоустройство,0.3494,"Начат капремонт подъезда к Сегеже - на участке км 8+780 - км 10+700 ведется фрезерование существующего асфальтобетонного покрытия, земляные работы. Специалисты полностью снимают не только асфальт, но и основание дороги. Предусмотрена замена водопропускных труб, работы по устройству кюветов, тротуаров, наружного освещения, установке автобусной остановки и дорожных знаков, устройству асфальтобетонного покрытия и нанесению дорожной разметки.   Продолжается и ремонт участка км 0+000 - км 8+392. Подрядчик выполнил земляные и укрепительные работы. Сегодня здесь укрепляют обочины, укладывают асфальт, устанавливают дорожные знаки и сигнальные столбики. На восьмикилометровом участке уже уложено семь километров верхнего слоя асфальта. По графику ремонт на этих двух участках дороги в рамках нацпроекта «Безопасные и качественные автомобильные дороги» должны закончить в середине ноября.    #ГлаваКарелии #АртурПарфенчиков #дорогиКарелии #нацпроектыКарелия",2019-08-02 16:40:24,,155,5,13838
благоустройство,0.3493,"Вот так сегодня выглядит мост через реку Шую на трассе «Петрозаводск-Суоярви». Строители уже готовят ограждение для новых береговых опор.   Старый мост практически демонтировали. Движение на этом участке запустили по временной переправе, которую построили еще в прошлом году. Работы впереди масштабные – это будет новый современный мост. После реконструкции он станет шире и длиннее. Сдать объект обещают летом.  Взяться за такую стройку в Суоярвском районе нам позволил президентский нацпроект «Безопасные качественные дороги». Благодаря инициативе Владимира Путина в прошлом году мы отремонтировали по БКД 344 км региональных дорог. Это в 18 раз больше, чем в 2017-м.   Напомню, мост через Шую завершает обновление трассы «Петрозаводск – Суоярви». За пять лет мы привели ее в порядок полностью. Помимо самой дороги, в реконструкции нуждались четыре моста. Три из них – через Сяпсю, Кутижму и Чалну – уже открыты.  #Нацпроекты #ДорогиКарелии",2024-02-14 13:02:00,,231,8,20429
благоустройство,0.3492,"🚧 Четыре полосы, освещение, тротуары с велодорожкой, светофоры. Таким вскоре будет Лососинское шоссе, которое мы расширяем и продлеваем. Его протяженность увеличится почти на 1,3 км. С главой Петрозаводска [https://vk.com/vkl1968|Владимиром Любарским] проверили, как идет строительство.    Дорожники уже выполнили самые трудоемкие работы – устройство и прокладку подземных коммуникаций. Сейчас заканчивают строительство ливневки, укладывают нижний слой дорожного покрытия, параллельно монтируют систему освещения и контактную сеть. Напомню: мы продлеваем и троллейбусную линию, которая сегодня заканчивается на улице Попова.    Все работы подрядчик, «АБЗ-Дорстрой», должен завершить до конца ноября этого года. Но запустить движение по новой улице планируем раньше этого срока.  #ДорогиКарелии",2023-06-01 13:30:00,,155,9,15578
благоустройство,0.3478,"Рассказываю об обновлении трассы «Сортавала» – ключевой транспортной артерии нашего Приладожья. Накануне побывал на участке строительства недалеко от Пряжи. Здесь идет спрямление очередного отрезка дороги. Это не только сократит время в пути, но и повысит безопасность движения. Новая трасса уже пошла в обход Крошнозера, Щеккилы, Кутчезера. Сейчас строится объезд Маньги и Новой Маньги. Затем подумаем и о сопутствующей инфраструктуре – кафе и придорожных мотелях.    Дорожники выполняют устройство земляного полотна, проложены водопропускные трубы, укреплены откосы. Строится арочный мост через реку Ламата. Завершить новый участок планируем в 2023 году. Но уже сейчас подрядчик, АО «ВАД», идёт с опережением графика. Напомню, что работы проводятся в рамках нацпроекта «Безопасные и качественные дороги».    #ДорогиКарелии #Нацпроекты",2021-09-08 09:00:02,,280,33,24186
