topic,relatedness,text,date,group,likes,reposts,views
война,0.5157,"🚩 Страницы истории Историческая память о Великой Отечественной войне имеет в Карелии свою региональную специфику, связанную с тем, что помимо немецко-фашистских войск главным противником на этом участке фронта была армия Финляндии.   80 лет назад, 28 июня 1944 года освобождёны от финских захватчиков города: * Кондопога - оккупирована 3 ноября 1941 г. Освобождена 28 июня 1944 г. войсками КарФ в ходе Свирско-Петрозаводской операции: Два года и восемь месяцев хозяйничали белофинны на кондопожской  земле.  Город был освобожден 1070-м стрелковым полком 313-й стрелковой дивизии.   * Петрозаводск — столица Карело-Финской ССР Десантники и части стрелковых дивизий освободили город.  Сотни домов лежали в руинах, в концлагерях находились люди – идти им было некуда.  Стоит отметить, что города обороняли не только профессиональные военные, но и народное ополчение, партизаны.",2024-06-28 14:19:02,,17,3,1615
война,0.5092,"ШАГИ К ПОБЕДЕ  📅Из сводки Советского Информбюро за 7 мая 1945 года  Войска 1-го Украинского фронта в результате длительной осады 7 мая полностью овладели городом и крепостью Бреславль (Бреслау). Гарнизон немецких войск, оборонявший город, во главе с комендантом крепости генералом от инфантерии фон Нигоф и его штабом, прекратил сопротивление, сложил оружие и сдался в плен. 7 мая к 19 часам нашими войсками взято в плен в городе Бреславль более 40.000 немецких солдат и офицеров.  📷 andrewbek_1974 - ЖЖ  #МыПомним #МыГордимся",2023-05-07 10:00:04,,24,0,959
война,0.5029,"★ СОБАКИ — УЧАСТНИКИ ВЕЛИКОЙ ОТЕЧЕСТВЕННОЙ ВОЙНЫ ★  На историческом Параде Победы 24 июня 1945 года были представлены все фронты Великой Отечественной войны, все роды войск. Но далеко не все знают, что на том параде вслед за сводными полками фронтов, полком Военно-морского флота и колоннами боевой техники по Красной площади шли… собаки со своими проводниками.    Опыт боевых действий в Финляндии натолкнул на мысль использовать четвероногих бойцов для обнаружения мин и снарядов.  В сражениях использовали сторожевых и связных собак.  Собак использовали для обнаружения финских снайперов — «кукушек», которые, проникнув на территорию советских войск, прятались на деревьях. Для выполнения такой задачи использовались лайки.  На Карельском фронте, в условиях снежных заносов, бездорожья и распутицы нартовые упряжки были основным видом транспорта для доставки питания на передовую линию фронта и подвоза боеприпасов.  В своих донесениях начальник 53-й санитарной армии писал о ездово-санитарных упряжках: «За время нахождения при 53-й армии отряд собак нартовых упряжек участвовал в наступательных операциях по эвакуации тяжело раненных бойцов и командиров с поля боя при взятии Демянского укрепленного противником района и, несмотря на трудные условия эвакуации, лесисто-болотистую местность, плохие, труднопроходимые дороги, где не было возможности вывозить раненых конным транспортом, успешно работал по эвакуации тяжело раненных бойцов и командиров и подвозу боеприпасов наступающим частям. За указанный период отрядом вывезен 7551 человек и подвезено 63 тонны боеприпасов».  Начальник санитарной службы 855-го стрелкового полка отмечал: «Санитарные упряжки имеют большую возможность маскироваться. Каждая упряжка заменяет минимум трех-четырех санитаров. Эвакуация при помощи санупряжек осуществляется быстро и безболезненно для раненых».  29 августа 1944 года начальник Главного военно-санитарного управления Красной армии сообщал в приветственном письме по случаю двадцатилетия Центральной школы служебного собаководства: «За истекший период Великой Отечественной войны на собаках было вывезено 500 тысяч тяжело раненных офицеров и бойцов, и теперь этот вид транспорта получил общее признание».      📷 Карельский фронт,  «Санный поезд» с ранеными. Зима 1942 года.",2022-05-09 20:55:00,,102,18,2119
война,0.5009,"ПАМЯТЬ ОГНЕННЫХ ЛЕТ  5 июля 1943 года, 80 лет назад, началась Курская битва. Три стратегические операции были проведены Красной Армией в районе Курского выступа: Курская оборонительная (05-23 июля); Орловская (12 июля – 18 августа) и Белгородско-Харьковская (03-23 августа) наступательные операции, в ходе которых было сорвано крупное наступление войск противника, разгромлена стратегическая его группировка. Битва на Курской дуге завершила коренной перелом в ходе Великой Отечественной войны в пользу Советского Союза.   📃«… Раскаленная июльским солнцем земля дышала зноем. Горели золотистые нивы поспевающих хлебов. Ядовитое удушье стесняло дыхание. Мучила нестерпимая, изнуряющая жажда. Но невозможно было ни на секунду оставить окоп, чтобы раздобыть где-нибудь поблизости хотя бы глоток воды. Нельзя потому, что вражеские танки ломились напролом. Одуревшая от огня немецкая пехота все время маячила вблизи переднего края, то с дикими воплями подымаясь в атаки, то с воем откатываясь назад…», - из воспоминаний А. Кулакова, гвардии подполковника в отставке. ""Олонецкая правда"", 1981 г., 18 июля.   📃Одним из участников знаменитой битвы был Зачков Николай Петрович (25.04.1925- 01.11.2004 гг.), уроженец деревни Улваны Олонецкого района. Домой вернулся в звании ст. сержанта. Боевые заслуги Николая Петровича в годы Великой Отечественной войны были отмечены 3-мя орденами и 5-ю медалями, среди них Орден Отечественной войны I-ой степени, Орден Славы III-й степени. После войны ветеран проживал в деревне Сяндеба Олонецкого района.   Фото 1. Зачков Н.П. (первый слева), 1945 г. Фото 2. Зачков Н.П. в годы войны.  #Карелия #Олонец #ОлонецкийНациональныйМузей",2023-07-05 13:50:00,,43,5,2036
война,0.4989,"ПАМЯТИ ПОКОЛЕНИЙ, ОПАЛЁННЫХ ВЕЛИКОЙ ОТЕЧЕСТВЕННОЙ ПОСВЯЩАЕТСЯ...  30 июня 1944 года освобождением деревни Большие Горы отгремела война на территории Олонецкого района. Бои за деревни Железная Гора и Большие Горы были очень тяжелыми.  📃Из письма Гребенюка Н.Д., ветерана 98-й стрелковой дивизии, от 3 июня 1979 года:  «На пути нашего наступления в районе населенного пункта Железные Горы, что размещен на берегу реки Видлица, противник оказывал нашему 296 и соседнему 299 полкам отчаянное сопротивление. В этот день было уничтожено много солдат противника, но и мы потеряли много своих боевых товарищей. На пути наступления нашего 3-го батальона … противник, используя природные условия – скалы, выставил крупный заслон.   Наша 9-я рота, которая была выдвинута вперед, попала под сильный заградительный огонь крупнокалиберных пулеметов и минометов, вынуждена была залечь на открытом каменистом плато. Никакой возможности окопаться, т.к. под нашими телами был каменистый грунт. Нас, лежачих расстреливали, и какое-то время мы были прикованы к земле, не находя решимости подняться в атаку. Хотя это продолжалось недолго, но здесь каждая минута стоила нескольких жизней. Несколько попыток поднять роту в атаку не дали результат, большинство было, как приклеено к земле.   И тогда с правого фланга младший лейтенант Жовтый П., в центре старшина Гудзенко Виктор и не помню, кто слева, договорились по цепи поднять всю роту одновременно в атаку. Поднявшись, Жовтый крикнул: «В атаку, вперед!». Одновременно Гудзенко прокричал: «Коммунисты, комсомольцы за Родину, за Сталина, вперед!». Слева тоже был призыв. И тогда рота в едином порыве, как вихрь поднялась, уничтожила заслон, и продолжила наступление. В этом бою погиб Гудзенко, прошитый пулями в живот, ст. сержант Волобуев, и еще некоторые товарищи из нашей роты, но их решимость и боевой порыв спасли многим жизнь и позволили продолжить наступление, прогоняя с нашей земли ненавистных захватчиков.…  Мы были очень молоды, многим не было и двадцати, поэтому нет-нет раздавались то слева, то справа вскрики: «Мама, мамочка», падающих товарищей.   Олонецкий район освободили, а война покатилась дальше на север, зацепив своим крылом выросшую в условиях оккупации молодую поросль карельских парней, не всем им было суждено вернуться домой..."".   📷. Высота Железная Гора. В.Д. Сорвин и следопыты-свирцы - участники экспедиции по местам боев. 23 июня 2014 года.    #Карелия #Олонец #ОлонецкийНациональныйМузей",2024-07-15 12:00:00,,31,0,937
война,0.498,"В годы Великой Отечественной Войны партизанское движение насчитывало более миллиона человек. Оно было образовано 29 июня 1941 года, когда была издана директива Совнаркома СССР и ЦК ВКП(б) создавать партизанские отряды и диверсионные группы для борьбы с немецкими захватчиками.  Сегодня мы вспоминаем самоотверженность и храбрость партизан и подпольщиков, которые вели борьбу в тылу врага ради общей Победы. Вспоминаем имена и наших карельских партизан — Марию Мелентьеву, Анну Лисицыну, Ивана Григорьева. Наш долг перед ними — не забывать ни одного имени бойца, погибшего за наше мирное будущее!",2017-06-29 17:50:50,,112,5,6542
война,0.4966,"#карелия16районов    НЕДЕЛЯ МУЕЗЕРСКОГО РАЙОНА Высота 264,9. Гора Смерти.  Многие путают эту гору с Воттоваарой, это не совсем верно.  Горой смерти в народе называется высота 264,9 в Суоярвском районе, на которой в годы Великой Отечественной войны погибла большая часть партизанского отряда под руководством Ивана Григорьева.   29 июня 1942 года первая партизанская бригада Карельского фронта в составе 648 бойцов была направлена в тыл финских войск, в приказе целью значилось уничтожение двух армейских штабов в Поросозере и Кондопоге.    Но об истинной, стратегической цели этого трагического похода, наполненного мужеством и отвагой, генерал Г.Н. Куприянов поведал только в середине 70х годов: в 1942 году со стороны Карельского фронта планировалось наступление войск с целью освобождения Ленинграда из блокады.    Бригада изначально была брошена на смерть, снабжение было не налажено, передвижение такой большой группировки незамеченным оставить было нельзя. 27 июля изможденная голодом и потрепанная частыми стычками с финнами, бригада закрепилась на безымянной высоте 264.9 в ожидании продовольствия.   В ответ 30 июля в 18.00 был дан приказ начать быстрое продвижение с трех сторон и уничтожить партизан, противник большими силами окружил высоту.  Начался долгий двенадцатичасовой бой — самый крупный, упорный и кровавый для обеих сторон.    57 дней немилосердных страданий, пятьсот километров узких и длинных таежных троп, 26 смертельных схваток с противником, беспрерывный голод, 6 прорывов через заслоны и окружения.  Из 648 партизан вернулись лишь 140, остальные были убиты, умерли от ран, утонули на переправах и болотах.   80 человек скончались от голода из-за непродуманности снабжения.  Брошенная на верную смерть, бригада не только выполнила свою стратегическую задачу — финны не отозвали ни одной воинской части с этой линии фронта, но и смогла вернуться назад самостоятельно! https://xn----7sbglrhjkprh.xn--p1ai/about/sopka-smerti  О героизме и мужестве партизан во время рейда правдиво и убедительно рассказал карельский писатель Д. Я. Гусаров в романе-хронике «За чертой милосердия».",2020-07-15 12:00:00,,16,0,467
война,0.496,"Рубрика «Женские лики войны»  Командировка по особому заданию   В первые месяцы Великой Отечественной войны большая часть Карелии была оккупирована противником. В связи с этим ЦК ВКП(б) были определены задачи по развертыванию партизанского движения и диверсионной борьбы. Важнейшее место в работе подпольных организаций занимала разведывательная деятельность. По заданиям подпольщики собирали сведения о дислокации и численности частей противника, расположения аэродромов, строительстве оборонительных укрепления и др. Для родственников работа подпольщиков в тылу врага называлась «командировка по особому заданию». Труднее всего во вражеском тылу приходилось девушкам-радисткам, ведь их сбрасывали на парашютах с полной боевой выкладкой. Кроме автомата, пистолета, финки, патронов и гранат, каждая из них несла на себе 10-килограммовую упаковку с рацией и батареями, которые следовало оберегать от ударов, а также неприкосновенный запас продовольствия, на тот случай, если поиски основного груза затянутся или придется действовать самостоятельно. Никаких скидок на слабый пол и юный возраст не делалось. Но девушки ничего для себя и не требовали, радиодело и военную науку постигали прилежно, а по выносливости в экстремальных условиях нередко даже превосходили своих товарищей. В марте 1943 года под грифом «Совершенно секретно» был утвержден оперативный план нелегальной ходки связных ЦК КП(б) в Сегозерский район, оккупированный белофиннами, для связи с подпольным райкомом КП(б) и проведения разведывательной и политической работы. Этим планом был утвержден личный состав группы: Фомин Иван Михайлович, командир, Локкин Федор Михеевич, Максимов Никита Алексеевич, разведчики-связные ЦК КП(б), Фингерус Ольга Никифоровна, радистка, связная ЦК КП(б).  Личный отчет радистки О.Н.Фингерус «…Вечером… мы решили переходить фронт. Сначала мы хотели переходить линию фронта в районе координат 48-22 по вырубленному лесу, но услышав разговор, отказались от этого варианта, решив переправиться через болото и гору в координатах 48-20. По горе проходила линия фронта. На горе мы видели свежие следы огня и щепки недавно срубленных деревьев. На тропинке были свежие следы. Оглядевшись вокруг и не заметив ничего подозрительного, решили идти дальше. Первым шел Локкин, за ним Фомин, потом Максимов и самой последней шла я. Дойдя до озера Эниш-Ламби (координаты 48-22), мы начали пробираться через вырубку шириной в 3-4 метра. Вырубка оказалась заминированной. Когда Локкин прошел несколько шагов по вырубке, сбоку от него вдруг взорвалась мина, он бросился бежать вперед. Фомин же, который шел следом за ним, был поражён осколками и упал на землю. Мы с Максимовым, который был ранен в плечо, побежали обратно. В это время со стороны горы раздались автоматные очереди и взрыв гранат. Мы увидели, что финны стреляли в Локкина и бросали в него гранаты. Мы с Максимовым убежали в лес, и что было с Локкиным дальше не видели. В лесу я перевязала Максимову плечо. В течение всего дня мы отдыхали, а вечером с часов 6-7 решили переходить снова линию фронта, на этот раз в районе озер Каль-Ярви и Орчень Губой (северный берег Сегозера). Когда совершенно стемнело, мы поползли. Впереди Максимов, за ним в 3-х метрах я. Мы выползли на берег Сегозера на полуострове Орчень Губы. Вдруг снова раздался сильный взрыв, и Максимов упал лицом вниз. Я также была ранена. Подползя к Максимову, я стала трясти его за плечи и звать «Максимов, Максимов». Но он не шевелился, и я увидела, что он мёртв. Испугавшись, я бросилась бежать в сторону наших частей. Отбежав полкилометра, я сделала себе перевязку. От сильной боли в ноге и потери крови я не могла идти дальше и три дня отдыхала в лесу. Я очень ослабла, так как питания у меня с собой не было. Все время я слышала со стороны Барановой горы и озера Сегозера выстрелы и лай собаки. На четвертый день пошла дальше. Карты у меня не было и ориентировалась я только по компасу, идя прямо на восток. Пять дней находилась я в пути, питаясь только ягодами. Вечером пятого дня вышла к реке. Переплыв ее, пошла дальше. Стало совсем темно. Вокруг меня слышались выстрелы и иногда вдалеке раздавался разговор людей. Ночь была очень темная, и я решила заночевать под сваленной сосной. Утром, проснувшись, увидела, что сосну, где я спала, окружили 20 красноармейцев. Они кричали: «Вставай, финка. Руки вверх». Я подняла руки и пошла впереди бойцов, но вскоре была вынужден опустить их, так как чувствовала сильную слабость. Меня привели в штаб, отобрали компас, часы и две финских газеты, бывшие у меня, и стали спрашивать кто я. Узнав, зачем я иду, меня перевязали и накормили. Через 2 дня меня направили на лошади в Сегежу и оттуда в Беломорск.» 15 мая 1943 года в тыл к оккупантам была сброшена на парашютах Сегозерская подпольная партийно-комсомольская группа под командованием Ивана Михайловича Фомина (партийная кличка «Иван»). По злой иронии судьбы перед вылетом 22-летней радистке Ольге Никифоровне Фингерус определили в качестве лозунга для перешифрования фразу «На севере диком стоит одиноко сосна». Вот за сосну девушка и зацепилась своим парашютом. Несмотря на все усилия ей никак не удавалось дотянуться до ствола, чтобы по нему спуститься на землю. Долго находиться в таком беспомощном положении было опасно, поэтому Ольга сначала сбросила вниз вещмешок, батареи и рацию, а затем обрезала парашютные стропы. От страшного удара потеряла сознание, а когда очнулась, то поняла, что двигаться самостоятельно не может. Несколько дней ее на самодельных носилках уносили от преследователей боевые товарищи. Рация разбилась, группа оказалась в крайне опасном положении, финны несколько раз предпринимали попытки захватить подпольщиков в плен. Ольга нашла в себе силы подняться и наравне со всеми занялась сбором разведданных об обстановке в оккупированном районе. Когда основное задание было выполнено, командир решил прорываться через линию фронта. Группа приняла бой, но попала на минное поле. Неподалеку от девушки разорвалась мина, единственного остававшегося к тому времени в живых товарища убило осколком, а сама Ольга, получившая легкое ранение, еще четверо суток пробиралась через лес в расположение советских частей и сумела доставить ценную информацию в штаб партизанского движения. В дальнейшем отважная подпольщица с марта по июль 1944 года успешно выполняла обязанности радистки в составе Пряжинской подпольной партийно-комсомольской группы под командованием Дмитрия Григорьевича Зайцева (партийная кличка «Григорий»). В состав Пряжинской подпольной группы входили: руководитель подпольной группы Д.Г. Зайцев , радистка О.Н. Фингерус , член группы Андрей Федорович Бояринов, комсорг ЦК ЛКСМ КФССР, за которого Ольга Никифоровна впоследствии вышла замуж. Группа успешно вела диверсионную деятельность в тылу финских войск и по радио снабжала центр важной разведывательной информацией, вплоть до полного изгнания оккупантов из Карелии. За проявленные в тылу врага мужество и героизм Ольга Никифоровна Фингерус была в августе 1944 года представлена к награждению орденом Отечественной войны I степени. Представление подписал лично первый секретарь ЦК КП(б) Карело-Финской ССР, член Военного совета Карельского фронта Г.Н. Куприянов. К сожалению, обнаружить документальное подтверждение, что Ольга Никифоровна получила эту заслуженную награду, не нашлось. После войны Ольга Никифоровна вернулась в Ухту вместе с мужем, работала в школьном интернате, на почте. Не раз легендарную подпольщицу приглашали для встреч в школы, где она рассказывала о своей военной молодости. По словам дочери у мамы были награды, но со временем их растеряли, а на сайтах информации о награждении не нашлось.  Из семьи Фингерус защищать Родину кроме Ольги ушли еще 4 брата : Александр , род в 1923 г.,. умер от ран 03.08.1943 в г.Плесецк, Архангельской обл.; Иван , род в 1918 г., , рядовой, погиб 06.12.1942. и похоронен на 59 км дороги Кочкома-Реболы; Федор, род в 1915 г., пропал без вести в дек.1942, Петр, вернувшийся в 1943 с фронта после тяжелого ранения в боях на Днепре, работавший в 60-х годах председателем сельского Совета в Ухте.   Использованы материалы из книги «Командировка по особому заданию: карельские подпольщики в годы Великой Отечественной войны: документы и материалы»), статья С.Пьянова  «Рассекреченный эфир», опубликованная в интернет журнале «Лицей» от 25.01.2020 г., «Книга Памяти Карелии». Благодарим Тамару Николаевну Егорову и Татьяну Андреевну Торвинен ( Бояринову) из п. Калевала за помощь в подготовке публикации.",2023-02-23 09:55:00,,29,10,1212
война,0.4935,"🆕 Сибирские СМИ о ""Зимней войне"" ═══════════════════════════════════════════════════════ На северных рубежах  30 ноября 1939 года Советский Союз начал военные действия против Финляндии. Блицкриг не удался  С советской стороны в войне участвовали 45 дивизий, 1,5 тыс. танков, 3 тыс. самолетов. РККА планировала провести ""маленькую победоносную войну"", но финская армия под командованием барона Маннергейма оказала ожесточенное сопротивление. Красная Армия не смогла проявить боевые качества: танки и артиллерия слабо взаимодействовали, авиация и плохо экипированная пехота несли потери. Большим препятствием стали непроходимые заснеженные леса Финляндии.    Доподлинно неизвестно, сколько человек было призвано Тюменским райвоенкоматом в ходе финской кампании: значительная часть красноармейцев служила на Дальнем Востоке, в Монголии, где также сложилась непростая обстановка.  Гаврил Петрович Змановский (1909 – 1946) из д.Криводанова до войны с Финляндией окончил курсы счетоводов, работал учетчиком в колхозе. Он был уже относительно немолод, воспитывал четверых детей. Финская кампания завершилась для него благополучно, однако передышка была недолгой: в июле 1941-го он был вновь вынужден взять в руки оружие. В этот раз судьба оказалась к нему менее благосклонной: после тяжелого ранения его в 1944 г. отправили на лечение в Тюмень, в госпиталь на ул.Даудельной, где он спустя два года, осенью 1946-го, скончался. Похоронили бойца на Текутьевском кладбище.  В еще более почтенном возрасте был мобилизован Маулитбак Шамсетдинович Бабушев (1879 – 1965) из д.Есаулова. До призыва он в течение 15 лет служил в царской армии, участвовал в Первой мировой войне. А вот вновь встретиться с германцем ему много лет спустя не довелось: во время финской кампании он получил тяжелую контузию и был комиссован.  По возвращении домой до старости работал в колхозе, умер на 87-ом году жизни.  На Карельском перешейке воевал и уроженец Татарстана Шайхилислам Гильфанович Гимадиев (1912 – 1985). В голодном 1921 году он переехал с семьей из Поволжья в наши края, в с.Аксарай, где трудился в колхозе механизатором. Пауза между двумя войнами также стала для него короткой: по окончании финской кампании он прошел фронтами Великой Отечественной войны, домой вернулся лишь в 1946-ом. С 1961 г. жил в Чикче, стал отцом девятерых детей.  Пережив одну войну, погиб на другой  Старший из двух братьев Пискулиных, чье имя носит одна из улиц Кулаково, Петр Степанович, родившийся в 1917 г., также был участником советско-финляндской войны, служил в разведке.  В суровых погодных условиях вместо полагавшихся в ту пору несильных морозцев и скудного снега дневная температура на Карельском перешейке была близка к нулю, шли сильные снегопады, чередовавшиеся с туманами. Разведчики вынуждены были ползти по грязи с целью определить месторасположение обороны финнов, каждый из которых состоял из двух и более убежищ и бункеров.  Большинство бетонных сооружений располагались на самых труднодоступных участках линии Маннергейма. Потери красноармейцев, при попустительстве явно растерянных командиров, исчислялись тысячами… Положение усугублялось тем, что погода была чересчур изменчивой: оттепель сменял лютый, под тридцать градусов, мороз, который при большой влажности воздуха – до моря рукой подать, к тому же кругом озера и болота – пронизывал до костей.  К счастью, Петр Пискулин выжил в этой войне. Смерть он примет уже в ходе Великой Отечественной, в 1942-ом, не вернувшись с очередного боевого задания.    Пиррова победа  Война с финнами, которую предполагалось завершить за 12 дней, продолжалась 105 – с 30 ноября 1940 года по 12 марта 1941-го, когда Финляндия согласилась на заключение мирного договора с СССР. Потери советских войск составили 48 тыс. убитыми и 158 тыс. ранеными. Финская сторона потеряла в разы меньше – 25 тыс. убитыми и 45 тыс. ранеными. СССР добился контроля над частью территории Финляндии, получив весь Карельский перешеек, западное и северное побережье Ладожского озера.  9 тысяч человек получили за участие в этой войне боевые награды, 405 были удостоены звания Героя Советского Союза, в том числе командующий Ленинградским военным округом Кирилл Афанасьевич Мерецков, впоследствии начальник Генштаба, маршал Советского Союза, и комдив Михаил Петрович Кирпонос, впоследствии командующий Киевским особым ВО, преобразованным в 1941-ом в Юго-Западный фронт.",2021-01-19 14:59:39,,18,13,1674
война,0.4928,"🚩29 июня - День партизан и подпольщиков Первые партизанские отряды на территории Карелии были созданы 8 июля 1941 года: «Бей фашистов» в Суоярвском районе и отряд им. Коба в Прионежском районе.  Партизанские отряды поначалу формировались по территориальному признаку. Потому и именовались в привязке к местности – Беломорский, Выборгский, Калевальский, Кексгольмский, Кемский, Кестеньгский, Медвежьегорский, Олонецкий, Петровский (Спасская губа), Прионежский (пригород и г. Петрозаводск), Ребольский, Сортавальский и Суоярвский.  Позднее названия будут изменены и появятся, к примеру, такие, как «Бей фашистов» (действовал в Суоярвском районе), «Боевые друзья» (в Медвежьегорском) и т.п. К середине августа 1941 года в республике было сформировано уже 15 партизанских отрядов общей численностью 1771 человек  В ряды народных борцов шли рабочие, колхозники и интеллигенция, мужчины и женщины, участники гражданской войны и молодежь.  В карельских партизанских отрядах были представители 20 национальностей Советского Союза.  В целях обеспечения единого оперативного руководства действиями партизанских отрядов решением бюро ЦК Компартии республики 11 августа 1941 года был создан республиканский штаб партизанского движения.    С учетом обстановки, сложившейся на Карельском фронте, боевую деятельность партизан Карелии за время Великой Отечественной войны можно разделить на три периода.  Первый — с июля по декабрь 1941 года — период оборонительных боев до стабилизации Карельского фронта.  Второй — с декабря 1941 года по июнь 1944 года — период стабильной обороны войск Карельского фронта.  Третий — с июня по сентябрь 1944 года — период решительного наступления частей фронта и изгнания немецко-финских захватчиков из пределов Советской Карелии.  https://www.youtube.com/watch?v=wlUdKAm-D78",2020-06-29 01:11:50,,77,15,2481
