topic,relatedness,text,date,group,likes,reposts,views
карельский язык,0.3346,"❓Это средство передвижения карелы загадывали так: едут на вороном, следов не видно. О чем речь?  #загадки_Карелии",2020-09-23 20:09:00,,16,5,434
карельский язык,0.326,...vasta-aika alkamassa... ...начинается веничное время...,2021-05-28 10:45:15,,33,1,631
карельский язык,0.326,...vasta-aika alkamassa... ...начинается веничное время...,2021-05-28 10:45:15,,33,1,628
карельский язык,0.3257,"Dovarišat, yhtykkiä flash mobah!",2020-03-31 21:34:51,,5,1,385
карельский язык,0.3254,Семейные ценности у карелов 👪 #karjalankielennedäli #karjalankielennetäli,2024-04-17 15:25:57,,1,0,149
карельский язык,0.3216,..Tverin karjalaisista...о тверских карелах...,2021-11-29 10:33:52,,11,3,425
карельский язык,0.3216,..Tverin karjalaisista...о тверских карелах...,2021-11-29 10:33:52,,11,3,425
карельский язык,0.3215,"Dovarišat, teil on hyvä mahdolližus suaha uvven kniigan.",2020-03-12 11:23:47,,1,0,138
карельский язык,0.3214,"Что означает вепсское выражение ""PÄSTTA HULED"" (БУКВ. ""ВЫПУСТИТЬ ГУБЫ"")?  #образные_выражения_Карелии",2020-07-06 15:19:00,,16,4,1257
карельский язык,0.3207,🌄 Карелы говорят: On päivä jalalla (=солнце - на ноге) - день уже.  #образные_выражения_Карелии,2020-06-22 08:50:00,,15,2,287
карельский язык,0.316,"Ctroicanpaivanke, hyvat karjalazet!",2015-05-31 09:41:00,,9,0,0
карельский язык,0.3155,🌄 Как говорят карелы - huomeneš käsissä/утро в руках - утро настало!  #образные_выражения_Карелии,2020-06-18 08:55:00,,16,4,320
карельский язык,0.3153,"Онлайн-марафон, четвёртая загадка 👌#karjalankielennedäli #karjalankielennetäli",2022-04-15 13:32:00,,2,0,162
карельский язык,0.3153,"Онлайн-марафон, четвёртая загадка 👌#karjalankielennedäli #karjalankielennetäli",2022-04-14 12:50:53,,2,0,180
карельский язык,0.3148,...kyläläisen huomnes...утро сельчанина...,2019-05-25 09:30:18,,5,0,126
карельский язык,0.3148,Tänäpäi muailmas pietäh kanzoinvälisty kandurahvahien päiviä.,2022-08-09 11:48:06,,18,6,628
карельский язык,0.3148,Alina Tsuburovan ainehistosta. Runoloja karjalan kielellä.,2014-06-28 13:03:09,,4,0,0
карельский язык,0.3148,Alina Tsuburovan ainehistosta. Runoloja karjalan kielellä.,2014-06-28 13:03:09,,4,0,0
карельский язык,0.3148,...kyläläisen huomnes...утро сельчанина...,2019-05-25 09:30:18,,5,0,127
карельский язык,0.3145,"Meniäini töitä ruatamassa, kukkasien nektaarua keryämässä mettä valmissettavaksi.",2016-06-05 14:08:53,,5,0,0
карельский язык,0.3145,"Meniäini töitä ruatamassa, kukkasien nektaarua keryämässä mettä valmissettavaksi.",2016-06-05 14:08:53,,5,0,0
карельский язык,0.3145,"Passibo, hyvät ohjuajat kučus! #карельскаяпрививка #yhtes",2022-06-26 13:25:37,,20,1,799
карельский язык,0.3141,Naizruavot. Langan kerimine.,2016-02-17 14:01:32,,8,1,0
карельский язык,0.3116,"Petroskoil olijat da käyjät, ilduprogrammua piätenčäkse!",2022-09-28 11:09:17,,3,1,456
карельский язык,0.3111,Saamelaiset Piiterissä... Саамы в Питере...,2019-10-24 16:28:42,,14,2,288
карельский язык,0.3111,Saamelaiset Piiterissä... Саамы в Питере...,2019-10-24 16:28:42,,14,2,288
карельский язык,0.3107,Hyvittele karjalakse!,2019-07-11 20:20:51,,4,1,384
карельский язык,0.3102,#объявления_нмрк,2019-03-19 13:47:02,,0,0,614
карельский язык,0.3101,"А знаете ли вы, когда карельские хозяйки говорят: ""У теста уши шевелятся/ Tahtahal korvad lekkuu""?  #образные_выражения_Карелии",2020-08-20 15:43:00,,10,0,219
карельский язык,0.3092,Что означает вепсское выражение TEHTA PÄlAGI букв. СДЕЛАТЬ МАКУШКУ?  #вепсы_Карелии#образные_выражения_Карелии,2020-10-29 19:47:00,,14,1,1188
карельский язык,0.3091,MANTSINSUARI KARJALASSA https://yle.fi/aihe/artikkeli/2015/08/24/mantsinsaaren-ainoa-asukas-matti-kylmaluoma,2022-05-20 12:16:53,,5,0,311
карельский язык,0.3091,MANTSINSUARI KARJALASSA https://yle.fi/aihe/artikkeli/2015/08/24/mantsinsaaren-ainoa-asukas-matti-kylmaluoma,2022-05-20 12:16:53,,5,0,313
карельский язык,0.309,#karjalankielennedäli #karjalankielennetäli 🙂,2023-04-11 17:47:00,,0,0,204
карельский язык,0.3088,"#100словокарелии #100sanaa  Tänäpäi on ""Kalevala-eepossu""-päivy.  Сегодня - день Калевалы!!!",2020-02-28 12:00:20,,5,0,83
карельский язык,0.3085,#karjalakielennedäli #karjalankielennetäli,2021-04-23 13:20:28,,2,0,481
карельский язык,0.3085,#karjalakielennedäli #karjalankielennetäli,2021-04-24 08:00:05,,4,1,592
карельский язык,0.3085,#karjalakielennedäli #karjalankielennetäli,2021-04-26 12:52:29,,4,1,560
карельский язык,0.3084,https://punzhina.krc.karelia.ru/ Tverinkarjalan sanakirja,2021-11-11 14:39:00,,2,0,334
карельский язык,0.3084,https://punzhina.krc.karelia.ru/ Tverinkarjalan sanakirja,2021-11-11 14:39:00,,2,0,333
карельский язык,0.3083,#karjalankielennedäli #karjalankielennetäli 📕,2022-04-14 11:53:00,,1,0,201
карельский язык,0.3083,#karjalankielennedäli #karjalankielennetäli 📕,2022-04-12 17:25:47,,3,2,204
карельский язык,0.3083,#karjalankielennedäli #karjalankielennetäli 📕,2022-04-14 13:41:23,,1,1,190
карельский язык,0.3082,https://vk.com/denkarelskoivepsskoipismennosti,2020-04-18 07:21:33,,2,0,223
карельский язык,0.3081,"...karjalan kieli, Karjala... https://vk.com/karjalantasavaltaru",2022-06-17 17:59:02,,5,0,457
карельский язык,0.3081,Snezana Jegorova pidi tänäpäi vönytyksen.  Suuret passibot Snezanale!,2016-01-05 15:19:10,,9,0,0
карельский язык,0.3081,"...karjalan kieli, Karjala... https://vk.com/karjalantasavaltaru",2022-06-17 17:59:02,,5,0,460
карельский язык,0.3074,Онлайн-марафон. Шестая загадка 💡 #karjalankielennedäli #karjalankielennetäli,2022-04-16 17:30:00,,3,0,201
карельский язык,0.3073,Karjalua kirouskielenä Карельские ругательства  Miksi raveissa ei kannata mennä takariviin istumaan?  No kun ei sieltä näe hevon vittuakaan.,2017-05-12 11:40:01,,3,2,307
карельский язык,0.3073,Karjalua kirouskielenä Карельские ругательства  Miksi raveissa ei kannata mennä takariviin istumaan?  No kun ei sieltä näe hevon vittuakaan.,2017-05-12 11:40:01,,3,2,307
