topic,relatedness,text,date,group,likes,reposts,views
праздник,0.5115,🌍 Красота родного края 🔹Онежское озеро ✅ Августовские зарисовки  ««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««« Уже который год я с радостью выезжаю за город именно в середине августа.  В этот раз природа подарила мне красивое северное сияние.  📷 [id7344956|Михаил Проскалов],2018-08-19 21:15:00,,84,10,1896
праздник,0.5112,"❄ Зимние зарисовки ⏩ Ладожское озеро ««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««« Еще одна фотография нынешнего года.  Морозное рождественское утро на Ладоге.  Снега у озера очень мало, льда не было и вовсе. Впервые за долгие дни, наконец, появилось солнце.  © [id1678810|Петр Косых]",2018-01-09 23:02:43,,36,3,577
праздник,0.5088,"❄ Зимние зарисовки ⏩ Кинерма «««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««  Что у вас нового?  А у нас замечательный, морозный, солнечный денёк.  А солнышко уже пригревает и все кругом чувствует, что весна уже близко.. А дяди Ванины кошки греются на солнышке.  Зайцы бегаю по деревне, но мы видим только из следы.  Правда, недавно на полях видели лису.  И опять топиться банька по-чёрному. Вот уж сегодня попаримся !  [club17476078|Кинерма - ты старины уголок...]",2018-02-22 12:59:09,,26,0,679
праздник,0.5002,"❄ Зимние зарисовки ⏩ Карелия, Заонежье, январь.  ««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««« Непостоянный характер нынешний зимы — в рисунке льда Онежского озера.",2020-01-18 09:05:01,,71,6,1879
праздник,0.5001,✅ Сентябрьские зарисовки  ««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««« Сегодня ночью в Олонецком районе Карелии был почти штиль. А северное сияние со стороны Ладожского озера играло очень контрастно...  📷 [id95551542|Илья Тимин],2018-09-12 00:14:07,,69,11,1555
праздник,0.5,"✅ Июньские зарисовки. ☛ Белое море. Карелия.  ««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««« На Белом море отдыхает большая стая лебедей. С приливом и отливом они меняют место, чтобы подкормиться и отдохнуть.",2021-06-26 12:00:06,,136,6,3067
праздник,0.4964,"↪ Гости Карелии делятся впечатлениями  ««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««« Карелия встретила нас полным отсутствием снега, помочила рождественским дождём и лишь на прощание подарила немного ясной солнечной погоды. Но мы успели увидеть настоящую зиму, поесть калиток и пообщаться с традиционными представителями карельской фауны - гуанако. А на серпантины вокруг Ладоги я обязательно вернусь летом на двух колесах.",2020-01-09 18:14:00,,30,1,1346
праздник,0.4963,"🍂 Октябрьские зарисовки. ☛ Первый снег ««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««« Говорят о тишине: «Тише воды, ниже травы…» Но что может быть тише падающего снега! Вчера весь день падал снег, и как будто это он с небес принес тишину… И всякий звук только усиливал ее: петух заорал, ворона звала, дятел барабанил, сойка пела всеми голосами, но тишина от всего этого росла. Какая тишина, какая благодать.. ..   Михаил Пришвин ""Тихий снег""",2020-10-19 18:02:06,,97,10,2523
праздник,0.4961,"▫ Лососинка Речка за окном всегда спокойным видом радует, а приоткороешь - шумит ровно.   Красивое имя у нашей реки, Лососинка! А вспомнишь о топонимии, вода пресная... да бог с ней, с рыбой - помним, и то.  День сегодня чуть взбодрил, показываю снимок: здесь над поймой солнце сцену разыграло, разорвало тучи и мигом вспыхнули кроны берёз.   Сейчас уже пелена сомкнулась и за окном привычный сумрак. Осень в Карелии не для первой любви...  © Игорь Георгиевский",2017-11-17 14:44:32,,25,2,360
праздник,0.4952,"📖 Зимний лес Солнце слабо светит сквозь деревья,  Лес уснул до будущей весны –  Утопая в снеговой постели,  Он волшебные, наверно, видит сны…    Тишину ничто не нарушает,  Волк не воет, птица не поёт…  Лишь снежинок лёгкий рой летает –  Тихо сказка по лесу идёт…  :© Антон Рысаков",2016-12-05 11:31:56,,3,0,0
праздник,0.495,✅ Июньские зарисовки. ☛ Озеро Ондозеро ««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««««« + 28 на термометре с северной стороны дома...,2021-06-04 12:31:59,,63,3,2092
